map,slip,step,mode,rank,n_boundary,candidate_batch_size,candidate_states,candidate_state,candidate_coords,base_rate_bits,candidate_rate_bits,rate_delta,base_objective,candidate_objective,gain,base_violation,candidate_violation,violation_gain,base_struct,candidate_struct,struct_delta,base_model,candidate_model,model_delta,base_value,candidate_value,value_delta,base_start_gap,candidate_start_gap,start_gap_delta,struct_break_even_lambda,selected
maze,0.05,0,single,1,2,1,[57],57,"[(5, 19)]",59.09333333333334,97.75711408151038,38.66378074817704,59.09333333333334,97.75711408151038,-38.66378074817704,10.966122478284957,10.000297359950695,0.9658251183342621,12.966122478284957,12.000297359950695,0.9658251183342621,1.332813138330618,1.3325849410068216,0.00022819732379653068,2.921041186709772e-11,2.921041186709772e-11,0.0,2.921041186709772e-11,2.921041186709772e-11,0.0,40.03186499731922,False
maze,0.05,0,single,2,2,1,[55],55,"[(5, 17)]",59.09333333333334,98.63044741484372,39.537114081510374,59.09333333333334,98.63044741484372,-39.537114081510374,10.966122478284957,9.03420627225689,1.9319162060280668,12.966122478284957,11.03420627225689,1.9319162060280668,1.332813138330618,1.3323413785139482,0.0004717598166699144,2.921041186709772e-11,2.921041186709772e-11,0.0,2.921041186709772e-11,2.921041186709772e-11,0.0,20.465232372990396,False
maze,0.05,0,single,3,2,1,[4],4,"[(1, 5)]",59.09333333333334,97.75711408151038,38.66378074817704,59.09333333333334,97.75711408151038,-38.66378074817704,10.966122478284957,9.999999911802908,0.9661225664820492,12.966122478284957,11.999999911802908,0.9661225664820492,1.332813138330618,1.3128956034056294,0.01991753492498871,2.921041186709772e-11,2.921041186709772e-11,0.0,2.921041186709772e-11,2.921041186709772e-11,0.0,40.01954005583765,False
maze,0.05,0,single,4,2,1,[35],35,"[(3, 17)]",59.09333333333334,97.75711408151038,38.66378074817704,59.09333333333334,97.75711408151038,-38.66378074817704,10.966122478284957,9.016964892946545,1.949157585338412,12.966122478284957,11.016964892946545,1.949157585338412,1.332813138330618,1.3320814162718508,0.000731722058767259,2.921041186709772e-11,2.921041186709772e-11,0.0,2.921041186709772e-11,2.921041186709772e-11,0.0,19.836149236473485,False
maze,0.05,0,single,5,2,1,[26],26,"[(3, 5)]",59.09333333333334,98.63044741484372,39.537114081510374,59.09333333333334,98.63044741484372,-39.537114081510374,10.966122478284957,9.000605236905653,1.9655172413793043,12.966122478284957,11.000605236905653,1.9655172413793043,1.332813138330618,1.3271952014374313,0.005617936893186792,2.921041186709772e-11,2.845013113983441e-11,7.602807272633072e-13,2.921041186709772e-11,2.845013113983441e-11,7.602807272633072e-13,20.115373830943938,False
maze,0.05,0,single,6,2,1,[37],37,"[(3, 19)]",59.09333333333334,98.63044741484372,39.537114081510374,59.09333333333334,98.63044741484372,-39.537114081510374,10.966122478284957,8.999723513636201,1.9663989646487554,12.966122478284957,10.999723513636201,1.9663989646487554,1.332813138330618,1.331803950039185,0.0010091882914331496,2.921041186709772e-11,2.921041186709772e-11,0.0,2.921041186709772e-11,2.921041186709772e-11,0.0,20.106354199882638,False
maze,0.05,0,single,7,2,1,[12],12,"[(1, 15)]",59.09333333333334,97.75711408151038,38.66378074817704,59.09333333333334,97.75711408151038,-38.66378074817704,10.966122478284957,8.965240755015511,2.000881723269446,12.966122478284957,10.965240755015511,2.000881723269446,1.332813138330618,1.330854339334157,0.0019587989964611197,2.921041186709772e-11,2.920685915341892e-11,3.552713678800501e-15,2.921041186709772e-11,2.920685915341892e-11,3.552713678800501e-15,19.323371440966696,False
maze,0.05,0,single,8,2,1,[16],16,"[(1, 19)]",59.09333333333334,97.75711408151038,38.66378074817704,59.09333333333334,97.75711408151038,-38.66378074817704,10.966122478284957,8.982482134325856,1.9836403439591006,12.966122478284957,10.982482134325856,1.9836403439591006,1.332813138330618,1.3315078012229242,0.0013053371076938713,2.921041186709772e-11,2.921041186709772e-11,0.0,2.921041186709772e-11,2.921041186709772e-11,0.0,19.49132606922529,False
maze,0.05,0,batch_prefix,2,2,2,"[12, 16]",,"[(1, 15), (1, 19)]",59.09333333333334,136.87979622387255,77.78646289053921,59.09333333333334,136.87979622387255,-77.78646289053921,10.966122478284957,8.965240755015511,2.000881723269446,12.966122478284957,10.965240755015511,2.000881723269446,1.332813138330618,1.330854339334157,0.0019587989964611197,2.921041186709772e-11,2.921041186709772e-11,0.0,2.921041186709772e-11,2.921041186709772e-11,0.0,38.876092467592706,False
maze,0.05,0,batch_prefix,3,2,3,"[12, 16, 37]",,"[(1, 15), (1, 19), (3, 19)]",59.09333333333334,174.62502859573735,115.53169526240401,59.09333333333334,174.62502859573735,-115.53169526240401,10.966122478284957,8.965240755015511,2.000881723269446,12.966122478284957,10.965240755015511,2.000881723269446,1.332813138330618,1.330854339334157,0.0019587989964611197,2.921041186709772e-11,2.8975932764296886e-11,2.3447910280083306e-13,2.921041186709772e-11,2.8975932764296886e-11,2.3447910280083306e-13,57.74039210754793,False
