map_family,map_size,map,slip,method,n_states,n_boundary,state_compression_ratio,boundary,iterative_candidate_recompute,final_graph_kernel_build_count,selection_time_sec,final_kernel_time_sec,graph_solve_time_sec,total_time_sec,sparse_vi_time_sec,operator_speedup_vs_sparse_vi,planning_speedup_vs_sparse_vi,total_speedup_vs_sparse_vi,start_gap,normalized_start_gap,value_gap_max,normalized_value_gap_max,D_occ,D_model,D_audit_cvar95,error,timestamp,candidate_universe_time_sec,probe_build_time_sec,green_message_passing_time_sec,operator_apply_time_sec,threshold_time_sec,total_operator_time_sec,n_probe_anchors,n_operator_selected,probe_anchors,selected_states,selection_reasons,operator_used_steps_max,operator_frontier_max,operator_message_passing_sparse,n_green_response_passes,n_candidate_insertion_evaluations,n_beam_expansions,boundary_jaccard_vs_iterative,selection_speedup_vs_iterative,total_speedup_vs_iterative
random_maze,11,random_maze_11_seed1,0.05,graph_rd_surrogate_joint,49,11,4.454545454545454,"[0, 4, 11, 15, 21, 25, 31, 33, 35, 37, 48]",True,1,2.1934082560474053,0.17305319395381957,0.02339892101008445,2.3898603710113093,0.002607804024592042,0.0011889277873383187,0.11144975545958433,0.0010911951410318194,1.364751227583838e-06,6.84209033540127e-08,1.364751227583838e-06,6.84209033540127e-08,2.9156814274748876e-11,1.3040992005365228,9.470356708220198e-08,,2026-07-10T22:12:47,,,,,,,,,,,,,,,,,,1.0,1.0,1.0
random_maze,15,random_maze_15_seed1,0.05,graph_rd_surrogate_joint,97,15,6.466666666666667,"[0, 1, 3, 18, 20, 32, 36, 43, 45, 47, 51, 61, 63, 92, 96]",True,1,14.85374009795487,1.2282288610003889,0.0770065609831363,16.158975519938394,0.0035808170214295387,0.00024107174340034143,0.046500154996062006,0.00022159926023844798,1.8877214493784322e-06,7.43639690570174e-08,2.0494067349829947e-06,8.073331956666579e-08,2.9166480057021364e-11,1.8311780510664994,9.476198974137555e-08,,2026-07-10T22:13:03,,,,,,,,,,,,,,,,,,1.0,1.0,1.0
random_maze,11,random_maze_11_seed1,0.1,one_shot_rd_t0p15,49,11,4.454545454545454,"[0, 4, 11, 15, 21, 25, 31, 33, 35, 37, 48]",False,1,0.014821746968664229,0.2626815369585529,0.02454463893081993,0.30204792285803705,0.00312245509121567,0.21066714320633645,0.12721536055251975,0.010337614844923891,1.4287173790705765e-06,6.859145780000977e-08,1.4287173790705765e-06,6.859145780000977e-08,2.5811164823447534e-09,2.6008101700525823,1.8790931356585786e-06,,2026-07-10T22:13:00,0.0011859498918056488,0.002145283971913159,0.004509972990490496,0.006794692948460579,0.00015209196135401726,0.014821746968664229,2,9,"[0, 48]","[4, 11, 15, 21, 25, 31, 33, 35, 37]","{""4"": [""control"", ""flow"", ""topology""], ""11"": [""control"", ""flow"", ""topology""], ""15"": [""control"", ""flow"", ""topology""], ""21"": [""control"", ""flow"", ""topology""], ""25"": [""control"", ""flow"", ""topology""], ""31"": [""control"", ""flow"", ""topology""], ""33"": [""control"", ""flow"", ""topology""], ""35"": [""control"", ""flow"", ""topology""], ""37"": [""control"", ""flow"", ""green"", ""stochastic"", ""topology""]}",61,8.75938082780229e-07,True,2,0,0,0.9166666666666666,176.86520634182625,9.457471605447715
random_maze,15,random_maze_15_seed1,0.1,one_shot_rd_t0p15,97,15,6.466666666666667,"[0, 1, 3, 18, 20, 32, 36, 43, 45, 47, 51, 61, 63, 92, 96]",False,1,0.023951141047291458,1.2069343889597803,0.062280974932946265,1.293166504940018,0.00408444891218096,0.17053253972811683,0.06558100473825934,0.0031584864722199193,1.8989419743320468e-06,7.249785793914623e-08,1.9217379687574976e-06,7.336816402947277e-08,2.5847135265113526e-09,3.652550173073677,1.8842539663945503e-06,,2026-07-10T22:13:01,0.0020502349361777306,0.0036527320044115186,0.005961854010820389,0.012087285984307528,0.0001612040214240551,0.023951141047291458,2,13,"[0, 96]","[1, 3, 18, 20, 32, 36, 43, 45, 47, 51, 61, 63, 92]","{""1"": [""control"", ""flow"", ""green"", ""topology""], ""3"": [""control"", ""flow"", ""green"", ""topology""], ""18"": [""control"", ""flow"", ""green"", ""topology""], ""20"": [""control"", ""flow"", ""green"", ""topology""], ""32"": [""control"", ""flow"", ""green"", ""topology""], ""36"": [""control"", ""flow"", ""green"", ""topology""], ""43"": [""control"", ""flow"", ""green"", ""topology""], ""45"": [""control"", ""flow"", ""green"", ""topology""], ""47"": [""control"", ""flow"", ""green"", ""topology""], ""51"": [""control"", ""flow"", ""green"", ""topology""], ""61"": [""control"", ""flow"", ""green"", ""topology""], ""63"": [""control"", ""flow"", ""green"", ""topology""], ""92"": [""control"", ""flow"", ""green"", ""stochastic"", ""topology""]}",92,9.488204460641254e-07,True,2,0,0,0.8823529411764706,811.4106915647168,16.141569480942778
random_maze,11,random_maze_11_seed1,0.1,graph_rd_surrogate_joint,49,12,4.083333333333333,"[0, 4, 11, 15, 21, 25, 31, 33, 35, 37, 44, 48]",True,1,2.6214513359591365,0.20580987795256078,0.029348440002650023,2.8566096539143473,0.004754830966703594,0.0018138162251880585,0.16201307348105232,0.001664501469491345,1.4287173790705765e-06,6.859145780000977e-08,1.4287173790705765e-06,6.859145780000977e-08,2.5811164823447534e-09,2.6008101700525823,2.5775814060505525e-09,,2026-07-10T22:12:48,,,,,,,,,,,,,,,,,,1.0,1.0,1.0
random_maze,15,random_maze_15_seed1,0.1,graph_rd_surrogate_joint,97,17,5.705882352941177,"[0, 1, 3, 18, 20, 32, 36, 43, 45, 47, 51, 61, 63, 64, 66, 92, 96]",True,1,19.434211920946836,1.35949783900287,0.08002722996752709,20.873736989917234,0.004113135044462979,0.0002116440358474071,0.05139669392695435,0.00019704833142478374,1.8989419743320468e-06,7.249785793914623e-08,1.921737965204784e-06,7.336816389383718e-08,2.5847135265113526e-09,3.652550173073677,2.5847095321242098e-09,,2026-07-10T22:13:09,,,,,,,,,,,,,,,,,,1.0,1.0,1.0
random_maze,11,random_maze_11_seed2,0.05,one_shot_rd_t0p15,49,12,4.083333333333333,"[0, 5, 7, 11, 13, 14, 16, 23, 25, 43, 47, 48]",False,1,0.014877400011755526,0.1856611049734056,0.036408302024938166,0.2369468070100993,0.0032365069491788745,0.21754519920291962,0.08889475117411415,0.01365921317961008,1.6341290880461656e-06,7.095822383992227e-08,1.6341290880461656e-06,7.095822383992227e-08,0.00030778699197804934,1.4370739337727565,0.00030778698211187387,,2026-07-10T22:12:46,0.0012235300382599235,0.002214721986092627,0.004515331005677581,0.0067504310281947255,0.00014016102068126202,0.014877400011755526,2,10,"[0, 48]","[5, 7, 11, 13, 14, 16, 23, 25, 43, 47]","{""5"": [""control"", ""flow"", ""green"", ""stochastic"", ""topology""], ""7"": [""control"", ""flow"", ""topology""], ""11"": [""control"", ""flow"", ""green"", ""topology""], ""13"": [""control"", ""flow"", ""topology""], ""14"": [""control"", ""flow"", ""topology""], ""16"": [""control"", ""flow"", ""topology""], ""23"": [""control"", ""flow"", ""green"", ""stochastic"", ""topology""], ""25"": [""control"", ""flow"", ""topology""], ""43"": [""control"", ""flow"", ""green"", ""stochastic"", ""topology""], ""47"": [""control"", ""flow"", ""topology""]}",54,6.335972125313438e-07,True,2,0,0,0.9230769230769231,193.65678207671354,12.869358539061304
random_maze,15,random_maze_15_seed2,0.05,one_shot_rd_t0p15,97,20,4.85,"[0, 6, 7, 11, 16, 20, 22, 24, 29, 31, 34, 36, 37, 39, 46, 48, 53, 71, 75, 96]",False,1,0.025686691980808973,1.0674533100100234,0.15620652306824923,1.2493465250590816,0.0048419879749417305,0.18850181169919714,0.03099734812499594,0.0038756164745507677,2.918811865981752e-06,9.826701903173607e-08,3.251246219804216e-06,1.0945901580090336e-07,3.000614095144037,3.3739965991661367,3.000307704308787,,2026-07-10T22:12:47,0.002413199981674552,0.0037374849198386073,0.007111515966244042,0.012184913037344813,0.0001992149045690894,0.025686691980808973,2,18,"[0, 96]","[6, 7, 11, 16, 20, 22, 24, 29, 31, 34, 36, 37, 39, 46, 48, 53, 71, 75]","{""6"": [""control"", ""flow"", ""topology""], ""7"": [""control"", ""flow"", ""topology""], ""11"": [""control"", ""flow"", ""topology""], ""16"": [""control"", ""flow"", ""topology""], ""20"": [""control"", ""flow"", ""topology""], ""22"": [""control"", ""flow"", ""topology""], ""24"": [""control"", ""flow"", ""topology""], ""29"": [""control"", ""flow"", ""green"", ""stochastic"", ""topology""], ""31"": [""control"", ""flow"", ""topology""], ""34"": [""control"", ""flow"", ""green"", ""stochastic"", ""topology""], ""36"": [""control"", ""flow"", ""topology""], ""37"": [""control"", ""flow"", ""topology""], ""39"": [""control"", ""flow"", ""topology""], ""46"": [""control"", ""flow"", ""green"", ""stochastic"", ""topology""], ""48"": [""control"", ""flow"", ""topology""], ""49"": [""control"", ""flow"", ""topology""], ""53"": [""control"", ""flow"", ""topology""], ""71"": [""control"", ""flow"", ""topology""], ""75"": [""control"", ""flow"", ""topology""], ""77"": [""control"", ""flow"", ""topology""], ""81"": [""control"", ""flow"", ""green"", ""stochastic"", ""topology""]}",91,9.482974230396082e-07,True,2,0,0,0.7391304347826086,977.4810061096501,21.28155075375148
random_maze,11,random_maze_11_seed2,0.05,graph_rd_surrogate_joint,49,13,3.769230769230769,"[0, 5, 7, 11, 13, 14, 16, 23, 25, 41, 43, 47, 48]",True,1,2.881109411944635,0.12564616405870765,0.04259783809538931,3.049353414098732,0.005030360072851181,0.001745980229697659,0.11808956270472458,0.001649648102313505,1.5659587084826398e-06,6.799808495756217e-08,1.5659587084826398e-06,6.799808495756217e-08,0.0,1.4369475356721757,0.0,,2026-07-10T22:12:48,,,,,,,,,,,,,,,,,,1.0,1.0,1.0
random_maze,15,random_maze_15_seed2,0.05,graph_rd_surrogate_joint,97,20,4.85,"[0, 6, 11, 16, 20, 22, 24, 29, 31, 37, 39, 46, 48, 49, 53, 71, 75, 77, 81, 96]",True,1,25.108253521029837,1.275287932017818,0.20449002902023494,26.58803148206789,0.004897865932434797,0.00019506995691008567,0.02395161248644616,0.00018421318388080473,2.7898716474794583e-06,9.39260160869439e-08,3.094553946425549e-06,1.0418369032011963e-07,3.000614928820492,3.4494690877747156,2.999076594838074,,2026-07-10T22:13:15,,,,,,,,,,,,,,,,,,1.0,1.0,1.0
