method,n_rows,median_n_boundary,median_state_compression,median_selection_time_sec,median_final_kernel_time_sec,median_total_time_sec,median_total_speedup_vs_sparse_vi,median_selection_speedup_vs_iterative,median_total_speedup_vs_iterative,median_selection_speedup_vs_exact_search,median_total_speedup_vs_exact_search,max_normalized_start_gap,max_normalized_value_gap,median_D_occ,median_D_audit_cvar95,median_boundary_jaccard_vs_iterative
graph_rd_surrogate_joint,20,14.5,4.652272727272727,8.036840477026999,0.4755833105300553,8.643489686539397,0.0005571085402924876,1.0,1.0,nan,nan,1.0448929582693278e-07,1.0798175288399754e-07,1.3033738001412636e-09,4.86441383071631e-08,1.0
one_shot_rd_t0p15,20,13.0,4.85,0.0233333099167794,0.544938220991753,0.6157780184876174,0.00573451047533294,369.51494874470774,12.941598709270796,nan,nan,1.0898468335413392e-07,1.1952696084615613e-07,4.865876456771788e-08,1.8829634028187078e-06,0.9198717948717949
