map_family,n_rows,student_feasible_rate,teacher_feasible_rate,mean_boundary_jaccard,median_compression,max_normalized_start_gap
braid_maze,36,0.8333333333333334,0.8333333333333334,0.6404100529100529,36.0,0.0031555775822272305
corridor,6,0.6666666666666666,1.0,0.8166666666666668,42.666666666666664,1.3505737606575602e-08
four_rooms,6,1.0,0.3333333333333333,0.32261904761904764,29.6,0.007457551810577286
maze,36,0.6666666666666666,0.8611111111111112,0.7361111111111112,32.333333333333336,1.4850774313791027e-08
open_room,6,1.0,0.3333333333333333,0.36428571428571427,33.8,0.022249000484847407
