split,n_rows,match_nearest_start_rate,top_set_hit_rate,teacher_tie_rate,count_accuracy,mean_boundary_jaccard
test,90,0.7444444444444445,0.5444444444444444,0.5444444444444444,0.7555555555555555,0.6508465608465609
train,180,0.8222222222222222,0.8166666666666667,0.8,0.9222222222222223,0.8801256613756613
validation,90,0.7333333333333333,0.8333333333333334,0.6888888888888889,0.8777777777777778,0.8741534391534391
