checksum,elapsed_sec,reps,rhs,sec_per_solve,size,solve_per_sec,threads,wall_sec,speedup_vs_1_thread
0.003654445676338531,0.0002950779744423926,5,8,5.9015594888478515e-05,96,16944.6737237792,1,0.0820052910130471,1.0
0.003654445676338531,0.0002811820013448596,5,8,5.623640026897192e-05,96,17782.077003811064,2,0.0828172949841246,1.0494198527326437
0.003654445676338531,0.00028140400536358356,5,8,5.6280801072716716e-05,96,17768.048445294266,4,0.06978864199481905,1.048591949006347
0.003654445676338531,0.00032407400431111455,5,8,6.481480086222291e-05,96,15428.57474985851,8,0.06791452597826719,0.9105265171442586
0.003654445676338531,0.0004136430216021836,5,8,8.272860432043672e-05,96,12087.717521821733,16,0.08003055298468098,0.7133638403941948
0.003654445676338531,0.00028827704954892397,5,8,5.7655409909784795e-05,96,17344.42616165128,32,0.1569855409907177,1.0235916279291404
0.01476923827035528,0.0012418940314091742,5,8,0.00024837880628183486,192,4026.1084066299213,1,0.08029197598807514,1.0
0.01476923827035528,0.0012666200054809451,5,8,0.00025332400109618903,192,3947.5138386918675,2,0.07794128602836281,0.9804787750353097
0.01476923827035528,0.0012454160023480654,5,8,0.00024908320046961306,192,4014.722783851475,4,0.07413026900030673,0.9971720526055143
0.01476923827035528,0.0012092670076526701,5,8,0.00024185340153053402,192,4134.736140453869,8,0.07219056197209284,1.026980826856293
0.01476923827035528,0.0016745869652368128,5,8,0.00033491739304736257,192,2985.8108917579693,16,0.08387647697236389,0.7416121450781453
0.01476923827035528,0.0016741040162742138,5,8,0.00033482080325484274,192,2986.672244612197,32,0.11325257504358888,0.7418260868718658
-0.002186058998946833,0.007224261993542314,5,8,0.0014448523987084627,384,692.1122191400926,1,0.09163354703923687,1.0
-0.002186058998946833,0.006969518028199673,5,8,0.0013939036056399346,384,717.4097232791823,2,0.09270870999898762,1.036551159536701
-0.002186058998946833,0.0069940490066073835,5,8,0.0013988098013214766,384,714.8934751924708,4,0.0852431749808602,1.0329155524528701
-0.002186058998946833,0.006957993959076703,5,8,0.0013915987918153405,384,718.5979219596045,8,0.0797576520126313,1.0382679312502512
-0.002186058998946833,0.006932607968337834,5,8,0.0013865215936675669,384,721.2293011281876,16,0.08111250499496236,1.04206988575389
-0.002186058998946833,0.016450669965706766,5,8,0.0032901339931413532,384,303.9389891367981,32,0.15499364596325904,0.43914697751532816
