method,n_rows,median_n_boundary,median_state_compression,median_selection_time_sec,median_final_kernel_time_sec,median_total_time_sec,median_total_speedup_vs_sparse_vi,median_selection_speedup_vs_iterative,median_total_speedup_vs_iterative,median_selection_speedup_vs_exact_search,median_total_speedup_vs_exact_search,max_normalized_start_gap,max_normalized_value_gap,median_D_occ,median_D_audit_cvar95,median_boundary_jaccard_vs_iterative
endpoints,12,2.0,42.75,1.1234486009925604e-05,0.014897988468874246,0.014995658944826573,0.07689452895588678,12267.659156095473,13.08766231809389,84321.19499333214,64.78538033203273,0.009628043520071659,0.009628043520071659,1.4093193158135355,1.4093477490811033,1.0
graph_rd_joint,12,2.0,33.0,1.174590149486903,0.016778623510617763,1.19145674246829,0.001078579703473334,0.23434651212067553,0.25119039394598225,1.0,1.0,0.009628043520071659,0.009628043520071659,0.3803829923727968,0.38038299237283785,1.0
graph_rd_surrogate_joint,12,2.0,33.0,0.1872858409769833,0.016773997980635613,0.2050146940164268,0.005297775119004675,1.0,1.0,4.815686165846519,4.541137909852481,0.009628043520071659,0.009628043520071659,0.3803829923727968,0.38038299237283785,1.0
one_shot_rd_t0p10,12,3.5,21.0,0.011425640492234379,0.029805203492287546,0.042553964944090694,0.017208297617406117,35.21249423017741,7.681193770101418,153.16653077493913,23.25716756758514,0.009628043074799973,0.009628043074799973,1.4470983993044236e-16,0.38038388584264776,0.6666666666666666
one_shot_rd_t0p15,12,3.5,21.0,0.010950100957415998,0.029438601981382817,0.04261032346403226,0.017147939843245943,40.06223179680868,7.771528039228121,157.24872488876508,22.86472609140089,0.009628043074799973,0.009628043074799973,1.4470983993044236e-16,0.38038388584264776,0.6666666666666666
one_shot_rd_t0p20,12,3.5,21.0,0.010862400056794286,0.03006097045727074,0.042801560019142926,0.017070086449987625,51.26923856540534,8.072768258249758,157.28954575185395,22.952905514551137,0.009628043074799973,0.009628043074799973,1.4470983993044236e-16,0.38038388584264776,0.6666666666666666
