method,top_k,n_rows,feasible_rate,median_n_boundary,median_selection_time_sec,median_kernel_time_sec,median_total_speedup,best_total_speedup,median_break_even_tasks,max_group_total_violation,max_start_gap,mean_surrogate_topk_recall,total_exact_refine_calls
surrogate_topk_certified_refine,1,18,0.6111111111111112,3.0,25.627451439999277,0.1568679250194691,0.007653878942569584,0.01217942291355412,136.5,346.5138192174307,0.18884922922479674,,82
surrogate_topk_certified_refine,16,18,0.6666666666666666,3.0,132.19928522451664,0.1265477379783988,0.0014224918814987793,0.0022499007002101295,720.5,116.58945928855368,0.18884924354681587,,454
surrogate_topk_certified_refine,2,18,0.6111111111111112,3.0,32.837170812505065,0.16738512698793784,0.005913564022667217,0.009494848899481245,173.5,128.17685001041116,0.1888492139879574,,117
surrogate_topk_certified_refine,4,18,0.7222222222222222,3.0,47.18378464298439,0.14815012950566597,0.004015834407051258,0.006410453524746203,253.0,128.17685001041116,0.1888492482825086,,174
surrogate_topk_certified_refine,8,18,0.7222222222222222,3.0,73.07360589801101,0.13030285001150332,0.002564889236538476,0.003947916758166321,399.5,116.58945928855368,0.1888492482825086,,274
surrogate_topk_exact_refine,1,18,0.6111111111111112,3.0,25.25970465550199,0.2349889945180621,0.00778504931716088,0.012119169251937416,132.5,346.5138192174307,0.1888492956481791,,82
surrogate_topk_exact_refine,16,18,0.6666666666666666,3.0,131.33958206299576,0.19583565450739115,0.0014440959462850588,0.0022689550407676423,711.5,116.58945928855368,0.18884929565115982,,454
surrogate_topk_exact_refine,2,18,0.6111111111111112,3.0,32.18061363900779,0.2432364659907762,0.0056775479324627,0.00943821772747195,181.0,128.17685001041116,0.18884929565111364,,117
surrogate_topk_exact_refine,4,18,0.7222222222222222,3.0,48.68884417702793,0.23509048999403603,0.004069807043282376,0.006495011385070868,251.5,128.17685001041116,0.18884929565105324,,174
surrogate_topk_exact_refine,8,18,0.7222222222222222,3.0,73.76086592450156,0.18751865602098405,0.0024654404382600725,0.003960673852094633,410.0,116.58945928855368,0.18884929565105324,,274
