map_family,map_size,map,slip,method,n_states,n_boundary,state_compression_ratio,boundary,iterative_candidate_recompute,selection_time_sec,final_kernel_time_sec,graph_solve_time_sec,total_time_sec,sparse_vi_time_sec,operator_speedup_vs_sparse_vi,planning_speedup_vs_sparse_vi,total_speedup_vs_sparse_vi,start_gap,normalized_start_gap,value_gap_max,normalized_value_gap_max,D_occ,D_model,D_audit_cvar95,error,timestamp,candidate_universe_time_sec,probe_build_time_sec,green_message_passing_time_sec,operator_apply_time_sec,threshold_time_sec,total_operator_time_sec,n_probe_anchors,n_operator_selected,probe_anchors,selected_states,selection_reasons,operator_used_steps_max,operator_frontier_max,operator_message_passing_sparse
random_maze,11,random_maze_11_seed0,0.1,one_shot_rd_t0p75,49,8,6.125,"[0, 11, 13, 31, 33, 41, 47, 48]",False,0.015014152973890305,0.23325461405329406,0.015348935034126043,0.2636177020613104,0.003466043039225042,0.230851720057236,0.22581651635887556,0.013147990488206794,1.5152346719560228e-06,6.741100800233427e-08,1.5152346719560228e-06,6.741100800233427e-08,4.000001010592091,2.6741743778532996,4.0000016965630545,,2026-07-10T21:54:21,0.0011826290283352137,0.0021094640251249075,0.004842789960093796,0.006723324069753289,0.000121294055134058,0.015014152973890305,2,6,"[0, 48]","[11, 13, 31, 33, 41, 47]","{""11"": [""control"", ""flow"", ""green"", ""topology""], ""13"": [""control"", ""flow"", ""topology""], ""31"": [""control"", ""flow"", ""green"", ""stochastic"", ""topology""], ""33"": [""control"", ""flow"", ""topology""], ""41"": [""control"", ""flow"", ""topology""], ""47"": [""control"", ""flow"", ""topology""]}",67,9.487654543326838e-07,True
random_maze,15,random_maze_15_seed6,0.1,one_shot_rd_t0p75,97,11,8.818181818181818,"[0, 4, 25, 58, 60, 72, 74, 78, 85, 93, 96]",False,0.02624818100593984,0.9394923130748793,0.04940301098395139,1.0151435050647706,0.0056284189922735095,0.21443082059666627,0.11392866305460422,0.005544456487375538,2.0895578280999416e-06,6.905343545933708e-08,2.0895578280999416e-06,6.905343545933708e-08,10.004117957194246,5.151146110482631,7.001600357916505,,2026-07-10T21:54:23,0.0024091650266200304,0.00372381997294724,0.007876159041188657,0.012060023960657418,0.00014086603187024593,0.02624818100593984,2,9,"[0, 96]","[4, 25, 58, 60, 72, 74, 78, 85, 93]","{""4"": [""green"", ""stochastic""], ""25"": [""green"", ""stochastic""], ""58"": [""control"", ""flow"", ""topology""], ""60"": [""control"", ""flow"", ""topology""], ""72"": [""control"", ""flow"", ""topology""], ""74"": [""control"", ""flow"", ""topology""], ""78"": [""control"", ""flow"", ""topology""], ""85"": [""control"", ""flow"", ""topology""], ""93"": [""control"", ""flow"", ""topology""]}",102,8.071599390089896e-07,True
random_maze,11,random_maze_11_seed1,0.0,one_shot_rd_t0p15,49,11,4.454545454545454,"[0, 4, 11, 15, 21, 25, 31, 33, 35, 37, 48]",False,0.013608027016744018,0.212569160037674,0.01752055110409856,0.24369773815851659,0.0016406560316681862,0.12056531263859474,0.09364180509621012,0.006732340004735697,0.0,0.0,3.552713678800501e-15,1.8574506752829773e-16,0.0,0.0,0.0,,2026-07-10T21:54:21,0.0013044739607721567,0.0022571609588339925,0.003142682951875031,0.006733809947036207,0.0001332970568910241,0.013608027016744018,2,9,"[0, 48]","[4, 11, 15, 21, 25, 31, 33, 35, 37]","{""4"": [""control"", ""flow"", ""topology""], ""11"": [""control"", ""flow"", ""topology""], ""15"": [""control"", ""flow"", ""topology""], ""21"": [""control"", ""flow"", ""topology""], ""25"": [""control"", ""flow"", ""topology""], ""31"": [""control"", ""flow"", ""topology""], ""33"": [""control"", ""flow"", ""topology""], ""35"": [""control"", ""flow"", ""topology""], ""37"": [""control"", ""flow"", ""green"", ""topology""]}",36,0.0,True
random_maze,15,random_maze_15_seed7,0.0,one_shot_rd_t0p15,97,10,9.7,"[0, 2, 29, 39, 43, 53, 57, 59, 88, 96]",False,0.02221699303481728,0.27864827297162265,0.023172908928245306,0.32403817493468523,0.0023489679442718625,0.1057284368136897,0.10136698640405568,0.00724904695178379,3.552713678800501e-15,1.4437855571582178e-16,7.105427357601002e-15,2.8875711143164357e-16,0.0,4.440892098500626e-16,0.0,,2026-07-10T21:54:21,0.0017705810023471713,0.0038299630396068096,0.00427388190291822,0.01216541905887425,0.0001407410018146038,0.02221699303481728,2,8,"[0, 96]","[2, 29, 39, 43, 53, 57, 59, 88]","{""2"": [""control"", ""flow"", ""topology""], ""29"": [""control"", ""flow"", ""topology""], ""39"": [""control"", ""flow"", ""green"", ""topology""], ""43"": [""control"", ""flow"", ""topology""], ""53"": [""control"", ""flow"", ""topology""], ""57"": [""control"", ""flow"", ""topology""], ""59"": [""control"", ""flow"", ""topology""], ""88"": [""control"", ""flow"", ""green"", ""topology""]}",50,0.0,True
random_maze,11,random_maze_11_seed1,0.0,one_shot_rd_t0p75,49,9,5.444444444444445,"[0, 4, 11, 15, 21, 25, 31, 33, 48]",False,0.02352995309047401,0.18150812096428126,0.011587001965381205,0.21662507602013648,0.00525473989546299,0.22332130775009265,0.4535029778334997,0.024257302026172323,0.0,0.0,3.552713678800501e-15,1.8574506752829773e-16,2.0,1.012851996714,2.0,,2026-07-10T21:54:20,0.0028920379700139165,0.004667036002501845,0.005394420004449785,0.010358595056459308,0.00012823997531086206,0.02352995309047401,2,7,"[0, 48]","[4, 11, 15, 21, 25, 31, 33]","{""4"": [""control"", ""flow"", ""topology""], ""11"": [""control"", ""flow"", ""topology""], ""15"": [""control"", ""flow"", ""topology""], ""21"": [""control"", ""flow"", ""topology""], ""25"": [""control"", ""flow"", ""topology""], ""31"": [""control"", ""flow"", ""topology""], ""33"": [""control"", ""flow"", ""topology""]}",36,0.0,True
random_maze,15,random_maze_15_seed7,0.0,one_shot_rd_t0p75,97,6,16.166666666666668,"[0, 2, 29, 39, 53, 96]",False,0.022267360938712955,0.16051532002165914,0.008582346024923027,0.19136502698529512,0.002336181001737714,0.10491503722276055,0.2722077384148196,0.012207983028775841,3.552713678800501e-15,1.4437855571582178e-16,7.105427357601002e-15,2.8875711143164357e-16,4.0,0.9270632354270532,4.0,,2026-07-10T21:54:21,0.002135931048542261,0.00366047490388155,0.0041234169621020555,0.012191482004709542,0.00011778401676565409,0.022267360938712955,2,4,"[0, 96]","[2, 29, 39, 53]","{""2"": [""control"", ""flow"", ""topology""], ""29"": [""control"", ""flow"", ""topology""], ""39"": [""control"", ""flow"", ""green"", ""topology""], ""53"": [""control"", ""flow"", ""topology""]}",50,0.0,True
random_maze,11,random_maze_11_seed1,0.05,one_shot_rd_t0p15,49,11,4.454545454545454,"[0, 4, 11, 15, 21, 25, 31, 33, 35, 37, 48]",False,0.014959134976379573,0.32798052905127406,0.02487843600101769,0.3678181000286713,0.002678503980860114,0.179054737128147,0.1076636803354739,0.00728214294144667,1.364751227583838e-06,6.84209033540127e-08,1.364751227583838e-06,6.84209033540127e-08,2.9156814274748876e-11,1.3040992005365228,9.470356708220198e-08,,2026-07-10T21:54:23,0.001264479011297226,0.002117580035701394,0.004621395957656205,0.006770477048121393,0.00013585598208010197,0.014959134976379573,2,9,"[0, 48]","[4, 11, 15, 21, 25, 31, 33, 35, 37]","{""4"": [""control"", ""flow"", ""topology""], ""11"": [""control"", ""flow"", ""topology""], ""15"": [""control"", ""flow"", ""topology""], ""21"": [""control"", ""flow"", ""topology""], ""25"": [""control"", ""flow"", ""topology""], ""31"": [""control"", ""flow"", ""topology""], ""33"": [""control"", ""flow"", ""topology""], ""35"": [""control"", ""flow"", ""topology""], ""37"": [""control"", ""flow"", ""green"", ""stochastic"", ""topology""]}",53,9.564769423754557e-07,True
random_maze,15,random_maze_15_seed7,0.05,one_shot_rd_t0p15,97,10,9.7,"[0, 2, 29, 39, 43, 53, 57, 59, 88, 96]",False,0.023735548951663077,0.48019129503518343,0.028374959947541356,0.5323018039343879,0.0037401249865069985,0.15757482559698455,0.1318107582679099,0.007026324086942246,1.337779927723659e-06,5.2690717451394496e-08,1.337779927723659e-06,5.2690717451394496e-08,0.00030797646966201854,1.1944202266484727,0.0003078817440663608,,2026-07-10T21:54:24,0.0017809749115258455,0.0038466559490188956,0.005373251042328775,0.012553330045193434,0.00014457106590270996,0.023735548951663077,2,8,"[0, 96]","[2, 29, 39, 43, 53, 57, 59, 88]","{""2"": [""control"", ""flow"", ""green"", ""topology""], ""29"": [""control"", ""flow"", ""topology""], ""39"": [""control"", ""flow"", ""green"", ""stochastic"", ""topology""], ""43"": [""control"", ""flow"", ""topology""], ""53"": [""control"", ""flow"", ""topology""], ""57"": [""control"", ""flow"", ""topology""], ""59"": [""control"", ""flow"", ""topology""], ""88"": [""control"", ""flow"", ""green"", ""stochastic"", ""topology""]}",69,9.90465000726273e-07,True
random_maze,11,random_maze_11_seed1,0.05,one_shot_rd_t0p75,49,10,4.9,"[0, 4, 11, 15, 21, 25, 31, 33, 37, 48]",False,0.015152620035223663,0.3451923499815166,0.019026136957108974,0.37937110697384924,0.0027512849774211645,0.18157156788895576,0.1446055488627799,0.007252225925604861,1.3376557639332987e-06,6.706249014119012e-08,1.3376557639332987e-06,6.706249014119012e-08,1.000307584315254,2.0169614614944096,0.9998153277114309,,2026-07-10T21:54:21,0.0012992019765079021,0.002253568032756448,0.004185725003480911,0.0072359449695795774,0.00013584201224148273,0.015152620035223663,2,8,"[0, 48]","[4, 11, 15, 21, 25, 31, 33, 37]","{""4"": [""control"", ""flow"", ""topology""], ""11"": [""control"", ""flow"", ""topology""], ""15"": [""control"", ""flow"", ""topology""], ""21"": [""control"", ""flow"", ""topology""], ""25"": [""control"", ""flow"", ""topology""], ""31"": [""control"", ""flow"", ""topology""], ""33"": [""control"", ""flow"", ""topology""], ""37"": [""green"", ""stochastic""]}",53,9.564769423754557e-07,True
random_maze,15,random_maze_15_seed7,0.05,one_shot_rd_t0p75,97,7,13.857142857142858,"[0, 2, 29, 39, 53, 88, 96]",False,0.023880552034825087,0.30619985004886985,0.014478410012088716,0.34455881209578365,0.0036648359382525086,0.15346529397260442,0.2531241990793576,0.010636314642371485,9.680011778812059e-07,3.8126358079795885e-08,9.680011778812059e-07,3.8126358079795885e-08,3.000307690268733,1.4791760332990744,3.000307778775562,,2026-07-10T21:54:22,0.0021444959565997124,0.003761581960134208,0.005429781042039394,0.012382991961203516,0.00012454099487513304,0.023880552034825087,2,5,"[0, 96]","[2, 29, 39, 53, 88]","{""2"": [""control"", ""flow"", ""topology""], ""29"": [""control"", ""flow"", ""topology""], ""39"": [""control"", ""flow"", ""green"", ""stochastic"", ""topology""], ""53"": [""control"", ""flow"", ""topology""], ""88"": [""green"", ""stochastic""]}",69,9.90465000726273e-07,True
