method,n_rows,median_n_boundary,median_state_compression,median_selection_time_sec,median_final_kernel_time_sec,median_total_time_sec,median_total_speedup_vs_sparse_vi,median_selection_speedup_vs_iterative,median_total_speedup_vs_iterative,max_normalized_start_gap,max_normalized_value_gap,median_D_occ,median_D_audit_cvar95,median_boundary_jaccard_vs_iterative
one_shot_rd_t0p15,108,18.0,6.295833333333333,0.02469787548761815,0.8778696189983748,0.9943323395564221,0.003538280748051839,nan,nan,1.4566692919513962e-07,1.4566692919513962e-07,9.869293711310815e-07,1.8842575577633448e-06,nan
one_shot_rd_t0p75,108,10.0,9.7,0.024931610969360918,0.6242991589824669,0.6721911574713886,0.005841644230094187,nan,nan,1.0592974289609533e-07,1.0592974289609533e-07,7.000460255567933,5.501373429166223,nan
