map_family,map_size,map,method_spec,method,kernel_label,first_hit_mode,first_hit_truncation_steps,n_states,n_boundary,state_compression_ratio,construction_time_sec,kernel_time_sec,smdp_solve_time_sec,compressed_total_time_sec,full_vi_time_sec,planning_time_speedup_vs_full_vi,total_time_speedup_vs_full_vi,start_gap_vs_full,value_gap_max_vs_full,occupancy_struct_hidden_distinct,occupancy_model_residual,struct_hidden_distinct_cvar95,start_value,error,kernel_time_speedup_vs_exact,total_time_speedup_vs_exact,start_value_abs_diff_vs_exact,start_gap_delta_vs_exact,value_gap_delta_vs_exact
corridor,32,corridor_32,endpoints,endpoints,exact,exact,0,32,2,16.0,5.819019861519337e-06,0.0038878240156918764,9.544100612401962e-05,0.003989084041677415,0.024187411996535957,253.42788156597936,6.063399954432927,2.091127271341975e-11,2.091127271341975e-11,0.0,0.15547816013488003,0.0,-21.18627010363347,,1.0,1.0,0.0,0.0,0.0
corridor,32,corridor_32,endpoints,endpoints,truncated_K16,truncated,16,32,2,16.0,6.87700230628252e-06,0.003987232979852706,8.370395516976714e-05,0.004077813937328756,0.029959255014546216,357.91922799565793,7.3468911222986195,7.713804898906069,7.713804898906069,0.0,0.07705434977814529,0.0,-13.472465204706488,,0.9750681827063684,0.9782408179934113,7.7138048989269805,7.713804898885158,7.713804898885158
corridor,32,corridor_32,endpoints,endpoints,truncated_K32,truncated,32,32,2,16.0,6.678979843854904e-06,0.004445910977665335,8.21270514279604e-05,0.00453471700893715,0.031259629991836846,380.62525621362335,6.89340259386186,0.2895805645982321,0.2895805645982321,0.0,0.16403536537607555,0.0,-20.896689539014325,,0.8744718540751069,0.8796765120768538,0.2895805646191434,0.28958056457732084,0.28958056457732084
corridor,32,corridor_32,endpoints,endpoints,truncated_K64,truncated,64,32,2,16.0,7.5160060077905655e-06,0.005761385022196919,8.543400326743722e-05,0.0058543350314721465,0.03017305996036157,353.1738980544986,5.153968776668077,2.0893509145025746e-11,2.0893509145025746e-11,0.0,0.1554781601348788,0.0,-21.18627010363345,,0.6748071862431058,0.6813897770169655,1.7763568394002505e-14,-1.7763568394002505e-14,-1.7763568394002505e-14
corridor,32,corridor_32,turn_articulation,turn_articulation,exact,exact,0,32,2,16.0,0.00027231499552726746,0.003917326976079494,8.397898636758327e-05,0.0042736209579743445,0.030551792995538563,363.8028311250475,7.148924365538449,2.091127271341975e-11,2.091127271341975e-11,0.0,0.15547816013488003,0.0,-21.18627010363347,,1.0,1.0,0.0,0.0,0.0
corridor,32,corridor_32,turn_articulation,turn_articulation,truncated_K16,truncated,16,32,2,16.0,0.0002702539786696434,0.0038717560237273574,8.703197818249464e-05,0.004229041980579495,0.029859770962502807,343.0896503339357,7.060646619169099,7.713804898906069,7.713804898906069,0.0,0.07705434977814529,0.0,-13.472465204706488,,1.011770099167629,1.01054115272432,7.7138048989269805,7.713804898885158,7.713804898885158
corridor,32,corridor_32,turn_articulation,turn_articulation,truncated_K32,truncated,32,32,2,16.0,0.000272811041213572,0.00454632198670879,8.221605094149709e-05,0.004901349078863859,0.030300516984425485,368.5474629034005,6.182076913291227,0.2895805645982321,0.2895805645982321,0.0,0.16403536537607555,0.0,-20.896689539014325,,0.8616475004480174,0.871927481436392,0.2895805646191434,0.28958056457732084,0.28958056457732084
corridor,32,corridor_32,turn_articulation,turn_articulation,truncated_K64,truncated,64,32,2,16.0,0.00029211898799985647,0.005688338016625494,8.372595766559243e-05,0.006064182962290943,0.030504558002576232,364.33811989841496,5.030283253698556,2.0893509145025746e-11,2.0893509145025746e-11,0.0,0.1554781601348788,0.0,-21.18627010363345,,0.6886593174720266,0.7047315334232338,1.7763568394002505e-14,-1.7763568394002505e-14,-1.7763568394002505e-14
open_room,7,open_room_7,endpoints,endpoints,exact,exact,0,49,2,24.5,7.494003511965275e-06,0.006037490034941584,9.685201803222299e-05,0.006141836056485772,0.02342448104172945,241.85847148725438,3.8139215743137957,0.049732315443677066,0.049732315443677066,0.0,0.827700405209694,0.0,-10.763288267599966,,1.0,1.0,0.0,0.0,0.0
open_room,7,open_room_7,endpoints,endpoints,truncated_K16,truncated,16,49,2,24.5,7.96798849478364e-06,0.00609042402356863,8.76269768923521e-05,0.006186018988955766,0.0289464250090532,330.3369126223911,4.679330125034019,0.043377005242625444,0.043377005242625444,0.0,0.8270125564088104,0.0,-10.756932957398915,,0.991308652989972,0.9928576144772792,0.006355310201051623,-0.006355310201051623,-0.006355310201051623
