map_family,map_size,map,terminal_basis,src_state,target_state,n_interior,n_terminals,spectral_radius,row_q,row_q_lt_1,weighted_q,weighted_q_target,weighted_q_lt_1,weighted_violation,weight_min,weight_max,weight_mean,weight_dynamic_range,weight_start,entry_scale,row_scale,solve_method,weighted_entry_tail_K32,weighted_row_tail_K32,rowsum_tail_K32,actual_tail_entry_K32,actual_tail_row_K32,weighted_entry_tail_K64,weighted_row_tail_K64,rowsum_tail_K64,actual_tail_entry_K64,actual_tail_row_K64,weighted_entry_tail_K128,weighted_row_tail_K128,rowsum_tail_K128,actual_tail_entry_K128,actual_tail_row_K128
corridor,128,corridor_128,boundary,127,0,127,1,0.7438554583746873,1.0,False,0.8244424718547648,0.8244424718552664,True,0.0,1.3264452251244334,1993975612978.023,83470581826.48962,1503247608879.5667,1993975612978.023,0.7161999470508711,0.7161999470508711,optimized_solve,13919589951.388733,13919589951.388733,inf,0.999999999999985,0.999999999999985,28890686.209788665,28890686.209788665,inf,0.999999999999985,0.999999999999985,124.45738973268159,124.45738973268159,inf,0.9757702341239409,0.9757702341239409
corridor,128,corridor_128,residual,127,0,127,1,0.7438554583746873,1.0,False,0.8244424718547648,0.8244424718552664,True,0.0,1.3264452251244334,1993975612978.023,83470581826.48962,1503247608879.5667,1993975612978.023,0.7161999470508711,0.7161999470508711,optimized_solve,13919589951.388733,13919589951.388733,inf,0.999999999999985,0.999999999999985,28890686.209788665,28890686.209788665,inf,0.999999999999985,0.999999999999985,124.45738973268159,124.45738973268159,inf,0.9757702341239409,0.9757702341239409
corridor,128,corridor_128,boundary,0,127,127,1,0.2824329348332054,1.0,False,0.8185754147105604,0.8185754147107515,True,0.0,1.3371386798951341,5230937588610.221,211892924493.9513,3912038195634.622,5230937588610.221,0.710472304992706,0.710472304992706,optimized_solve,27692843228.814236,27692843228.814236,inf,1.0,1.0,45734701.06437817,45734701.06437817,inf,1.0,1.0,124.739052248805,124.739052248805,inf,0.9757702341239559,0.9757702341239559
corridor,128,corridor_128,residual,0,127,127,1,0.2824329348332054,1.0,False,0.8185754147105604,0.8185754147107515,True,0.0,1.3371386798951341,5230937588610.221,211892924493.9513,3912038195634.622,5230937588610.221,0.710472304992706,0.710472304992706,optimized_solve,27692843228.814236,27692843228.814236,inf,1.0,1.0,45734701.06437817,45734701.06437817,inf,1.0,1.0,124.739052248805,124.739052248805,inf,0.9757702341239559,0.9757702341239559
open_room,12,open_room_12,boundary,143,0,143,1,0.3572644797018006,1.0,False,0.3594506192009915,0.35945061920099836,True,0.0,10.564012202586714,145031326421142.2,3038077468889.0215,13728810951735.713,145031326421142.2,0.08992795367723848,0.08992795367723848,optimized_solve,0.04414674672034328,0.04414674672034328,inf,0.00021471452624677312,0.00021471452624677312,2.6628963315435983e-16,2.6628963315435983e-16,inf,3.3306690738754696e-16,3.3306690738754696e-16,9.688696869571777e-45,9.688696869571777e-45,inf,3.3306690738754696e-16,3.3306690738754696e-16
open_room,12,open_room_12,residual,143,0,141,3,0.3554437831143804,1.0,False,0.35685968432640175,0.3568596843264279,True,0.0,15.605167774543242,38171304376275.55,1201959227364.296,2446068182525.055,27156124231751.08,0.06087726923062871,0.06087726923062871,optimized_solve,0.004389694388300615,0.004389694388300615,inf,2.608030512690762e-05,2.6080306962439348e-05,2.100650824302921e-17,2.100650824302921e-17,inf,1.1102230246251565e-15,1.2490009027033011e-15,4.810531195422247e-46,4.810531195422247e-46,inf,1.1102230246251565e-15,1.2490009027033011e-15
open_room,12,open_room_12,boundary,0,143,143,1,0.3572645129498667,1.0,False,0.3594506523359708,0.35945065233597767,True,0.0,10.563936107716547,145028577990205.8,3038019977949.3545,13728649672944.164,145028577990205.8,0.0899286014524512,0.0899286014524512,optimized_solve,0.04414636468512195,0.04414636468512195,inf,0.00021471452624877152,0.00021471452624877152,2.662881142528672e-16,2.662881142528672e-16,inf,2.3314683517128287e-15,2.3314683517128287e-15,9.688698765692715e-45,9.688698765692715e-45,inf,2.3314683517128287e-15,2.3314683517128287e-15
open_room,12,open_room_12,residual,0,143,141,3,0.3554437786971517,1.0,False,0.35685967991887635,0.35685967991890255,True,0.0,15.605199114507668,38171440550879.77,1201963514576.4138,2446071996312.6245,27156221648088.047,0.06087714697064099,0.06087714697064099,optimized_solve,0.004389699500219804,0.004389699500219804,inf,2.608030512690762e-05,2.6080306962439348e-05,2.100652440332178e-17,2.100652440332178e-17,inf,1.1102230246251565e-15,1.2490009027033011e-15,4.810531093649359e-46,4.810531093649359e-46,inf,1.1102230246251565e-15,1.2490009027033011e-15
maze,13,maze_13,boundary,70,0,70,1,0.4644882339024664,1.0,False,0.46449358902012744,0.4644935890201274,True,0.0,2.6740794078979144,2.363652991828161e+20,5.885157532243017e+18,8.839127906400585e+19,3938324608.256311,0.3552624492728853,0.3552624492728853,optimized_solve,0.026756360508050754,0.026756360508050754,inf,0.001141422144890658,0.001141422144890658,5.898997516709953e-13,5.898997516709953e-13,inf,0.0,0.0,2.8673490386209093e-34,2.8673490386209093e-34,inf,0.0,0.0
maze,13,maze_13,residual,70,0,54,17,0.2764193355078182,1.0,False,0.27800883007861504,0.2780088302842691,True,0.0,4.087045954587467,4862535391.524739,118496125.11490354,1189743263.3628285,181.9908642204864,0.23244172210338895,0.23651964705257122,optimized_solve,2.640980899140526e-17,2.6873138973710622e-17,inf,2.0029671421627253e-30,2.0029671421627253e-30,4.2819357321021334e-35,4.3570574116126974e-35,inf,0.0,0.0,1.12561510800843e-70,1.145362741482262e-70,inf,0.0,0.0
maze,13,maze_13,boundary,0,70,70,1,0.2941197167967785,1.0,False,0.2990951662338081,0.29909516623380805,True,0.0,6.292370558446574,2.6002491131851774e+20,5.00833790501756e+18,4.132383954557044e+19,3.2525638151154017e+18,0.15097648671131833,0.15097648671131833,optimized_solve,3.525218971903231,3.525218971903231,inf,0.0010394282046358727,0.0010394282046358727,5.930437279305608e-17,5.930437279305608e-17,inf,1.3322676295501878e-15,1.3322676295501878e-15,1.6783709500523459e-50,1.6783709500523459e-50,inf,1.3322676295501878e-15,1.3322676295501878e-15
maze,13,maze_13,residual,0,70,54,17,0.27267730788712696,1.0,False,0.27268458108641563,0.2726845811140481,True,0.0,4.177960254112254,36189311440.05628,875386064.0928057,8661956849.502367,31.744392429471432,0.227383685391679,0.23137287285469094,optimized_solve,2.3632121770021572e-18,2.404672039756581e-18,inf,0.0,0.0,2.0636751004201525e-36,2.0998799267433133e-36,inf,0.0,0.0,1.5736876657287625e-72,1.6012962212678639e-72,inf,0.0,0.0
four_rooms,11,four_rooms_11,boundary,103,0,103,1,0.37169139611109203,1.0,False,0.37551949487050906,0.375519494870784,True,0.0,5.198478018781721,3636712126893.5376,86305557322.6137,699572473665.2463,3636712126893.5376,0.18274579532080726,0.18274579532080726,optimized_solve,0.00977033689314925,0.00977033689314925,inf,5.02912764652752e-05,5.02912764652752e-05,2.3886315098447995e-16,2.3886315098447995e-16,inf,9.992007221626409e-16,9.992007221626409e-16,1.4276718392151313e-43,1.4276718392151313e-43,inf,9.992007221626409e-16,9.992007221626409e-16
four_rooms,11,four_rooms_11,residual,103,0,89,15,0.36664329015843794,1.0,False,0.37050214549683125,0.3705021455367988,True,0.0,5.1830474540019615,25020356692.900215,812136228.701948,4827344706.940966,6234069676.666311,0.18328985185471938,0.18328985185471938,optimized_solve,1.0690790434486347e-05,1.0690790434486347e-05,inf,7.015931209174847e-08,8.695570566902045e-08,1.6994683763700359e-19,1.6994683763700359e-19,inf,1.0164395367051604e-20,1.3592542018201058e-20,4.294569448223811e-47,4.294569448223811e-47,inf,1.0164395367051604e-20,1.3592542018201058e-20
