map,terminal_basis,n_edges,row_q_lt_1,weighted_q_lt_1,spectral_radius_max,row_q_max,weighted_q_max,weight_max_max,weight_dynamic_range_max,weighted_row_tail_K32_max,actual_tail_row_K32_max,weighted_row_tail_K64_max,actual_tail_row_K64_max,weighted_row_tail_K128_max,actual_tail_row_K128_max
corridor_128,boundary,2,0,2,0.7438554583746873,1.0,0.8244424718547648,5230937588610.221,3912038195634.622,27692843228.814236,1.0,45734701.06437817,1.0,124.739052248805,0.9757702341239559
corridor_128,residual,2,0,2,0.7438554583746873,1.0,0.8244424718547648,5230937588610.221,3912038195634.622,27692843228.814236,1.0,45734701.06437817,1.0,124.739052248805,0.9757702341239559
four_rooms_11,boundary,2,0,2,0.37169139611109203,1.0,0.37551949487050906,3636712126893.5376,699572473665.2463,0.00977033689314925,5.02912764652752e-05,2.3886315098447995e-16,1.2212453270876722e-15,1.4276718392151313e-43,1.2212453270876722e-15
four_rooms_11,residual,2,0,2,0.36664329015843794,1.0,0.37050214549683125,25020356692.900215,4827344706.940966,1.0690790434486347e-05,8.695570566902045e-08,1.6994683763700359e-19,2.2219369740622287e-16,4.294569448223811e-47,2.2219369740622287e-16
maze_13,boundary,2,0,2,0.4644882339024664,1.0,0.46449358902012744,2.6002491131851774e+20,8.839127906400585e+19,3.525218971903231,0.001141422144890658,5.898997516709953e-13,1.3322676295501878e-15,2.8673490386209093e-34,1.3322676295501878e-15
maze_13,residual,2,0,2,0.2764193355078182,1.0,0.27800883007861504,36189311440.05628,8661956849.502367,2.6873138973710622e-17,2.0029671421627253e-30,4.3570574116126974e-35,0.0,1.145362741482262e-70,0.0
open_room_12,boundary,2,0,2,0.3572645129498667,1.0,0.3594506523359708,145031326421142.2,13728810951735.713,0.04414674672034328,0.00021471452624877152,2.6628963315435983e-16,2.3314683517128287e-15,9.688698765692715e-45,2.3314683517128287e-15
open_room_12,residual,2,0,2,0.3554437831143804,1.0,0.35685968432640175,38171440550879.77,2446071996312.6245,0.004389699500219804,2.6080306962439348e-05,2.100652440332178e-17,1.2490009027033011e-15,4.810531195422247e-46,1.2490009027033011e-15
