method,top_k,n_rows,feasible_rate,median_n_boundary,median_selection_time_sec,median_kernel_time_sec,median_total_speedup,best_total_speedup,median_break_even_tasks,max_group_total_violation,max_start_gap,mean_surrogate_topk_recall,total_exact_refine_calls,median_adaptive_topk_used_mean,max_adaptive_topk_used,total_adaptive_topk_cap_hits,total_refined_candidates
adaptive_topk_certified_refine,4,18,0.7222222222222222,3.0,23.579303502454422,0.1460949060274288,0.007529030244350662,0.012118216051519042,136.0,128.17685001041116,0.1888492482825086,,141,1.0,4.0,19,95
adaptive_topk_exact_refine,4,18,0.7222222222222222,3.0,24.231489408470225,0.26372407251619734,0.007407175944588458,0.012193369544748965,139.0,128.17685001041116,0.18884929565105324,,141,1.0,4.0,19,95
