map_family,map_size,map,slip,method,top_k,proposal_backend,refine_mode,final_first_hit_mode,n_states,n_basis,n_boundary,state_compression_ratio,group_all_feasible,n_groups_feasible,group_total_violation,group_max_violation,selection_time_sec,proposal_time_sec,refine_time_sec,diagnostic_operator_time_sec,probe_green_kernel_time_sec,probe_operator_delta_time_sec,active_weight_time_sec,candidate_score_time_sec,exact_refine_calls,surrogate_topk_recall,surrogate_topk_recall_hits,surrogate_topk_recall_steps,adaptive_topk,adaptive_topk_schedule,adaptive_topk_margin,adaptive_topk_used_mean,adaptive_topk_used_max,adaptive_topk_cap_hits,adaptive_topk_clear_margin_steps,adaptive_topk_feasible_steps,refined_candidates_total,kernel_time_sec,smdp_solve_time_sec,upfront_time_sec,compressed_total_time_sec,full_vi_time_sec,planning_speedup,total_speedup,break_even_tasks,start_gap,value_gap_max,first_hit_used_steps_max,first_hit_tail_bound_max,stop_reason,boundary
open_room,16,open_room_16,0.1,adaptive_topk_exact_refine,4,insertion_score,adaptive_exact,exact,256,31,4,64.0,False,1,116.58945928855368,58.29472964427684,217.5940517350682,14.398543293005787,203.19550844206242,0.0,0.0,0.0,0.0,0.0,15,,0,0,True,"1,2,4",1e-09,4.0,4,3,0,0,12,0.34848256496479735,0.0035263989702798426,217.942534300033,217.94606069900328,0.42666635796194896,120.9920833002314,0.0019576695104904927,516,0.18884929565105324,0.20455173260028658,0,0.0,no_positive_exact_refine_gain,"[0, 17, 238, 255]"
open_room,16,open_room_16,0.1,adaptive_topk_certified_refine,4,insertion_score,adaptive_certified_adaptive_green,adaptive,256,31,4,64.0,False,1,116.58945928855368,58.29472964427684,212.15259485616116,14.21940577402711,197.93318908213405,0.0,0.0,0.0,0.0,0.0,15,,0,0,True,"1,2,4",1e-09,4.0,4,3,0,0,12,0.19920521299354732,0.0037051099934615195,212.3518000691547,212.35550517914817,0.4259788250201382,114.97062861072179,0.0020059702462659128,503,0.1888492482825086,0.20455169552125696,62,9.771615772640661e-07,no_positive_exact_refine_gain,"[0, 17, 238, 255]"
four_rooms,11,four_rooms_11,0.0,adaptive_topk_exact_refine,4,insertion_score,adaptive_exact,exact,104,29,3,34.666666666666664,True,3,0.0,0.0,6.781602050934453,0.6706260869977996,6.110975963936653,0.0,0.0,0.0,0.0,0.0,3,,0,0,True,"1,2,4",1e-09,1.0,1,0,0,1,1,0.0876286739949137,0.002134633017703891,6.869230724929366,6.87136535794707,0.05255221400875598,24.61885184615178,0.007648001710166201,137,1.7763568394002505e-15,1.7763568394002505e-15,0,0.0,feasible,"[0, 10, 103]"
four_rooms,11,four_rooms_11,0.0,adaptive_topk_certified_refine,4,insertion_score,adaptive_certified_adaptive_green,adaptive,104,29,3,34.666666666666664,True,3,0.0,0.0,7.177191787981428,0.6827404689975083,6.49445131898392,0.0,0.0,0.0,0.0,0.0,3,,0,0,True,"1,2,4",1e-09,1.0,1,0,0,1,1,0.046637591964099556,0.0019995500333607197,7.223829379945528,7.2258289299788885,0.05477344599785283,27.392885941340023,0.007580230106279704,137,3.552713678800501e-15,3.552713678800501e-15,19,0.0,feasible,"[0, 10, 103]"
four_rooms,11,four_rooms_11,0.05,adaptive_topk_exact_refine,4,insertion_score,adaptive_exact,exact,104,29,5,20.8,True,3,0.0,0.0,47.41842648090096,3.4843082510633394,43.93411822983762,0.0,0.0,0.0,0.0,0.0,13,,0,0,True,"1,2,4",1e-09,3.0,4,2,0,1,9,0.27866984804859385,0.010519433999434114,47.697096328949556,47.70761576294899,0.11537772096926346,10.968054077383835,0.0024184340198964392,455,0.057678506741607904,0.05921806268095331,0,0.0,feasible,"[0, 10, 92, 102, 103]"
four_rooms,11,four_rooms_11,0.05,adaptive_topk_certified_refine,4,insertion_score,adaptive_certified_adaptive_green,adaptive,104,29,5,20.8,True,3,0.0,0.0,49.165716712072026,3.578505413956009,45.58721129811602,0.0,0.0,0.0,0.0,0.0,13,,0,0,True,"1,2,4",1e-09,3.0,4,2,0,1,9,0.1893256509792991,0.0075605029705911875,49.355042363051325,49.362602866021916,0.1161780699621886,15.36644723427761,0.002353564504641594,455,0.057678433786927386,0.0592180197859431,39,9.398536806881555e-07,feasible,"[0, 10, 92, 102, 103]"
four_rooms,11,four_rooms_11,0.1,adaptive_topk_exact_refine,4,insertion_score,adaptive_exact,exact,104,29,6,17.333333333333332,False,0,128.17685001041116,46.84521660541867,97.22568446508376,5.700701983878389,91.52498248120537,0.0,0.0,0.0,0.0,0.0,21,,0,0,True,"1,2,4",1e-09,4.0,4,4,0,0,16,0.3819466580171138,0.013653196976520121,97.60763112310087,97.6212843200774,0.14667740400182083,10.743081217832502,0.0015025145901676512,734,0.12286824350195502,0.13081026305813204,0,0.0,budget_not_met,"[0, 10, 11, 92, 102, 103]"
four_rooms,11,four_rooms_11,0.1,adaptive_topk_certified_refine,4,insertion_score,adaptive_certified_adaptive_green,adaptive,104,29,6,17.333333333333332,False,0,128.17685001041116,46.84521660541867,98.48068410204723,5.698933838924859,92.78175026312238,0.0,0.0,0.0,0.0,0.0,21,,0,0,True,"1,2,4",1e-09,4.0,4,4,0,0,16,0.33875349402660504,0.01300351700047031,98.81943759607384,98.83244111307431,0.1505379379959777,11.576709438725928,0.0015231632073495693,719,0.12286804502913284,0.13081017889193625,49,9.99839718315182e-07,budget_not_met,"[0, 10, 11, 92, 102, 103]"
four_rooms,15,four_rooms_15,0.0,adaptive_topk_exact_refine,4,insertion_score,adaptive_exact,exact,200,33,3,66.66666666666667,True,3,0.0,0.0,17.751360433991067,2.0104660050128587,15.740894428978208,0.0,0.0,0.0,0.0,0.0,3,,0,0,True,"1,2,4",1e-09,1.0,1,0,0,1,1,0.41934756201226264,0.0008254230488091707,18.17070799600333,18.17153341905214,0.14042053098091856,170.11946926306675,0.007727500356887501,131,0.0,0.0,0,0.0,feasible,"[0, 85, 199]"
four_rooms,15,four_rooms_15,0.0,adaptive_topk_certified_refine,4,insertion_score,adaptive_certified_adaptive_green,adaptive,200,33,3,66.66666666666667,True,3,0.0,0.0,17.26069303107215,1.9760809930157848,15.284612038056366,0.0,0.0,0.0,0.0,0.0,3,,0,0,True,"1,2,4",1e-09,1.0,1,0,0,1,1,0.13251830701483414,0.0006487230421043932,17.393211338086985,17.39386006112909,0.13758934900397435,212.09258816774587,0.007910225132341499,128,3.552713678800501e-15,3.552713678800501e-15,27,0.0,feasible,"[0, 85, 199]"
