method_group,n_rows,pareto_rows,median_rate_budget_boundary_frac,median_state_compression_ratio,median_start_gap,median_hidden_audit,mean_group_feasible_rate,median_total_speedup,median_success_rate
baseline:dense_turn,5,4,0.03125,32.0,2.9458355754741206e-08,0.0,1.0,5.1104805334320655,1.0
baseline:endpoints,13,13,0.024691358024691357,40.5,1.5482417126122527e-08,155.45261238473825,0.1111111111111111,3.241054246861514,1.0
full_mdp,10,5,1.0,1.0,0.0,0.0,nan,1.0,1.0
option_baseline:bottleneck,15,8,0.1875,5.333333333333333,1.4097167877480388e-11,2.0,1.0,0.3402242065395214,1.0
option_baseline:coverage,15,1,0.1875,5.333333333333333,2.9125146738806507e-11,2.0,1.0,0.4021443366732887,1.0
option_baseline:eigen,15,3,0.1875,5.333333333333333,2.332356530132529e-11,2.1,1.0,0.3368243722255218,1.0
option_baseline:random,15,1,0.1875,5.333333333333333,2.1433521624203422e-11,2.0,1.0,0.34653423760438384,1.0
ours:group_rd,26,18,0.06582351250359299,15.266666666666666,2.949906985350026e-11,0.0,0.9230769230769231,0.015162867929298662,1.0
ours:rd_graph,21,19,0.125,8.0,1.9127810446661897e-11,0.0,1.0,0.1836481420149601,1.0
