source,comparison_protocol,map,slip,method,method_group,n_states,n_boundary,rate_budget_boundary_frac,state_compression_ratio,planning_speedup,total_speedup,start_gap,normalized_start_gap,value_gap_max,normalized_value_gap_max,hidden_audit,normalized_hidden_audit,audit_metric,success_rate,group_feasible,budget_label,pareto_nondominated,pareto_dominated_by,representation_scope
core_benchmark,core_benchmark,corridor_16,0.0,full_vi,full_mdp,16.0,16.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,occupancy_struct_hidden_distinct,1.0,,exact_or_same_protocol,False,graph_rd_joint;graph_rd_surrogate_joint;group_constrained_rd;eigenoptions_sqrt;betweenness_sqrt,
core_benchmark,core_benchmark,corridor_16,0.0,graph_rd_joint,ours:rd_graph,16.0,2.0,0.125,8.0,42.03407732875748,0.217498848407775,1.7763568394002505e-15,5.3290705182007555e-17,1.7763568394002505e-15,5.3290705182007555e-17,0.0,0.0,occupancy_struct_hidden_distinct,1.0,,exact_or_same_protocol,True,,
core_benchmark,core_benchmark,corridor_16,0.0,graph_rd_surrogate_joint,ours:rd_graph,16.0,2.0,0.125,8.0,44.38175666685393,0.234673997969638,1.7763568394002505e-15,5.3290705182007555e-17,1.7763568394002505e-15,5.3290705182007555e-17,0.0,0.0,occupancy_struct_hidden_distinct,1.0,,exact_or_same_protocol,True,,
core_benchmark,core_benchmark,corridor_16,0.0,group_constrained_rd,ours:group_rd,16.0,3.0,0.1875,5.333333333333333,18.36486857258216,0.014372218194298394,1.7763568394002505e-15,5.3290705182007555e-17,1.7763568394002505e-15,5.3290705182007555e-17,0.0,0.0,occupancy_struct_hidden_distinct,1.0,True,exact_or_same_protocol,False,graph_rd_joint;graph_rd_surrogate_joint,
core_benchmark,core_benchmark,corridor_16,0.0,eigenoptions_sqrt,option_baseline:eigen,16.0,4.0,0.25,4.0,2.433667767123959,0.4170336688981423,1.7763568394002505e-15,5.3290705182007555e-17,1.7763568394002505e-15,5.3290705182007555e-17,0.0,0.0,occupancy_struct_hidden_distinct,1.0,,exact_or_same_protocol,False,graph_rd_joint;graph_rd_surrogate_joint;group_constrained_rd,
core_benchmark,core_benchmark,corridor_16,0.0,betweenness_sqrt,option_baseline:bottleneck,16.0,4.0,0.25,4.0,3.9469665046556845,0.43633520673987986,0.0,0.0,8.881784197001252e-16,2.6645352591003778e-17,0.0,0.0,occupancy_struct_hidden_distinct,1.0,,exact_or_same_protocol,False,graph_rd_joint;graph_rd_surrogate_joint;group_constrained_rd,
core_benchmark,core_benchmark,corridor_16,0.0,random_landmarks_sqrt,option_baseline:random,16.0,4.0,0.25,4.0,3.2005139677991057,0.4447965476893905,0.0,0.0,0.0,0.0,0.0,0.0,occupancy_struct_hidden_distinct,1.0,,exact_or_same_protocol,False,graph_rd_joint;graph_rd_surrogate_joint;group_constrained_rd,
core_benchmark,core_benchmark,corridor_16,0.0,coverage_sqrt,option_baseline:coverage,16.0,4.0,0.25,4.0,9.370236257559647,0.46797531538651094,1.7763568394002505e-15,5.3290705182007555e-17,1.7763568394002505e-15,5.3290705182007555e-17,0.0,0.0,occupancy_struct_hidden_distinct,1.0,,exact_or_same_protocol,False,graph_rd_joint;graph_rd_surrogate_joint;group_constrained_rd,
core_benchmark,core_benchmark,corridor_16,0.05,full_vi,full_mdp,16.0,16.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,occupancy_struct_hidden_distinct,1.0,,exact_or_same_protocol,False,eigenoptions_sqrt;betweenness_sqrt,
core_benchmark,core_benchmark,corridor_16,0.05,graph_rd_joint,ours:rd_graph,16.0,2.0,0.125,8.0,100.25290061446324,0.297326843623683,3.809041970725957e-11,1.142712591217788e-12,3.809041970725957e-11,1.142712591217788e-12,0.0,0.0,occupancy_struct_hidden_distinct,1.0,,exact_or_same_protocol,True,,
core_benchmark,core_benchmark,corridor_16,0.05,graph_rd_surrogate_joint,ours:rd_graph,16.0,2.0,0.125,8.0,100.18073200564912,0.2995360935217738,3.809041970725957e-11,1.142712591217788e-12,3.809041970725957e-11,1.142712591217788e-12,0.0,0.0,occupancy_struct_hidden_distinct,1.0,,exact_or_same_protocol,True,,
core_benchmark,core_benchmark,corridor_16,0.05,group_constrained_rd,ours:group_rd,16.0,3.0,0.1875,5.333333333333333,41.26651287444448,0.017420266257998213,3.808686699358077e-11,1.142606009807424e-12,3.808686699358077e-11,1.142606009807424e-12,0.0,0.0,occupancy_struct_hidden_distinct,1.0,True,exact_or_same_protocol,False,graph_rd_joint;graph_rd_surrogate_joint,
core_benchmark,core_benchmark,corridor_16,0.05,eigenoptions_sqrt,option_baseline:eigen,16.0,4.0,0.25,4.0,3.2598309983460725,0.8092726802720345,2.332356530132529e-11,6.997069590397592e-13,2.332356530132529e-11,6.997069590397592e-13,0.0,0.0,occupancy_struct_hidden_distinct,1.0,,exact_or_same_protocol,False,graph_rd_joint;graph_rd_surrogate_joint;group_constrained_rd,
core_benchmark,core_benchmark,corridor_16,0.05,betweenness_sqrt,option_baseline:bottleneck,16.0,4.0,0.25,4.0,4.225567971723833,0.8068607489133391,2.4725110847612086e-11,7.417533254283632e-13,2.4725110847612086e-11,7.417533254283632e-13,0.0,0.0,occupancy_struct_hidden_distinct,1.0,,exact_or_same_protocol,False,graph_rd_joint;graph_rd_surrogate_joint;group_constrained_rd,
core_benchmark,core_benchmark,corridor_16,0.05,random_landmarks_sqrt,option_baseline:random,16.0,4.0,0.25,4.0,5.646700714976686,0.9387431669326803,3.803357628839876e-11,1.1410072886519638e-12,3.803357628839876e-11,1.1410072886519638e-12,0.0,0.0,occupancy_struct_hidden_distinct,1.0,,exact_or_same_protocol,False,graph_rd_joint;graph_rd_surrogate_joint;group_constrained_rd,
core_benchmark,core_benchmark,corridor_16,0.05,coverage_sqrt,option_baseline:coverage,16.0,4.0,0.25,4.0,11.425430432405312,0.9807747838805151,3.807265613886557e-11,1.1421796841659679e-12,3.807265613886557e-11,1.1421796841659679e-12,0.0,0.0,occupancy_struct_hidden_distinct,1.0,,exact_or_same_protocol,False,graph_rd_joint;graph_rd_surrogate_joint;group_constrained_rd,
core_benchmark,core_benchmark,corridor_32,0.0,full_vi,full_mdp,32.0,32.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,occupancy_struct_hidden_distinct,1.0,,exact_or_same_protocol,False,graph_rd_joint;graph_rd_surrogate_joint;group_constrained_rd;eigenoptions_sqrt;betweenness_sqrt,
core_benchmark,core_benchmark,corridor_32,0.0,graph_rd_joint,ours:rd_graph,32.0,2.0,0.0625,16.0,147.72149722420303,0.2845685607110246,0.0,0.0,0.0,0.0,0.0,0.0,occupancy_struct_hidden_distinct,1.0,,exact_or_same_protocol,True,,
core_benchmark,core_benchmark,corridor_32,0.0,graph_rd_surrogate_joint,ours:rd_graph,32.0,2.0,0.0625,16.0,157.22904960670513,0.27223203078453695,0.0,0.0,0.0,0.0,0.0,0.0,occupancy_struct_hidden_distinct,1.0,,exact_or_same_protocol,True,,
core_benchmark,core_benchmark,corridor_32,0.0,group_constrained_rd,ours:group_rd,32.0,3.0,0.09375,10.666666666666666,76.55979947806253,0.010948084873656885,0.0,0.0,0.0,0.0,0.0,0.0,occupancy_struct_hidden_distinct,1.0,True,exact_or_same_protocol,False,graph_rd_joint;graph_rd_surrogate_joint,
core_benchmark,core_benchmark,corridor_32,0.0,eigenoptions_sqrt,option_baseline:eigen,32.0,6.0,0.1875,5.333333333333333,2.0482975938593073,0.43509879675244856,0.0,0.0,3.552713678800501e-15,1.0658141036401511e-16,0.0,0.0,occupancy_struct_hidden_distinct,1.0,,exact_or_same_protocol,False,graph_rd_joint;graph_rd_surrogate_joint;group_constrained_rd,
core_benchmark,core_benchmark,corridor_32,0.0,betweenness_sqrt,option_baseline:bottleneck,32.0,6.0,0.1875,5.333333333333333,3.41340585860198,0.4432684691573722,0.0,0.0,1.7763568394002505e-15,5.3290705182007555e-17,0.0,0.0,occupancy_struct_hidden_distinct,1.0,,exact_or_same_protocol,False,graph_rd_joint;graph_rd_surrogate_joint;group_constrained_rd,
