comparison_protocol,method_group,value_epsilon,audit_epsilon,success_floor,n_cases_available,n_cases_feasible,constraint_coverage_rate,paired_case_count,median_rate_budget_boundary_frac,median_state_compression_ratio,state_compression_ci95_low,state_compression_ci95_high,median_total_speedup,total_speedup_ci95_low,total_speedup_ci95_high
large_scale_compression,baseline:endpoints,1e-06,0.0,0.95,27,9,0.3333333333333333,9,0.00390625,256.0,128.0,512.0,5.888717739179015,5.220208323286517,8.741179387002886
large_scale_compression,option_baseline:bottleneck,1e-06,0.0,0.95,27,12,0.4444444444444444,9,0.04329427083333333,23.130434782608695,19.130434782608695,32.0,0.4477100730579656,0.17394105969990645,0.6429913073244586
large_scale_compression,option_baseline:coverage,1e-06,0.0,0.95,27,13,0.48148148148148145,9,0.044921875,22.26086956521739,19.23809523809524,32.0,0.5096832064584026,0.0922426642241242,0.7522616330257452
large_scale_compression,ours:rd_graph,1e-06,0.0,0.95,27,9,0.3333333333333333,9,0.00390625,256.0,128.0,512.0,0.3537871745374995,0.3403072083463349,0.4110468577326623
option_baseline_frontier,baseline:dense_turn,1e-06,0.0,0.95,24,16,0.6666666666666666,6,0.012755807522123894,92.25,3.826923076923077,144.0,nan,nan,nan
option_baseline_frontier,baseline:endpoints,1e-06,0.0,0.95,24,6,0.25,6,0.005859375,192.0,128.0,256.0,nan,nan,nan
option_baseline_frontier,option_baseline:bottleneck,1e-06,0.0,0.95,24,10,0.4166666666666667,6,0.01171875,96.0,60.25,136.0,nan,nan,nan
option_baseline_frontier,option_baseline:coverage,1e-06,0.0,0.95,24,10,0.4166666666666667,6,0.008331028761061947,120.5,64.0,136.0,nan,nan,nan
option_baseline_frontier,option_baseline:eigen,1e-06,0.0,0.95,24,10,0.4166666666666667,6,0.0078125,128.0,64.0,177.1999999999989,nan,nan,nan
option_baseline_frontier,option_baseline:random,1e-06,0.0,0.95,24,10,0.4166666666666667,6,0.011369223205506391,92.5,64.0,128.0,nan,nan,nan
option_baseline_frontier,ours:rd_graph,1e-06,0.0,0.95,24,6,0.25,6,0.005859375,192.0,128.0,256.0,nan,nan,nan
