map,slip,gamma,candidate_kind,candidate_top_fraction,soft_kind,soft_top_fraction,local_horizon,hidden_threshold,soft_threshold,soft_cost_weight,n_states,n_boundary,n_candidate_boundary,n_pair_options,n_edges_valid,invalid_hidden_count,hidden_mass_total,hidden_mass_max,soft_cost_all_total,soft_cost_valid_total,soft_cost_max,soft_over_threshold_count,feasible,start_value_smdp,start_value_primitive,start_gap,value_gap_max,start_best_option,policy_tv_total,policy_regions_total,policy_tv_mean,policy_regions_mean,target_policy_tv_total,target_policy_regions_total,target_policy_tv_mean,target_policy_regions_mean,hard_split_candidate_state,hard_split_candidate_coord,hard_split_candidate_score,soft_split_candidate_state,soft_split_candidate_coord,soft_split_candidate_score,description_length_proxy,step,split_candidate_state,split_candidate_score,split_candidate_source,split_candidate_coord,stop_reason
four_rooms,0.0,0.97,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,1.0,51,6,10,30,30,0,0.0,0.0,7.3601205780598455,7.3601205780598455,1.2329439104767141,6,True,-11.572124084646411,-11.57212408464641,1.7763568394002505e-15,1.7763568394002505e-15,fb_000_to_001,1080.0,170.0,36.0,5.666666666666667,216.0,34.0,36.0,5.666666666666667,,,0.0,40,"(4, 11)",2.5409735905543083,110.06012057805985,4,,0.0,none,,hybrid_threshold
four_rooms,0.05,0.97,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,1.0,51,2,10,2,0,2,1.9999999999999996,0.9999999999999998,0.6678346242118102,0.0,0.6676551217172895,0,False,nan,-12.185911752175528,inf,inf,INFEASIBLE,62.0,11.0,31.0,5.5,62.0,11.0,31.0,5.5,26,"(3, 7)",0.9996759388772498,,,0.0,22.0,0,26,0.9996759388772498,hard_hidden,"(3, 7)",continue
four_rooms,0.05,0.97,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,1.0,51,3,10,6,0,6,3.967377436479203,0.9999999999999998,1.3961479132558274,0.0,0.6676551217172895,0,False,nan,-12.185911752175528,inf,inf,INFEASIBLE,203.20000000000002,34.0,33.86666666666667,5.666666666666667,101.60000000000001,17.0,33.86666666666667,5.666666666666667,24,"(3, 5)",2.9987463834890775,,,0.0,38.120000000000005,1,24,2.9987463834890775,hard_hidden,"(3, 5)",continue
four_rooms,0.05,0.97,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,1.0,51,4,10,12,0,12,1.9372207115907578,0.9664271847097837,2.063989243120086,0.0,0.6676551217172895,0,False,nan,-12.185911752175528,inf,inf,INFEASIBLE,423.6000000000001,69.0,35.300000000000004,5.75,141.20000000000002,23.0,35.300000000000004,5.75,46,"(5, 7)",0.9667353185168863,,,0.0,56.34,2,46,0.9667353185168863,hard_hidden,"(5, 7)",continue
four_rooms,0.05,0.97,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,1.0,51,5,10,20,5,15,0.9716820954733261,0.9664271847097834,6.040421991759047,3.9542428934052305,1.9654431423680165,5,False,nan,-12.185911752175528,inf,inf,INFEASIBLE,692.5333333333331,116.0,34.62666666666665,5.8,173.13333333333335,29.0,34.62666666666667,5.8,4,"(1, 5)",0.9661298250649621,47,"(5, 8)",0.7113701191269098,80.0809095600719,3,4,0.9661298250649621,hard_hidden,"(1, 5)",continue
four_rooms,0.05,0.97,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,1.0,51,6,10,30,12,18,0.0055177719750273534,0.0003136136738921069,6.719946156642082,3.9661052491115614,1.9654431423680165,6,False,nan,-12.185911752175528,inf,inf,INFEASIBLE,1015.9999999999998,170.0,33.86666666666666,5.666666666666667,203.20000000000002,34.0,33.86666666666667,5.666666666666667,45,"(5, 5)",0.001502958276092633,47,"(5, 8)",0.7230279581568055,101.10610524911158,4,45,0.001502958276092633,hard_hidden,"(5, 5)",continue
four_rooms,0.05,0.97,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,1.0,51,7,10,42,24,18,0.9404315610773484,0.9358364543126256,7.43625954490887,3.977988476478071,1.9654431423680165,13,False,nan,-12.185911752175528,inf,inf,INFEASIBLE,1410.8000000000002,240.0,33.590476190476195,5.714285714285714,235.13333333333335,40.0,33.590476190476195,5.714285714285714,41,"(5, 1)",0.9370552308468844,47,"(5, 8)",0.7346857971867011,125.53322657171618,5,41,0.9370552308468844,hard_hidden,"(5, 1)",continue
four_rooms,0.05,0.97,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,1.0,51,8,10,56,43,13,0.003992288569492123,0.00031361367389210674,9.560698390500864,5.47225193328828,1.9654431423680165,32,False,nan,-12.185911752175528,inf,inf,INFEASIBLE,1869.4666666666667,322.0,33.38333333333333,5.75,267.06666666666666,46.0,33.38333333333333,5.75,5,"(1, 7)",0.0021084517280163593,42,"(5, 2)",1.4824222978934558,154.06058526662162,6,5,0.0021084517280163593,hard_hidden,"(1, 7)",continue
four_rooms,0.05,0.97,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,1.0,51,9,10,72,63,9,0.9376627287576728,0.9358364543126255,10.325883356750982,5.641283344230338,1.9654431423680165,50,True,-12.301146055006138,-12.185911752175528,0.11523430283060954,0.11523430283060954,fb_000_to_002,2377.0666666666666,408.0,33.01481481481481,5.666666666666667,297.1333333333334,51.0,33.01481481481482,5.666666666666667,9,"(1, 11)",0.9376617713637028,42,"(5, 2)",1.4944400736700443,182.16795001089702,7,9,0.9376617713637028,hard_hidden,"(1, 11)",continue
four_rooms,0.05,0.97,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,1.0,51,10,10,90,90,0,0.0,0.0,12.402009849521242,12.402009849521242,1.9654431423680165,74,True,-12.301146070268926,-12.185911752175528,0.1152343180933979,0.1152343180933979,fb_000_to_002,2944.8,504.0,32.72,5.6,327.20000000000005,56.0,32.720000000000006,5.6,,,0.0,40,"(4, 11)",6.474456385892167,219.34200984952125,8,,0.0,none,,hybrid_threshold
