student_method,n_rows,teacher_feasible_rate,student_feasible_rate,student_joint_constraint_rate,teacher_joint_constraint_rate,accepted_joint_constraint_rate,accepted_feasible_rate,fallback_rate,top_set_hit_rate,mean_boundary_jaccard,median_state_compression_ratio,max_student_normalized_start_gap,max_accepted_normalized_start_gap,max_student_group_total_violation,median_student_selection_time_sec,median_group_audit_time_sec,median_selection_speedup_vs_teacher,median_selection_plus_audit_speedup_vs_teacher,median_accepted_speedup_vs_teacher_pipeline
constraint_candidate_learned_count,180,0.9555555555555556,0.9333333333333333,0.9166666666666666,0.9555555555555556,0.9611111111111111,0.9722222222222222,0.06666666666666667,0.8166666666666667,0.8801256613756615,13.333333333333334,0.028191496394239794,0.028191496394239794,4667.752487414869,0.014653941965661943,1.9189788600197062,55.38461981549473,0.4034086148640862,0.4128941924607794
constraint_candidate_nearest_start,32,0.75,0.375,0.375,0.75,0.75,0.75,0.625,0.1875,0.559970238095238,18.0,0.028191500294637677,0.010481629007300812,210.1337229614927,0.02003051294013858,2.310987424047198,123.29628412475034,1.1632157898850548,0.5552509308912059
constraint_candidate_top1,8,0.625,0.0,0.0,0.625,0.625,0.625,1.0,0.0,0.4107142857142857,24.833333333333336,0.02819149872462494,0.010481629007300812,192.6818063676717,0.020378800574690104,3.558125641022343,277.6727621026588,1.6259791770110053,0.6219814281930146
constraint_candidate_top2,180,0.9555555555555556,0.9555555555555556,0.9333333333333333,0.9555555555555556,0.9777777777777777,0.9888888888888889,0.044444444444444446,0.8666666666666667,0.6994400352733687,11.125,0.028191496385628758,0.028191496385628758,267199.4503402949,0.014653941965661943,2.1633516349829733,55.38461981549473,0.38288658264309006,0.3859900278599451
constraint_candidate_top3,172,0.9709302325581395,0.9883720930232558,0.9825581395348837,0.9709302325581395,1.0,1.0,0.011627906976744186,0.9069767441860465,0.57799003322259,8.0,0.013847945509387616,0.013847945509387616,269570.6381600014,0.014262011100072414,2.3110536750173196,54.727169096423694,0.36049509595182194,0.36317045512435225
