map_family,map_size,map,boundary_method,terminal_basis,src_state,target_state,condition_cap,condition_cap_float,n_interior,n_terminals,spectral_radius,row_q,actual_tail_row_K32,actual_tail_row_K64,actual_tail_row_K128,certificate_found,certificate_status,weighted_q,weighted_q_target,weighted_q_lt_1,weight_min,weight_max,weight_dynamic_range,weight_start,row_scale,entry_scale,weighted_slack_min_abs,weighted_slack_min_rel,weighted_violation_max_abs,weighted_violation_max_rel,objective_tail_bound,solve_method,rational_verified,rational_status,rational_q,rational_q_num,rational_q_den,rational_min_slack,rational_max_violation,rational_failing_rows,conditioned_row_tail_K32,conditioned_row_tail_K64,conditioned_row_tail_K128
corridor,128,corridor_128,endpoints,boundary,127,0,100,100.0,127,1,0.7438554583746873,1.0,0.999999999999985,0.999999999999985,0.9757702341239409,False,no_conditioned_certificate,,,,,,,,,,,,,,,,,,,,,,,,,,
corridor,128,corridor_128,endpoints,boundary,127,0,10000,10000.0,127,1,0.7438554583746873,1.0,0.999999999999985,0.999999999999985,0.9757702341239409,True,rational_verified_conditioned_certificate,0.9577722432638153,0.9578917827583806,True,1.0,7448.893463146084,7448.893463146084,7448.893463146084,0.95,0.95,-9.094947017729282e-13,-1.2748120612109385e-16,9.094947017729282e-13,1.2748120612109385e-16,641.2792618140106,solve,True,rational_verified,0.957773244,239443311,250000000,0.007453917903972,0.0,0,40352.59808829828,10145.265099022377,641.2792618140106
corridor,128,corridor_128,endpoints,boundary,127,0,1e+06,1000000.0,127,1,0.7438554583746873,1.0,0.999999999999985,0.999999999999985,0.9757702341239409,True,rational_verified_conditioned_certificate,0.92226053195334,0.9222617527847026,True,1.0,699587.2740312621,699587.2740312621,699587.2740312621,0.95,0.95,-1.1641532182693481e-10,-1.804324386374992e-16,1.1641532182693481e-10,1.804324386374992e-16,250.0583528715474,solve,True,rational_verified,0.922261532,230565383,250000000,0.699619983875492,0.0,0,591689.0270056288,44402.70883952458,250.0583528715474
corridor,128,corridor_128,endpoints,boundary,127,0,1e+09,1000000000.0,127,1,0.7438554583746873,1.0,0.999999999999985,0.999999999999985,0.9757702341239409,True,rational_verified_conditioned_certificate,0.8736753471336316,0.8736753482751417,True,1.0,704672948.7756873,704672948.7756873,704672948.7756873,0.95,0.95,0.0,0.0,0.0,0.0,144.00698846996747,solve,True,rational_verified,0.873676348,218419087,250000000,0.8043922813333333,0.0,0,61485933.6129375,816541.7038057817,144.00698846996747
corridor,128,corridor_128,endpoints,boundary,127,0,1e+12,1000000000000.0,127,1,0.7438554583746873,1.0,0.999999999999985,0.999999999999985,0.9757702341239409,True,rational_verified_conditioned_certificate,0.8283280373986063,0.8283280373995514,True,1.0,801960656513.0336,801960656513.0336,801960656513.0336,0.95,0.95,0.0,0.0,0.0,0.0,124.5322840037151,solve,True,rational_verified,0.828329038,414164519,500000000,0.757887138,0.0,0,8868603351.521313,21395912.121779684,124.5322840037151
corridor,128,corridor_128,endpoints,boundary,127,0,inf,inf,127,1,0.7438554583746873,1.0,0.999999999999985,0.999999999999985,0.9757702341239409,True,rational_verified_conditioned_certificate,0.8250889437650232,0.8250889437655807,True,1.0,1353654832333.2031,1353654832333.2031,1353654832333.2031,0.95,0.95,0.0,0.0,0.0,0.0,124.45527231340633,solve,True,rational_verified,0.825089944,103136243,125000000,0.754559844,0.0,0,12910397416.197695,27476674.816388093,124.45527231340633
corridor,128,corridor_128,endpoints,residual,127,0,100,100.0,127,1,0.7438554583746873,1.0,0.999999999999985,0.999999999999985,0.9757702341239409,False,no_conditioned_certificate,,,,,,,,,,,,,,,,,,,,,,,,,,
corridor,128,corridor_128,endpoints,residual,127,0,10000,10000.0,127,1,0.7438554583746873,1.0,0.999999999999985,0.999999999999985,0.9757702341239409,True,rational_verified_conditioned_certificate,0.9577722432638153,0.9578917827583806,True,1.0,7448.893463146084,7448.893463146084,7448.893463146084,0.95,0.95,-9.094947017729282e-13,-1.2748120612109385e-16,9.094947017729282e-13,1.2748120612109385e-16,641.2792618140106,solve,True,rational_verified,0.957773244,239443311,250000000,0.007453917903972,0.0,0,40352.59808829828,10145.265099022377,641.2792618140106
corridor,128,corridor_128,endpoints,residual,127,0,1e+06,1000000.0,127,1,0.7438554583746873,1.0,0.999999999999985,0.999999999999985,0.9757702341239409,True,rational_verified_conditioned_certificate,0.92226053195334,0.9222617527847026,True,1.0,699587.2740312621,699587.2740312621,699587.2740312621,0.95,0.95,-1.1641532182693481e-10,-1.804324386374992e-16,1.1641532182693481e-10,1.804324386374992e-16,250.0583528715474,solve,True,rational_verified,0.922261532,230565383,250000000,0.699619983875492,0.0,0,591689.0270056288,44402.70883952458,250.0583528715474
corridor,128,corridor_128,endpoints,residual,127,0,1e+09,1000000000.0,127,1,0.7438554583746873,1.0,0.999999999999985,0.999999999999985,0.9757702341239409,True,rational_verified_conditioned_certificate,0.8736753471336316,0.8736753482751417,True,1.0,704672948.7756873,704672948.7756873,704672948.7756873,0.95,0.95,0.0,0.0,0.0,0.0,144.00698846996747,solve,True,rational_verified,0.873676348,218419087,250000000,0.8043922813333333,0.0,0,61485933.6129375,816541.7038057817,144.00698846996747
corridor,128,corridor_128,endpoints,residual,127,0,1e+12,1000000000000.0,127,1,0.7438554583746873,1.0,0.999999999999985,0.999999999999985,0.9757702341239409,True,rational_verified_conditioned_certificate,0.8283280373986063,0.8283280373995514,True,1.0,801960656513.0336,801960656513.0336,801960656513.0336,0.95,0.95,0.0,0.0,0.0,0.0,124.5322840037151,solve,True,rational_verified,0.828329038,414164519,500000000,0.757887138,0.0,0,8868603351.521313,21395912.121779684,124.5322840037151
