map_family,map_size,map,slip,method,budget_frac,n_states,n_basis,n_boundary,state_compression_ratio,n_edges_valid,group_all_feasible,n_groups_feasible,group_total_violation,group_max_violation,trace_group_all_feasible,trace_group_total_violation,trace_group_max_violation,group_test_bits_mean,group_test_bits_cvar,selection_time_sec,one_shot_candidate_universe_time_sec,one_shot_probe_build_time_sec,one_shot_green_time_sec,one_shot_apply_time_sec,delta_backend,kernel_time_sec,upfront_time_sec,smdp_solve_time_sec,compressed_total_time_sec,full_vi_time_sec,full_vi_backup_count,smdp_edge_backup_count,planning_speedup,total_speedup,break_even_tasks,backup_compression_ratio,start_gap,value_gap_max,first_hit_mode,first_hit_used_steps_max,first_hit_tail_bound_max,stop_reason,probe_cache_hits,probe_cache_misses,probe_cache_hit_rate,probe_calls,unique_probe_evals,probe_context_build_time_sec,probe_green_kernel_time_sec,probe_operator_delta_time_sec,active_weight_time_sec,active_weight_cache_hit_rate,probe_call_overhead_time_sec,candidate_score_time_sec,beam_expansion_time_sec,profiled_selection_time_sec,uncached_probe_eval_time_sec,boundary,error,split,maze_seed,topology_seed,goal_variant,map_rows
braid_maze,9,braid_maze_9_seed0_goal0,0.0,group_constrained_incremental,0.25,34,15,3,11.333333333333334,6,True,3,0.0,0.0,True,0.0,0.0,0.0,0.0,0.32390135095920414,0.0,0.0,0.0,0.0,insertion_score,0.014252125984057784,0.3381534769432619,0.0013006760273128748,0.3394541529705748,0.011610996094532311,1768,78,8.926893285271039,0.03420490217286809,33,22.666666666666668,1.7763568394002505e-15,1.7763568394002505e-15,adaptive,10,0.0,feasible,0,12,0.0,12,12,0.22666159307118505,0.007169048069044948,0.0076192666310817,0.04954745899885893,0.0,0.0309677462792024,0.0010200990363955498,9.38901212066412e-06,0.32299460109788924,0.2724176540505141,"[0, 1, 33]",,train,0,0,0,"[""#########"", ""#S..#...#"", ""###.#.#.#"", ""#.#.....#"", ""#...###.#"", ""#.#.....#"", ""#.#####.#"", ""#......G#"", ""#########""]"
braid_maze,9,braid_maze_9_seed0_goal0,0.05,group_constrained_incremental,0.25,34,15,3,11.333333333333334,6,True,3,0.0,0.0,True,0.0,0.0,0.0,0.0,0.5666436980245635,0.0,0.0,0.0,0.0,insertion_score,0.023538880050182343,0.5901825780747458,0.002298212028108537,0.5924807901028544,0.030820993008092046,4488,138,13.410857062417424,0.052020240188279415,21,32.52173913043478,1.166168956956426e-07,1.166168956956426e-07,adaptive,26,7.532138229821978e-07,feasible,0,12,0.0,12,12,0.5089649792062119,0.00772289396263659,0.008323198766447604,0.0070006330497562885,0.0,0.032303734216839075,0.0011676519643515348,1.1412077583372593e-05,0.5654945032438263,0.5573148061521351,"[0, 1, 33]",,train,0,0,0,"[""#########"", ""#S..#...#"", ""###.#.#.#"", ""#.#.....#"", ""#...###.#"", ""#.#.....#"", ""#.#####.#"", ""#......G#"", ""#########""]"
braid_maze,9,braid_maze_9_seed0_goal0,0.1,group_constrained_incremental,0.25,34,15,3,11.333333333333334,6,True,3,0.0,0.0,True,0.0,0.0,0.0,0.0,0.6710548930568621,0.0,0.0,0.0,0.0,insertion_score,0.02707028400618583,0.6981251770630479,0.0025894800201058388,0.7007146570831537,0.03885151003487408,5712,156,15.003595213407408,0.05544555068478263,20,36.61538461538461,9.770288809107797e-07,1.1032977749181327e-06,adaptive,33,8.04406952715512e-07,feasible,0,12,0.0,12,12,0.613543068873696,0.007407499710097909,0.00844722823239863,0.007008861983194947,0.0,0.03238703648094088,0.0012479469878599048,9.558978490531445e-06,0.6700512012466788,0.6617848332971334,"[0, 1, 33]",,train,0,0,0,"[""#########"", ""#S..#...#"", ""###.#.#.#"", ""#.#.....#"", ""#...###.#"", ""#.#.....#"", ""#.#####.#"", ""#......G#"", ""#########""]"
braid_maze,9,braid_maze_9_seed0_goal1,0.0,group_constrained_incremental,0.25,34,16,3,11.333333333333334,6,True,3,0.0,0.0,True,0.0,0.0,0.0,0.0,0.34971107996534556,0.0,0.0,0.0,0.0,insertion_score,0.01463261095341295,0.3643436909187585,0.0013924429658800364,0.36573613388463855,0.012693378026597202,2040,90,9.115905166410082,0.0347063821443494,33,22.666666666666668,1.7763568394002505e-15,1.7763568394002505e-15,adaptive,12,0.0,feasible,0,12,0.0,12,12,0.2520394579041749,0.007137421751394868,0.0082255540182814,0.0491061300272122,0.0,0.031185364350676537,0.0010599689558148384,9.519048035144806e-06,0.3487634160555899,0.29858779802452773,"[0, 1, 31]",,train,0,0,1,"[""#########"", ""#S..#...#"", ""###.#.#.#"", ""#.#.....#"", ""#...###.#"", ""#.#.....#"", ""#.#####.#"", ""#....G..#"", ""#########""]"
braid_maze,9,braid_maze_9_seed0_goal1,0.05,group_constrained_incremental,0.25,34,16,3,11.333333333333334,6,True,3,0.0,0.0,True,0.0,0.0,0.0,0.0,0.5660845009842888,0.0,0.0,0.0,0.0,insertion_score,0.02498304797336459,0.5910675489576533,0.0024822489358484745,0.5935497978935018,0.03132125607226044,4760,150,12.6180962835439,0.052769382086252994,21,31.733333333333334,0.00018540098100672253,0.00019160057912337436,adaptive,28,9.33381787009052e-07,feasible,0,12,0.0,12,12,0.5096888652769849,0.007278973003849387,0.008580404100939631,0.006886581075377762,0.0,0.03149771271273494,0.001124328002333641,9.853043593466282e-06,0.5650667172158137,0.5570459550945088,"[0, 1, 31]",,train,0,0,1,"[""#########"", ""#S..#...#"", ""###.#.#.#"", ""#.#.....#"", ""#...###.#"", ""#.#.....#"", ""#.#####.#"", ""#....G..#"", ""#########""]"
braid_maze,9,braid_maze_9_seed0_goal1,0.1,group_constrained_incremental,0.25,34,16,3,11.333333333333334,6,True,3,0.0,0.0,True,0.0,0.0,0.0,0.0,0.6758305629482493,0.0,0.0,0.0,0.0,insertion_score,0.029617561027407646,0.7054481239756569,0.002679946948774159,0.7081280709244311,0.03966609598137438,5984,168,14.801075073339847,0.05601542660156373,20,35.61904761904762,0.0008353661077471486,0.0008641771392738917,adaptive,36,8.384750700204516e-07,feasible,0,12,0.0,12,12,0.6203568797791377,0.007037945673801005,0.008559745969250798,0.006762934033758938,0.0,0.03109332255553454,0.0010920829372480512,9.15501732379198e-06,0.6749120659660548,0.667047893977724,"[0, 1, 31]",,train,0,0,1,"[""#########"", ""#S..#...#"", ""###.#.#.#"", ""#.#.....#"", ""#...###.#"", ""#.#.....#"", ""#.#####.#"", ""#....G..#"", ""#########""]"
braid_maze,9,braid_maze_9_seed1_goal0,0.0,group_constrained_incremental,0.25,34,17,3,11.333333333333334,6,True,3,0.0,0.0,True,0.0,0.0,0.0,0.0,0.35520470107439905,0.0,0.0,0.0,0.0,insertion_score,0.0201911999611184,0.37539590103551745,0.0017250400269404054,0.37712094106245786,0.01392040599603206,2040,90,8.069613329913164,0.036912312418436066,31,22.666666666666668,1.7763568394002505e-15,1.7763568394002505e-15,adaptive,12,0.0,feasible,0,12,0.0,12,12,0.25576423993334174,0.0071629638550803065,0.008868036209605634,0.04962486797012389,0.0,0.03160641097929329,0.0011700729373842478,9.450013749301434e-06,0.3542060418985784,0.30340165097732097,"[0, 1, 33]",,train,1,1,0,"[""#########"", ""#S..#...#"", ""###.#..##"", ""#.#.#...#"", ""#.#.#.#.#"", ""#.#.#...#"", ""#.#...#.#"", ""#.....#G#"", ""#########""]"
braid_maze,9,braid_maze_9_seed1_goal0,0.05,group_constrained_incremental,0.25,34,17,3,11.333333333333334,6,True,3,0.0,0.0,True,0.0,0.0,0.0,0.0,0.5871198209933937,0.0,0.0,0.0,0.0,insertion_score,0.030065009952522814,0.6171848309459165,0.0025204368866980076,0.6197052678326145,0.033300425042398274,5032,156,13.212163818957887,0.05373590764988121,21,32.256410256410255,0.0007432314336277557,0.0007675924777075238,adaptive,29,6.497894552101895e-07,feasible,0,12,0.0,12,12,0.5309840727131814,0.006843793671578169,0.0090121520916,0.006994613097049296,0.0,0.03128394344821572,0.0010824439814314246,9.179930202662945e-06,0.5862101989332587,0.5781239619245753,"[0, 1, 33]",,train,1,1,0,"[""#########"", ""#S..#...#"", ""###.#..##"", ""#.#.#...#"", ""#.#.#.#.#"", ""#.#.#...#"", ""#.#...#.#"", ""#.....#G#"", ""#########""]"
braid_maze,9,braid_maze_9_seed1_goal0,0.1,group_constrained_incremental,0.25,34,17,3,11.333333333333334,6,True,3,0.0,0.0,True,0.0,0.0,0.0,0.0,0.7261987109668553,0.0,0.0,0.0,0.0,insertion_score,0.03483277698978782,0.7610314879566431,0.0026746479561552405,0.7637061359127983,0.04181636800058186,6392,168,15.634344663696286,0.05475452668794133,20,38.04761904761905,0.003316627229853708,0.0034307062114873332,adaptive,37,9.564572248044932e-07,feasible,0,12,0.0,12,12,0.6686350976815447,0.00712238228879869,0.00925805582664907,0.006957027013413608,0.0,0.03206135216169059,0.0011929910397157073,1.0097981430590153e-05,0.725237003993243,0.7170768879586831,"[0, 1, 33]",,train,1,1,0,"[""#########"", ""#S..#...#"", ""###.#..##"", ""#.#.#...#"", ""#.#.#.#.#"", ""#.#.#...#"", ""#.#...#.#"", ""#.....#G#"", ""#########""]"
braid_maze,9,braid_maze_9_seed1_goal1,0.0,group_constrained_incremental,0.25,34,20,3,11.333333333333334,6,True,3,0.0,0.0,True,0.0,0.0,0.0,0.0,0.36307758500333875,0.0,0.0,0.0,0.0,insertion_score,0.01894673891365528,0.38202432391699404,0.0016878839815035462,0.3837122078984976,0.015177183086052537,2312,102,8.991840228575953,0.03955355804073692,29,22.666666666666668,1.7763568394002505e-15,1.7763568394002505e-15,adaptive,14,0.0,feasible,0,12,0.0,12,12,0.26742829591967165,0.006661526393145323,0.009608915075659752,0.047264504013583064,0.0,0.029854062478989363,0.0012729598674923182,9.085983037948608e-06,0.3620993497315794,0.3135527998674661,"[0, 1, 5]",,train,1,1,1,"[""#########"", ""#S..#..G#"", ""###.#..##"", ""#.#.#...#"", ""#.#.#.#.#"", ""#.#.#...#"", ""#.#...#.#"", ""#.....#.#"", ""#########""]"
