map,slip,gamma,candidate_kind,candidate_top_fraction,residual_kind,residual_top_fraction,soft_kind,soft_top_fraction,local_horizon,hidden_threshold,soft_threshold,residual_threshold,residual_threshold_mode,residual_reward_weight,residual_hit_weight,value_scale_task,soft_cost_weight,n_states,n_boundary,n_candidate_boundary,n_pair_options,n_edges_valid,invalid_hidden_count,hidden_mass_total,hidden_mass_max,soft_cost_all_total,soft_cost_valid_total,soft_cost_max,soft_over_threshold_count,model_residual_valid_total,model_residual_max,residual_threshold_metric_valid_total,residual_threshold_metric_max,residual_backup_value_norm_valid_total,residual_backup_value_norm_max,beta_global,l_gamma_row_max,residual_hidden_mass_max,residual_over_threshold_count,feasible,start_value_smdp,start_value_primitive,start_gap,value_gap_max,start_best_option,policy_tv_total,policy_regions_total,policy_tv_mean,policy_regions_mean,target_policy_tv_total,target_policy_regions_total,target_policy_tv_mean,target_policy_regions_mean,hard_split_candidate_state,hard_split_candidate_coord,hard_split_candidate_score,residual_split_candidate_state,residual_split_candidate_coord,residual_split_candidate_score,soft_split_candidate_state,soft_split_candidate_coord,soft_split_candidate_score,description_length_proxy,recipe,lens,bres_size,constructor_stop,constructor_n_boundary,constructor_model_residual_max,constructor_residual_backup_value_norm_max
four_rooms,0.0,0.97,articulation_only,0.15,decision,0.15,none,0.0,999.0,1e-06,3.0,1.2,raw,0.05,0.0,11.57212408464641,0.0,51,4,4,12,12,0,0.0,0.0,0.0,0.0,0.0,0,8.490815973712001,1.061351996714,8.490815973712001,1.061351996714,58.80111918281063,7.350139897851329,0.9409,5.567599835699998,1.0,0,True,-11.572124084646411,-11.57212408464641,1.7763568394002505e-15,1.7763568394002505e-15,fb_000_to_001,450.0,69.0,37.5,5.75,150.0,23.0,37.5,5.75,,,0.0,,,0.0,,,0.0,69.590815973712,soft3,decision,50,hybrid_threshold,4,1.012851996714,6.8482951487782024
four_rooms,0.0,0.97,articulation_only,0.15,turn_articulation,0.15,none,0.0,999.0,1e-06,3.0,1.2,raw,0.05,0.0,11.57212408464641,0.0,51,4,4,12,12,0,0.0,0.0,0.0,0.0,0.0,0,2.025703993428,1.012851996714,2.025703993428,1.012851996714,13.696590297556405,6.8482951487782024,0.9409,5.567599835699998,1.0,0,True,-11.572124084646411,-11.57212408464641,1.7763568394002505e-15,1.7763568394002505e-15,fb_000_to_001,450.0,69.0,37.5,5.75,150.0,23.0,37.5,5.75,,,0.0,,,0.0,,,0.0,63.125703993428004,soft3,turn_articulation,10,hybrid_threshold,4,1.012851996714,6.8482951487782024
four_rooms,0.0,0.97,articulation_only,0.15,bottleneck,0.15,none,0.0,999.0,1e-06,3.0,1.2,raw,0.05,0.0,11.57212408464641,0.0,51,4,4,12,12,0,0.0,0.0,0.0,0.0,0.0,0,2.122703993428,1.061351996714,2.122703993428,1.061351996714,14.700279795702658,7.350139897851329,0.9409,5.567599835699998,1.0,0,True,-11.572124084646411,-11.57212408464641,1.7763568394002505e-15,1.7763568394002505e-15,fb_000_to_001,450.0,69.0,37.5,5.75,150.0,23.0,37.5,5.75,,,0.0,,,0.0,,,0.0,63.222703993428,soft3,bottleneck,10,hybrid_threshold,4,1.012851996714,6.8482951487782024
four_rooms,0.0,0.97,articulation_only,0.15,combined,0.15,none,0.0,999.0,1e-06,3.0,1.2,raw,0.05,0.0,11.57212408464641,0.0,51,4,4,12,12,0,0.0,0.0,0.0,0.0,0.0,0,4.104229336855999,1.061351996714,4.104229336855999,1.061351996714,27.93973971132835,7.350139897851329,0.9409,5.567599835699998,1.0,0,True,-11.572124084646411,-11.57212408464641,1.7763568394002505e-15,1.7763568394002505e-15,fb_000_to_001,450.0,69.0,37.5,5.75,150.0,23.0,37.5,5.75,,,0.0,,,0.0,,,0.0,65.204229336856,soft3,combined,9,hybrid_threshold,4,1.012851996714,6.8482951487782024
four_rooms,0.05,0.97,articulation_only,0.15,junction,0.15,none,0.0,999.0,1e-06,3.0,1.2,raw,0.05,0.0,12.185911752175528,0.0,51,4,4,12,12,0,0.0,0.0,0.0,0.0,0.0,0,8.80447285271732,1.0621462814682112,8.80447285271732,1.0621462814682112,61.98355686254788,7.114853356335699,0.9398419499216982,5.690848348298611,1.0,0,True,-12.301146070245332,-12.185911752175528,0.11523431806980433,0.11523431806980433,fb_000_to_001,423.6000000000001,69.0,35.300000000000004,5.75,141.20000000000002,23.0,35.300000000000004,5.75,,,0.0,,,0.0,,,0.0,68.14447285271733,soft3,junction,44,hybrid_threshold,4,0.9751879128316419,6.385209921822712
four_rooms,0.05,0.97,articulation_only,0.15,decision,0.15,none,0.0,999.0,1e-06,3.0,1.2,raw,0.05,0.0,12.185911752175528,0.0,51,4,4,12,12,0,0.0,0.0,0.0,0.0,0.0,0,8.80447285271732,1.0621462814682112,8.80447285271732,1.0621462814682112,61.98355686254788,7.114853356335699,0.9398419499216982,5.690848348298611,1.0,0,True,-12.301146070245332,-12.185911752175528,0.11523431806980433,0.11523431806980433,fb_000_to_001,423.6000000000001,69.0,35.300000000000004,5.75,141.20000000000002,23.0,35.300000000000004,5.75,,,0.0,,,0.0,,,0.0,68.14447285271733,soft3,decision,50,hybrid_threshold,4,0.9751879128316419,6.385209921822712
four_rooms,0.05,0.97,articulation_only,0.15,turn_articulation,0.15,none,0.0,999.0,1e-06,3.0,1.2,raw,0.05,0.0,12.185911752175528,0.0,51,4,4,12,12,0,0.0,0.0,0.0,0.0,0.0,0,3.065715239734387,0.9751879128316419,3.065715239734387,0.9751879128316419,25.358376348569763,6.385209921822712,0.9398419499216982,5.690848348298611,0.9664271847097837,0,True,-12.301146070245332,-12.185911752175528,0.11523431806980433,0.11523431806980433,fb_000_to_001,423.6000000000001,69.0,35.300000000000004,5.75,141.20000000000002,23.0,35.300000000000004,5.75,,,0.0,,,0.0,,,0.0,62.40571523973439,soft3,turn_articulation,10,hybrid_threshold,4,0.9751879128316419,6.385209921822712
four_rooms,0.05,0.97,articulation_only,0.15,bottleneck,0.15,none,0.0,999.0,1e-06,3.0,1.2,raw,0.05,0.0,12.185911752175528,0.0,51,4,4,12,12,0,0.0,0.0,0.0,0.0,0.0,0,3.061048773558049,1.043998193237777,3.061048773558049,1.043998193237777,24.027066338017253,6.996824989081135,0.9398419499216982,5.690848348298611,0.9833430938188029,0,True,-12.301146070245332,-12.185911752175528,0.11523431806980433,0.11523431806980433,fb_000_to_001,423.6000000000001,69.0,35.300000000000004,5.75,141.20000000000002,23.0,35.300000000000004,5.75,,,0.0,,,0.0,,,0.0,62.40104877355805,soft3,bottleneck,10,hybrid_threshold,4,0.9751879128316419,6.385209921822712
four_rooms,0.05,0.97,articulation_only,0.15,combined,0.15,none,0.0,999.0,1e-06,3.0,1.2,raw,0.05,0.0,12.185911752175528,0.0,51,4,4,12,12,0,0.0,0.0,0.0,0.0,0.0,0,5.057216524919883,1.0621462814682112,5.057216524919883,1.0621462814682112,38.73349319585289,7.096029541818897,0.9398419499216982,5.690848348298611,1.0,0,True,-12.301146070245332,-12.185911752175528,0.11523431806980433,0.11523431806980433,fb_000_to_001,423.6000000000001,69.0,35.300000000000004,5.75,141.20000000000002,23.0,35.300000000000004,5.75,,,0.0,,,0.0,,,0.0,64.39721652491988,soft3,combined,9,hybrid_threshold,4,0.9751879128316419,6.385209921822712
maze,0.0,0.97,articulation_only,0.15,junction,0.15,none,0.0,999.0,1e-06,3.0,1.2,raw,0.05,0.0,22.199077937496824,0.0,81,4,4,12,12,0,0.0,0.0,0.0,0.0,0.0,0,0.7405669963216716,0.7405669963216713,0.7405669963216716,0.7405669963216713,1.0515369589621013,1.051536958962101,0.97,22.19907793749682,1.0,0,True,-22.199077937496824,-22.199077937496824,0.0,0.0,fb_000_to_001,804.0,390.0,67.0,32.5,268.0,130.0,67.0,32.5,,,0.0,,,0.0,,,0.0,138.94056699632165,soft3,junction,6,hybrid_threshold,4,1.3454815587499362,1.9143853113550462
