solver,beam_width,n_rows,boundary_match_rate,zero_total_violation_gap_rate,feasible_decision_match_rate,mean_extra_jaccard,median_selection_time_sec,median_oracle_time_sec
actual_refine,1,315,0.9841269841269841,0.9841269841269841,0.9841269841269841,0.9650793650793651,0.4794035159284249,0.5534149929881096
actual_refine,2,315,0.9873015873015873,0.9873015873015873,0.9873015873015873,0.9682539682539683,0.5247153730597347,0.5534149929881096
actual_refine,4,315,1.0,1.0,1.0,0.9809523809523809,0.5222448559943587,0.5534149929881096
actual_refine,8,315,1.0,1.0,1.0,0.9809523809523809,0.518293634057045,0.5534149929881096
operator,1,315,0.01904761904761905,0.01904761904761905,0.2,0.0,0.09512700408231467,0.5534149929881096
operator,2,315,0.8285714285714286,0.9809523809523809,0.9809523809523809,0.8873015873015873,0.2293387510580942,0.5534149929881096
operator,4,315,0.8317460317460318,0.9841269841269841,0.9841269841269841,0.8888888888888888,0.22849228896666318,0.5534149929881096
operator,8,315,0.8476190476190476,1.0,1.0,0.9047619047619048,0.2286242109257728,0.5534149929881096
