map,slip,budget_frac,subset_size,candidate_subset,n_boundary,boundary,objective_tuple,total_violation,max_violation,all_groups_feasible,test_bits_mean,test_bits_cvar,group_risks,group_violations,map_family,map_size,n_states,n_basis,n_start_boundary,candidate_pool,is_oracle_best
random_maze_5_seed21,0.0,0.1,1,[4],3,"[0, 4, 6]","[62.18104495389241, 31.090522476946205, 3, 38.86315309618312]",62.18104495389241,31.090522476946205,False,12.954384365394374,38.86315309618312,"{""stochastic"": 0.0, ""topology"": 38.86315309618312, ""value"": 38.86315309618312}","{""stochastic"": 0.0, ""topology"": 31.090522476946205, ""value"": 31.090522476946205}",random_maze,5,7,4,2,"[1, 4]",False
random_maze_5_seed21,0.0,0.1,2,"[1, 4]",4,"[0, 1, 4, 6]","[62.18104495389241, 31.090522476946205, 4, 38.86315309618312]",62.18104495389241,31.090522476946205,False,12.954384365394374,38.86315309618312,"{""stochastic"": 0.0, ""topology"": 38.86315309618312, ""value"": 38.86315309618312}","{""stochastic"": 0.0, ""topology"": 31.090522476946205, ""value"": 31.090522476946205}",random_maze,5,7,4,2,"[1, 4]",False
open_room_5,0.0,0.25,0,[],2,"[0, 24]","[116.58945928855368, 58.29472964427684, 2, 77.72630619236912]",116.58945928855368,58.29472964427684,False,51.81753746157941,77.72630619236912,"{""stochastic"": 0.0, ""topology"": 77.72630619236912, ""value"": 77.72630619236912}","{""stochastic"": 0.0, ""topology"": 58.29472964427684, ""value"": 58.29472964427684}",open_room,5,25,5,2,"[4, 12, 20]",False
open_room_5,0.0,0.25,1,[4],3,"[0, 4, 24]","[77.72630619236767, 58.29472964427684, 3, 38.86315309618312]",77.72630619236767,58.29472964427684,False,25.908768730788747,38.86315309618312,"{""stochastic"": 0.0, ""topology"": 77.72630619236912, ""value"": 38.86315309618312}","{""stochastic"": 0.0, ""topology"": 58.29472964427684, ""value"": 19.43157654809084}",open_room,5,25,5,2,"[4, 12, 20]",True
open_room_5,0.0,0.25,1,[12],3,"[0, 12, 24]","[77.72630619236767, 58.29472964427684, 3, 38.86315309618312]",77.72630619236767,58.29472964427684,False,25.908768730788747,38.86315309618312,"{""stochastic"": 0.0, ""topology"": 77.72630619236912, ""value"": 38.86315309618312}","{""stochastic"": 0.0, ""topology"": 58.29472964427684, ""value"": 19.43157654809084}",open_room,5,25,5,2,"[4, 12, 20]",False
open_room_5,0.0,0.25,1,[20],3,"[0, 20, 24]","[77.72630619236767, 58.29472964427684, 3, 38.86315309618312]",77.72630619236767,58.29472964427684,False,25.908768730788747,38.86315309618312,"{""stochastic"": 0.0, ""topology"": 77.72630619236912, ""value"": 38.86315309618312}","{""stochastic"": 0.0, ""topology"": 58.29472964427684, ""value"": 19.43157654809084}",open_room,5,25,5,2,"[4, 12, 20]",False
open_room_5,0.0,0.25,2,"[4, 12]",4,"[0, 4, 12, 24]","[77.72630619236767, 58.29472964427684, 4, 38.86315309618312]",77.72630619236767,58.29472964427684,False,25.908768730788747,38.86315309618312,"{""stochastic"": 0.0, ""topology"": 77.72630619236912, ""value"": 38.86315309618312}","{""stochastic"": 0.0, ""topology"": 58.29472964427684, ""value"": 19.43157654809084}",open_room,5,25,5,2,"[4, 12, 20]",False
open_room_5,0.0,0.25,2,"[4, 20]",4,"[0, 4, 20, 24]","[77.72630619236767, 58.29472964427684, 4, 38.86315309618312]",77.72630619236767,58.29472964427684,False,25.908768730788747,38.86315309618312,"{""stochastic"": 0.0, ""topology"": 77.72630619236912, ""value"": 38.86315309618312}","{""stochastic"": 0.0, ""topology"": 58.29472964427684, ""value"": 19.43157654809084}",open_room,5,25,5,2,"[4, 12, 20]",False
open_room_5,0.0,0.25,2,"[12, 20]",4,"[0, 12, 20, 24]","[77.72630619236767, 58.29472964427684, 4, 38.86315309618312]",77.72630619236767,58.29472964427684,False,25.908768730788747,38.86315309618312,"{""stochastic"": 0.0, ""topology"": 77.72630619236912, ""value"": 38.86315309618312}","{""stochastic"": 0.0, ""topology"": 58.29472964427684, ""value"": 19.43157654809084}",open_room,5,25,5,2,"[4, 12, 20]",False
random_maze_5_seed9,0.0,0.25,0,[],2,"[0, 6]","[58.29472964427684, 58.29472964427684, 2, 77.72630619236912]",58.29472964427684,58.29472964427684,False,25.908768730789706,77.72630619236912,"{""stochastic"": 0.0, ""topology"": 77.72630619236912, ""value"": 0.0}","{""stochastic"": 0.0, ""topology"": 58.29472964427684, ""value"": 0.0}",random_maze,5,7,4,2,"[2, 4]",False
random_maze_5_seed9,0.0,0.25,1,[2],3,"[0, 2, 6]","[19.43157654809084, 19.43157654809084, 3, 0.0]",19.43157654809084,19.43157654809084,False,0.0,0.0,"{""stochastic"": 0.0, ""topology"": 38.86315309618312, ""value"": 0.0}","{""stochastic"": 0.0, ""topology"": 19.43157654809084, ""value"": 0.0}",random_maze,5,7,4,2,"[2, 4]",True
random_maze_5_seed9,0.0,0.25,1,[4],3,"[0, 4, 6]","[116.58945928855368, 116.58945928855368, 3, 116.58945928855368]",116.58945928855368,116.58945928855368,False,38.86315309618456,116.58945928855368,"{""stochastic"": 0.0, ""topology"": 0.0, ""value"": 116.58945928855368}","{""stochastic"": 0.0, ""topology"": 0.0, ""value"": 116.58945928855368}",random_maze,5,7,4,2,"[2, 4]",False
random_maze_5_seed9,0.0,0.25,2,"[2, 4]",4,"[0, 2, 4, 6]","[19.43157654809084, 19.43157654809084, 4, 0.0]",19.43157654809084,19.43157654809084,False,0.0,0.0,"{""stochastic"": 0.0, ""topology"": 38.86315309618312, ""value"": 0.0}","{""stochastic"": 0.0, ""topology"": 19.43157654809084, ""value"": 0.0}",random_maze,5,7,4,2,"[2, 4]",False
random_maze_5_seed21,0.0,0.25,0,[],2,"[0, 6]","[116.58945928855368, 58.29472964427684, 2, 77.72630619236912]",116.58945928855368,58.29472964427684,False,51.81753746157941,77.72630619236912,"{""stochastic"": 0.0, ""topology"": 77.72630619236912, ""value"": 77.72630619236912}","{""stochastic"": 0.0, ""topology"": 58.29472964427684, ""value"": 58.29472964427684}",random_maze,5,7,4,2,"[1, 4]",False
random_maze_5_seed21,0.0,0.25,1,[1],3,"[0, 1, 6]","[0.0, 0.0, 3, 0.0]",0.0,0.0,True,0.0,0.0,"{""stochastic"": 0.0, ""topology"": 0.0, ""value"": 0.0}","{""stochastic"": 0.0, ""topology"": 0.0, ""value"": 0.0}",random_maze,5,7,4,2,"[1, 4]",True
random_maze_5_seed21,0.0,0.25,1,[4],3,"[0, 4, 6]","[38.86315309618168, 19.43157654809084, 3, 38.86315309618312]",38.86315309618168,19.43157654809084,False,12.954384365394374,38.86315309618312,"{""stochastic"": 0.0, ""topology"": 38.86315309618312, ""value"": 38.86315309618312}","{""stochastic"": 0.0, ""topology"": 19.43157654809084, ""value"": 19.43157654809084}",random_maze,5,7,4,2,"[1, 4]",False
random_maze_5_seed21,0.0,0.25,2,"[1, 4]",4,"[0, 1, 4, 6]","[38.86315309618168, 19.43157654809084, 4, 38.86315309618312]",38.86315309618168,19.43157654809084,False,12.954384365394374,38.86315309618312,"{""stochastic"": 0.0, ""topology"": 38.86315309618312, ""value"": 38.86315309618312}","{""stochastic"": 0.0, ""topology"": 19.43157654809084, ""value"": 19.43157654809084}",random_maze,5,7,4,2,"[1, 4]",False
open_room_5,0.0,0.5,0,[],2,"[0, 24]","[77.72630619236912, 38.86315309618456, 2, 77.72630619236912]",77.72630619236912,38.86315309618456,False,51.81753746157941,77.72630619236912,"{""stochastic"": 0.0, ""topology"": 77.72630619236912, ""value"": 77.72630619236912}","{""stochastic"": 0.0, ""topology"": 38.86315309618456, ""value"": 38.86315309618456}",open_room,5,25,5,2,"[4, 12, 20]",False
open_room_5,0.0,0.5,1,[4],3,"[0, 4, 24]","[38.86315309618456, 38.86315309618456, 3, 38.86315309618312]",38.86315309618456,38.86315309618456,False,25.908768730788747,38.86315309618312,"{""stochastic"": 0.0, ""topology"": 77.72630619236912, ""value"": 38.86315309618312}","{""stochastic"": 0.0, ""topology"": 38.86315309618456, ""value"": 0.0}",open_room,5,25,5,2,"[4, 12, 20]",True
open_room_5,0.0,0.5,1,[12],3,"[0, 12, 24]","[38.86315309618456, 38.86315309618456, 3, 38.86315309618312]",38.86315309618456,38.86315309618456,False,25.908768730788747,38.86315309618312,"{""stochastic"": 0.0, ""topology"": 77.72630619236912, ""value"": 38.86315309618312}","{""stochastic"": 0.0, ""topology"": 38.86315309618456, ""value"": 0.0}",open_room,5,25,5,2,"[4, 12, 20]",False
open_room_5,0.0,0.5,1,[20],3,"[0, 20, 24]","[38.86315309618456, 38.86315309618456, 3, 38.86315309618312]",38.86315309618456,38.86315309618456,False,25.908768730788747,38.86315309618312,"{""stochastic"": 0.0, ""topology"": 77.72630619236912, ""value"": 38.86315309618312}","{""stochastic"": 0.0, ""topology"": 38.86315309618456, ""value"": 0.0}",open_room,5,25,5,2,"[4, 12, 20]",False
open_room_5,0.0,0.5,2,"[4, 12]",4,"[0, 4, 12, 24]","[38.86315309618456, 38.86315309618456, 4, 38.86315309618312]",38.86315309618456,38.86315309618456,False,25.908768730788747,38.86315309618312,"{""stochastic"": 0.0, ""topology"": 77.72630619236912, ""value"": 38.86315309618312}","{""stochastic"": 0.0, ""topology"": 38.86315309618456, ""value"": 0.0}",open_room,5,25,5,2,"[4, 12, 20]",False
open_room_5,0.0,0.5,2,"[4, 20]",4,"[0, 4, 20, 24]","[38.86315309618456, 38.86315309618456, 4, 38.86315309618312]",38.86315309618456,38.86315309618456,False,25.908768730788747,38.86315309618312,"{""stochastic"": 0.0, ""topology"": 77.72630619236912, ""value"": 38.86315309618312}","{""stochastic"": 0.0, ""topology"": 38.86315309618456, ""value"": 0.0}",open_room,5,25,5,2,"[4, 12, 20]",False
open_room_5,0.0,0.5,2,"[12, 20]",4,"[0, 12, 20, 24]","[38.86315309618456, 38.86315309618456, 4, 38.86315309618312]",38.86315309618456,38.86315309618456,False,25.908768730788747,38.86315309618312,"{""stochastic"": 0.0, ""topology"": 77.72630619236912, ""value"": 38.86315309618312}","{""stochastic"": 0.0, ""topology"": 38.86315309618456, ""value"": 0.0}",open_room,5,25,5,2,"[4, 12, 20]",False
random_maze_5_seed9,0.0,0.5,0,[],2,"[0, 6]","[38.86315309618456, 38.86315309618456, 2, 77.72630619236912]",38.86315309618456,38.86315309618456,False,25.908768730789706,77.72630619236912,"{""stochastic"": 0.0, ""topology"": 77.72630619236912, ""value"": 0.0}","{""stochastic"": 0.0, ""topology"": 38.86315309618456, ""value"": 0.0}",random_maze,5,7,4,2,"[2, 4]",False
random_maze_5_seed9,0.0,0.5,1,[2],3,"[0, 2, 6]","[0.0, 0.0, 3, 0.0]",0.0,0.0,True,0.0,0.0,"{""stochastic"": 0.0, ""topology"": 38.86315309618312, ""value"": 0.0}","{""stochastic"": 0.0, ""topology"": 0.0, ""value"": 0.0}",random_maze,5,7,4,2,"[2, 4]",True
random_maze_5_seed9,0.0,0.5,1,[4],3,"[0, 4, 6]","[116.58945928855368, 116.58945928855368, 3, 116.58945928855368]",116.58945928855368,116.58945928855368,False,38.86315309618456,116.58945928855368,"{""stochastic"": 0.0, ""topology"": 0.0, ""value"": 116.58945928855368}","{""stochastic"": 0.0, ""topology"": 0.0, ""value"": 116.58945928855368}",random_maze,5,7,4,2,"[2, 4]",False
random_maze_5_seed9,0.0,0.5,2,"[2, 4]",4,"[0, 2, 4, 6]","[0.0, 0.0, 4, 0.0]",0.0,0.0,True,0.0,0.0,"{""stochastic"": 0.0, ""topology"": 38.86315309618312, ""value"": 0.0}","{""stochastic"": 0.0, ""topology"": 0.0, ""value"": 0.0}",random_maze,5,7,4,2,"[2, 4]",False
random_maze_5_seed21,0.0,0.5,0,[],2,"[0, 6]","[77.72630619236912, 38.86315309618456, 2, 77.72630619236912]",77.72630619236912,38.86315309618456,False,51.81753746157941,77.72630619236912,"{""stochastic"": 0.0, ""topology"": 77.72630619236912, ""value"": 77.72630619236912}","{""stochastic"": 0.0, ""topology"": 38.86315309618456, ""value"": 38.86315309618456}",random_maze,5,7,4,2,"[1, 4]",False
random_maze_5_seed21,0.0,0.5,1,[1],3,"[0, 1, 6]","[0.0, 0.0, 3, 0.0]",0.0,0.0,True,0.0,0.0,"{""stochastic"": 0.0, ""topology"": 0.0, ""value"": 0.0}","{""stochastic"": 0.0, ""topology"": 0.0, ""value"": 0.0}",random_maze,5,7,4,2,"[1, 4]",True
random_maze_5_seed21,0.0,0.5,1,[4],3,"[0, 4, 6]","[0.0, 0.0, 3, 38.86315309618312]",0.0,0.0,True,12.954384365394374,38.86315309618312,"{""stochastic"": 0.0, ""topology"": 38.86315309618312, ""value"": 38.86315309618312}","{""stochastic"": 0.0, ""topology"": 0.0, ""value"": 0.0}",random_maze,5,7,4,2,"[1, 4]",False
random_maze_5_seed21,0.0,0.5,2,"[1, 4]",4,"[0, 1, 4, 6]","[0.0, 0.0, 4, 38.86315309618312]",0.0,0.0,True,12.954384365394374,38.86315309618312,"{""stochastic"": 0.0, ""topology"": 38.86315309618312, ""value"": 38.86315309618312}","{""stochastic"": 0.0, ""topology"": 0.0, ""value"": 0.0}",random_maze,5,7,4,2,"[1, 4]",False
open_room_5,0.05,0.1,0,[],2,"[0, 24]","[209.86102671939665, 69.95367557313222, 2, 77.72630619236912]",209.86102671939665,69.95367557313222,False,77.72630619236912,77.72630619236912,"{""stochastic"": 77.72630619236912, ""topology"": 77.72630619236912, ""value"": 77.72630619236912}","{""stochastic"": 69.95367557313222, ""topology"": 69.95367557313222, ""value"": 69.95367557313222}",open_room,5,25,5,2,"[4, 12, 20]",False
open_room_5,0.05,0.1,1,[4],3,"[0, 4, 24]","[458.2564250616765, 225.40628795787046, 3, 124.31067459496501]",458.2564250616765,225.40628795787046,False,124.1565893376045,124.31067459496501,"{""stochastic"": 124.08472374731487, ""topology"": 233.17891857710737, ""value"": 124.31067459496501}","{""stochastic"": 116.31209312807796, ""topology"": 225.40628795787046, ""value"": 116.5380439757281}",open_room,5,25,5,2,"[4, 12, 20]",False
open_room_5,0.05,0.1,1,[12],3,"[0, 12, 24]","[425.5982691134201, 225.40628795787046, 3, 107.91310446747079]",425.5982691134201,225.40628795787046,False,107.8833031112706,107.91310446747079,"{""stochastic"": 107.91310446747079, ""topology"": 233.17891857710737, ""value"": 107.82413792655261}","{""stochastic"": 100.14047384823388, ""topology"": 225.40628795787046, ""value"": 100.0515073073157}",open_room,5,25,5,2,"[4, 12, 20]",False
open_room_5,0.05,0.1,1,[20],3,"[0, 20, 24]","[544.416846005749, 225.40628795787046, 3, 233.17891857710737]",544.416846005749,225.40628795787046,False,189.24491262115325,233.17891857710737,"{""stochastic"": 233.17891857710737, ""topology"": 233.17891857710737, ""value"": 101.37690070924495}","{""stochastic"": 225.40628795787046, ""topology"": 225.40628795787046, ""value"": 93.60427009000804}",open_room,5,25,5,2,"[4, 12, 20]",False
open_room_5,0.05,0.1,2,"[4, 12]",4,"[0, 4, 12, 24]","[292114.26642882865, 256077.99354869052, 4, 19692.148717210104]",292114.26642882865,256077.99354869052,False,12099.860661429579,19692.148717210104,"{""stochastic"": 16359.669424166486, ""topology"": 256085.76617930975, ""value"": 19692.148717210104}","{""stochastic"": 16351.89679354725, ""topology"": 256077.99354869052, ""value"": 19684.376086590866}",open_room,5,25,5,2,"[4, 12, 20]",False
open_room_5,0.05,0.1,2,"[4, 20]",4,"[0, 4, 20, 24]","[948.3898618960501, 458.5852065349777, 4, 325.8952331409147]",948.3898618960501,458.5852065349777,False,277.07496669804124,325.8952331409147,"{""stochastic"": 325.8952331409147, ""topology"": 466.3578371542146, ""value"": 179.45468345863156}","{""stochastic"": 318.1226025216778, ""topology"": 458.5852065349777, ""value"": 171.68205283939466}",open_room,5,25,5,2,"[4, 12, 20]",False
open_room_5,0.05,0.1,2,"[12, 20]",4,"[0, 12, 20, 24]","[118.138174793099, 67.54027521272417, 4, 45.61051037947197]",118.138174793099,67.54027521272417,False,37.251223665449594,45.61051037947197,"{""stochastic"": 45.61051037947197, ""topology"": 75.31290583196107, ""value"": 20.532650439376685}","{""stochastic"": 37.837879760235055, ""topology"": 67.54027521272417, ""value"": 12.760019820139771}",open_room,5,25,5,2,"[4, 12, 20]",True
random_maze_5_seed9,0.05,0.1,0,[],2,"[0, 6]","[139.9303327270003, 69.95367557313222, 2, 77.72630619236912]",139.9303327270003,69.95367557313222,False,51.826049158148244,77.72630619236912,"{""stochastic"": 0.02553508970649646, ""topology"": 77.72630619236912, ""value"": 77.72630619236912}","{""stochastic"": 0.022981580735846812, ""topology"": 69.95367557313222, ""value"": 69.95367557313222}",random_maze,5,7,4,2,"[2, 4]",False
random_maze_5_seed9,0.05,0.1,1,[2],3,"[0, 2, 6]","[7.844550277444911, 3.9222751387224557, 3, 11.694905757959368]",7.844550277444911,3.9222751387224557,False,3.8983019193197896,11.694905757959368,"{""stochastic"": 0.0, ""topology"": 11.694905757959368, ""value"": 11.694905757959368}","{""stochastic"": 0.0, ""topology"": 3.9222751387224557, ""value"": 3.9222751387224557}",random_maze,5,7,4,2,"[2, 4]",True
random_maze_5_seed9,0.05,0.1,1,[4],3,"[0, 4, 6]","[77.72375268339847, 77.72375268339847, 3, 77.72630619236912]",77.72375268339847,77.72375268339847,False,25.908768730789706,77.72630619236912,"{""stochastic"": 77.72630619236912, ""topology"": 0.0, ""value"": 0.0}","{""stochastic"": 77.72375268339847, ""topology"": 0.0, ""value"": 0.0}",random_maze,5,7,4,2,"[2, 4]",False
random_maze_5_seed9,0.05,0.1,2,"[2, 4]",4,"[0, 2, 4, 6]","[7.844550277444911, 3.9222751387224557, 4, 11.694905757959368]",7.844550277444911,3.9222751387224557,False,3.8983019193197896,11.694905757959368,"{""stochastic"": 0.0, ""topology"": 11.694905757959368, ""value"": 11.694905757959368}","{""stochastic"": 0.0, ""topology"": 3.9222751387224557, ""value"": 3.9222751387224557}",random_maze,5,7,4,2,"[2, 4]",False
random_maze_5_seed21,0.05,0.1,0,[],2,"[0, 6]","[209.86102671939665, 69.95367557313222, 2, 77.72630619236912]",209.86102671939665,69.95367557313222,False,77.72630619236912,77.72630619236912,"{""stochastic"": 77.72630619236912, ""topology"": 77.72630619236912, ""value"": 77.72630619236912}","{""stochastic"": 69.95367557313222, ""topology"": 69.95367557313222, ""value"": 69.95367557313222}",random_maze,5,7,4,2,"[1, 4]",False
random_maze_5_seed21,0.05,0.1,1,[1],3,"[0, 1, 6]","[0.0, 0.0, 3, 0.0]",0.0,0.0,True,0.0,0.0,"{""stochastic"": 0.0, ""topology"": 0.0, ""value"": 0.0}","{""stochastic"": 0.0, ""topology"": 0.0, ""value"": 0.0}",random_maze,5,7,4,2,"[1, 4]",True
random_maze_5_seed21,0.05,0.1,1,[4],3,"[0, 4, 6]","[11.766825416167368, 3.9222751387224557, 3, 11.694905757959368]",11.766825416167368,3.9222751387224557,False,7.796603838639579,11.694905757959368,"{""stochastic"": 11.694905757959368, ""topology"": 11.694905757959368, ""value"": 11.694905757959368}","{""stochastic"": 3.9222751387224557, ""topology"": 3.9222751387224557, ""value"": 3.9222751387224557}",random_maze,5,7,4,2,"[1, 4]",False
random_maze_5_seed21,0.05,0.1,2,"[1, 4]",4,"[0, 1, 4, 6]","[11.766825416167368, 3.9222751387224557, 4, 11.694905757959368]",11.766825416167368,3.9222751387224557,False,7.796603838639579,11.694905757959368,"{""stochastic"": 11.694905757959368, ""topology"": 11.694905757959368, ""value"": 11.694905757959368}","{""stochastic"": 3.9222751387224557, ""topology"": 3.9222751387224557, ""value"": 3.9222751387224557}",random_maze,5,7,4,2,"[1, 4]",False
open_room_5,0.05,0.25,0,[],2,"[0, 24]","[174.8841889328305, 58.29472964427684, 2, 77.72630619236912]",174.8841889328305,58.29472964427684,False,77.72630619236912,77.72630619236912,"{""stochastic"": 77.72630619236912, ""topology"": 77.72630619236912, ""value"": 77.72630619236912}","{""stochastic"": 58.29472964427684, ""topology"": 58.29472964427684, ""value"": 58.29472964427684}",open_room,5,25,5,2,"[4, 12, 20]",False
open_room_5,0.05,0.25,1,[4],3,"[0, 4, 24]","[423.27958727511043, 213.7473420290151, 3, 124.31067459496501]",423.27958727511043,213.7473420290151,False,124.1565893376045,124.31067459496501,"{""stochastic"": 124.08472374731487, ""topology"": 233.17891857710737, ""value"": 124.31067459496501}","{""stochastic"": 104.65314719922259, ""topology"": 213.7473420290151, ""value"": 104.87909804687273}",open_room,5,25,5,2,"[4, 12, 20]",False
open_room_5,0.05,0.25,1,[12],3,"[0, 12, 24]","[390.62143132685395, 213.7473420290151, 3, 107.91310446747079]",390.62143132685395,213.7473420290151,False,107.8833031112706,107.91310446747079,"{""stochastic"": 107.91310446747079, ""topology"": 233.17891857710737, ""value"": 107.82413792655261}","{""stochastic"": 88.48152791937851, ""topology"": 213.7473420290151, ""value"": 88.39256137846033}",open_room,5,25,5,2,"[4, 12, 20]",False
open_room_5,0.05,0.25,1,[20],3,"[0, 20, 24]","[509.44000821918286, 213.7473420290151, 3, 233.17891857710737]",509.44000821918286,213.7473420290151,False,189.24491262115325,233.17891857710737,"{""stochastic"": 233.17891857710737, ""topology"": 233.17891857710737, ""value"": 101.37690070924495}","{""stochastic"": 213.7473420290151, ""topology"": 213.7473420290151, ""value"": 81.94532416115267}",open_room,5,25,5,2,"[4, 12, 20]",False
open_room_5,0.05,0.25,2,"[4, 12]",4,"[0, 4, 12, 24]","[292079.2895910421, 256066.33460276166, 4, 19692.148717210104]",292079.2895910421,256066.33460276166,False,12099.860661429579,19692.148717210104,"{""stochastic"": 16359.669424166486, ""topology"": 256085.76617930975, ""value"": 19692.148717210104}","{""stochastic"": 16340.237847618395, ""topology"": 256066.33460276166, ""value"": 19672.71714066201}",open_room,5,25,5,2,"[4, 12, 20]",False
open_room_5,0.05,0.25,2,"[4, 20]",4,"[0, 4, 20, 24]","[913.413024109484, 446.92626060612236, 4, 325.8952331409147]",913.413024109484,446.92626060612236,False,277.07496669804124,325.8952331409147,"{""stochastic"": 325.8952331409147, ""topology"": 466.3578371542146, ""value"": 179.45468345863156}","{""stochastic"": 306.4636565928224, ""topology"": 446.92626060612236, ""value"": 160.0231069105393}",open_room,5,25,5,2,"[4, 12, 20]",False
