map,k_steps,n_steps,top1_match_rate,mean_abs_score_error,max_abs_score_error,mean_time_truncated_green_sec
four_rooms_9,1,3,0.0,0.05053437727985675,0.9511432073833992,0.0008707926608622074
four_rooms_9,2,3,0.3333333333333333,0.02935595192208253,0.900548178992747,0.0007872140073838333
four_rooms_9,4,3,0.3333333333333333,0.026432412522055967,0.900548178992747,0.000852699993023028
four_rooms_9,8,3,0.6666666666666666,0.02459617247185526,0.900548178992747,0.0008201003268671533
four_rooms_9,16,3,1.0,4.835740641024521e-05,0.0013213426142651974,0.0008418776754600307
four_rooms_9,32,3,1.0,2.6889192511771598e-12,7.102418653204268e-11,0.000948949328934153
maze_9,1,3,0.3333333333333333,0.16083333236644495,0.9999999936143584,0.0005890260023685793
maze_9,2,3,0.3333333333333333,0.15331249903311162,0.9999999936143584,0.0005320473380076388
maze_9,4,3,1.0,0.011647609622276157,0.07689282871875347,0.0004954400161902109
maze_9,8,3,1.0,5.23250433596148e-05,0.0003682084227900617,0.0005407209973782301
maze_9,16,3,1.0,1.0784846434988877e-09,8.850466914900323e-09,0.0005221986793912947
maze_9,32,3,1.0,9.313537595502494e-17,5.551115123125783e-16,0.0005956933406802515
open_room_7,1,3,0.6666666666666666,0.15111743506749456,0.9067046102875489,0.0006710133166052401
open_room_7,2,3,0.6666666666666666,0.15111743506749456,0.9067046102875489,0.0006798740165928999
open_room_7,4,3,0.6666666666666666,0.15111743506749456,0.9067046102875489,0.0006074266663442055
open_room_7,8,3,1.0,0.0010651012749191959,0.006390607634988332,0.0006695443298667669
open_room_7,16,3,1.0,2.4190809847394544e-08,1.4514404622634203e-07,0.0006780773207234839
open_room_7,32,3,1.0,1.4808271072791444e-16,8.881784197001252e-16,0.0007818323210813105
