map,step,k_steps,n_boundary,n_candidates,n_active_edges,mean_abs_score_error,max_abs_score_error,l1_score_error,exact_top_state,approx_top_state,top1_match,exact_top_score,approx_top_score,time_truncated_green_sec
maze_9,0,1,2,6,2,0.03249999999999992,0.0974999999999997,0.1949999999999995,2,2,True,0.9999999999999997,0.9025,0.0005041839904151857
maze_9,0,2,2,6,2,0.009937499999999913,0.037333333304184535,0.05962499999999948,2,2,True,0.9999999999999997,0.9777083333333333,0.00040961301419883966
maze_9,0,4,2,6,2,0.00039788001543200483,0.0018015740449253137,0.002387280092592029,2,2,True,0.9999999999999997,0.9994142939814815,0.0004744380130432546
maze_9,0,8,2,6,2,1.0714553285759572e-06,5.975182020945269e-06,6.4287319714557435e-06,2,2,True,0.9999999999999997,0.9999995464503538,0.00048351899022236466
maze_9,0,16,2,6,2,1.9240351702793915e-11,1.1515821629615175e-10,1.1544211021676349e-10,2,2,True,0.9999999999999997,0.9999999999997158,0.0004756170092150569
maze_9,0,32,2,6,2,7.401486830942083e-17,3.3306690738754696e-16,4.44089209856525e-16,2,2,True,0.9999999999999997,1.0,0.000508502998854965
maze_9,1,1,3,5,2,0.1999999987228717,0.9999999936143584,0.9999999936143584,17,3,False,0.9999999936143584,0.0,0.00046929100062698126
maze_9,1,2,3,5,2,0.1999999987228717,0.9999999936143584,0.9999999936143584,17,3,False,0.9999999936143584,0.0,0.0005321979988366365
maze_9,1,4,3,5,2,0.0153217416717081,0.0766087083585405,0.0766087083585405,17,17,True,0.9999999936143584,0.9233912852558179,0.00042482203571125865
maze_9,1,8,3,5,2,6.385156905275302e-05,0.0003192578452637651,0.0003192578452637651,17,17,True,0.9999999936143584,0.9996807357690947,0.00041074800537899137
maze_9,1,16,3,5,2,1.0035968500687887e-09,5.017984250343943e-09,5.017984250343943e-09,17,17,True,0.9999999936143584,0.9999999885963742,0.00043449801160022616
maze_9,1,32,3,5,2,6.661338147750939e-17,3.3306690738754696e-16,3.3306690738754696e-16,17,17,True,0.9999999936143584,0.9999999936143588,0.0004797609872184694
maze_9,2,1,4,4,3,0.24999999837646325,0.999999993505853,0.999999993505853,21,3,False,0.999999993505853,0.0,0.000793603016063571
maze_9,2,2,4,4,3,0.24999999837646325,0.999999993505853,0.999999993505853,21,3,False,0.999999993505853,0.0,0.0006543310009874403
maze_9,2,4,4,4,3,0.019223207179688367,0.07689282871875347,0.07689282871875347,21,21,True,0.999999993505853,0.9231071647870995,0.0005870599998161197
maze_9,2,8,4,4,3,9.205210569751543e-05,0.0003682084227900617,0.0003682084227900617,21,21,True,0.999999993505853,0.9996317850830629,0.0007278959965333343
maze_9,2,16,4,4,3,2.212616728725081e-09,8.850466914900323e-09,8.850466914900323e-09,21,21,True,0.999999993505853,0.9999999846553861,0.0006564810173586011
maze_9,2,32,4,4,3,1.3877787807814457e-16,5.551115123125783e-16,5.551115123125783e-16,21,21,True,0.999999993505853,0.9999999935058536,0.0007988160359673202
four_rooms_9,0,1,2,14,1,0.07132128589588442,0.9511432073833992,0.998498002542382,25,3,False,0.9511432073833992,0.0,0.0005083709838800132
four_rooms_9,0,2,2,14,1,0.01007988377948232,0.0937682073833993,0.14111837291275248,25,25,True,0.9511432073833992,0.8573749999999999,0.00040869798976927996
four_rooms_9,0,4,2,14,1,0.003717546551381206,0.04395606287622714,0.05204565171933688,25,25,True,0.9511432073833992,0.946446736111111,0.0004565509734675288
four_rooms_9,0,8,2,14,1,0.0032689963296241124,0.04395606287622714,0.045765948614737574,25,25,True,0.9511432073833992,0.9511324140498434,0.00041495898040011525
four_rooms_9,0,16,2,14,1,4.1845755946339e-05,0.0005796834279776023,0.000585840583248746,25,25,True,0.9511432073833992,0.9511432072616912,0.00041542103281244636
four_rooms_9,0,32,2,14,1,2.5278061409913154e-12,3.511109458731454e-11,3.538928597387841e-11,25,25,True,0.9511432073833992,0.9511432073833986,0.0005086580058559775
four_rooms_9,1,1,3,13,2,0.07455699386069625,0.900548178992747,0.9692409201890513,64,3,False,0.900548178992747,0.0,0.0008588900091126561
four_rooms_9,1,2,3,13,2,0.0734561104910434,0.900548178992747,0.9549294363835643,64,28,False,0.900548178992747,0.014306854151656504,0.0008242740295827389
four_rooms_9,1,4,3,13,2,0.07230016458803926,0.900548178992747,0.9399021396445104,64,28,False,0.900548178992747,0.016421229931386408,0.0009237150079570711
four_rooms_9,1,8,3,13,2,0.06987129711019545,0.900548178992747,0.9083268624325408,64,38,False,0.900548178992747,0.032042072255311256,0.0007895019953139126
four_rooms_9,1,16,3,13,2,0.00010240240693357303,0.0013213426142651974,0.0013312312901364494,64,64,True,0.900548178992747,0.8992268363784818,0.0008308640099130571
four_rooms_9,1,32,3,13,2,5.49966423525013e-12,7.102418653204268e-11,7.149563505825169e-11,64,64,True,0.900548178992747,0.9005481789217228,0.001017271017190069
four_rooms_9,2,1,4,12,3,0.005724852082989551,0.03386490472212114,0.06869822499587461,38,3,False,0.03386490472212114,0.0,0.001245116989593953
