map,step,n_boundary,n_candidates,n_edges_valid,n_active_edges,top_fd_state,top_fd_coord,top_fd_score,top_grad_state,top_grad_match_fd,top_actual_state,top_actual_match_fd,mean_grad_abs_error,max_grad_error_to_bound_ratio,selected_sequence
maze_9,0,2,6,0,2,2,"(1, 3)",305.0472437743605,2,True,24,False,240451833071.96426,0.11168201823607873,[]
maze_9,1,3,5,3,2,17,"(5, 3)",5.649243396714363,17,True,3,False,1.317338038653304e-08,0.9641746912496187,[2]
