option,src_state,src_coord,target_state,target_coord,primitive_distance,within_horizon,edge_valid,visible_mass,hidden_mass,hidden_gamma_mass,hidden_argmax_state,hidden_argmax_coord,hidden_argmax_prob,soft_cost,soft_argmax_state,soft_argmax_coord,soft_argmax_score,reward,map,slip,step
fb_002_to_001,34,"(5, 7)",6,"(1, 7)",4.0,True,True,0.9999999999627933,3.7206795262507756e-11,3.0087543823158634e-11,28,"(5, 1)",3.7206795262507756e-11,0.018126229019795704,33,"(5, 6)",0.017814026931900522,-4.119704630606855,open_room,0.05,1
fb_000_to_002,0,"(1, 1)",34,"(5, 7)",10.0,True,False,0.06416353854610621,0.9358364614538938,0.8236069190132143,28,"(5, 1)",0.9358364614538938,0.21454469208296828,30,"(5, 3)",0.05649883051180478,-4.332039004404955,open_room,0.05,1
fb_001_to_002,6,"(1, 7)",34,"(5, 7)",4.0,True,True,0.9999999946408199,5.359179968182262e-09,3.869606620869691e-09,28,"(5, 1)",5.359179968182262e-09,0.061823010632770514,33,"(5, 6)",0.05828218900110399,-4.119704630606856,open_room,0.05,1
fb_001_to_000,6,"(1, 7)",0,"(1, 1)",6.0,True,True,1.0,0.0,0.0,,,0.0,3.2559081772622354e-07,33,"(5, 6)",8.445462027860479e-08,-5.994087865458839,open_room,0.05,2
fb_002_to_000,28,"(5, 1)",0,"(1, 1)",4.0,True,True,0.9999999999999998,0.0,0.0,,,0.0,0.0003122037938653797,30,"(5, 3)",0.000306746524420294,-4.119704630606856,open_room,0.05,2
fb_003_to_000,34,"(5, 7)",0,"(1, 1)",10.0,True,True,1.0000000000000002,0.0,0.0,,,0.0,0.01812624217072081,33,"(5, 6)",0.01781402703454222,-4.332039004404954,open_room,0.05,2
fb_000_to_001,0,"(1, 1)",6,"(1, 7)",6.0,True,True,1.0,0.0,0.0,,,0.0,3.1083154218521637e-07,30,"(5, 3)",8.313804910438455e-08,-5.994087865458839,open_room,0.05,2
fb_002_to_001,28,"(5, 1)",6,"(1, 7)",10.0,True,True,0.9999999999999998,0.0,0.0,,,0.0,0.00031222078764630076,30,"(5, 3)",0.00030675067015108643,-4.332039004404954,open_room,0.05,2
fb_003_to_001,34,"(5, 7)",6,"(1, 7)",4.0,True,True,1.0000000000000002,0.0,0.0,,,0.0,0.018126229019795704,33,"(5, 6)",0.017814026931900522,-4.119704630606855,open_room,0.05,2
fb_000_to_002,0,"(1, 1)",28,"(5, 1)",4.0,True,True,1.0,0.0,0.0,,,0.0,0.0035409633957835304,30,"(5, 3)",0.0033976406073234523,-4.119704630606857,open_room,0.05,2
fb_001_to_002,6,"(1, 7)",28,"(5, 1)",10.0,True,True,0.9999999999999999,0.0,0.0,,,0.0,0.220178749690727,32,"(5, 5)",0.05649883051180477,-4.332039004404954,open_room,0.05,2
fb_003_to_002,34,"(5, 7)",28,"(5, 1)",6.0,True,True,0.9999999999999998,0.0,0.0,,,0.0,3.934571969055182,33,"(5, 6)",1.0331285666248693,-5.99408786545884,open_room,0.05,2
fb_000_to_003,0,"(1, 1)",34,"(5, 7)",10.0,True,True,1.0,0.0,0.0,,,0.0,0.21454469208296828,30,"(5, 3)",0.05649883051180478,-4.332039004404955,open_room,0.05,2
fb_001_to_003,6,"(1, 7)",34,"(5, 7)",4.0,True,True,0.9999999999999999,0.0,0.0,,,0.0,0.061823010632770514,33,"(5, 6)",0.05828218900110399,-4.119704630606856,open_room,0.05,2
fb_002_to_003,28,"(5, 1)",34,"(5, 7)",6.0,True,True,0.9999999999999996,0.0,0.0,,,0.0,3.7912369545213656,30,"(5, 3)",0.9994572945038515,-5.994087865458839,open_room,0.05,2
