option,src_state,src_coord,target_state,target_coord,primitive_distance,within_horizon,edge_valid,visible_mass,hidden_mass,hidden_gamma_mass,hidden_argmax_state,hidden_argmax_coord,hidden_argmax_prob,reward,map,slip,step
fb_002_to_003,3,"(1, 4)",30,"(5, 3)",5.0,True,False,0.0,1.0,0.8852928099999999,31,"(5, 4)",1.0,-3.823573,open_room,0.0,3
fb_004_to_003,34,"(5, 7)",30,"(5, 3)",4.0,True,False,0.0,1.0,0.9409,32,"(5, 5)",1.0,-1.97,open_room,0.0,3
fb_000_to_004,0,"(1, 1)",34,"(5, 7)",10.0,True,True,1.0,0.0,0.0,31,"(5, 4)",0.0,-5.5675998357,open_room,0.0,3
fb_001_to_004,2,"(1, 3)",34,"(5, 7)",8.0,True,True,1.0,0.0,0.0,31,"(5, 4)",0.0,-3.8235729999999997,open_room,0.0,3
fb_002_to_004,3,"(1, 4)",34,"(5, 7)",7.0,True,False,0.0,1.0,0.8852928099999999,31,"(5, 4)",1.0,-3.823573,open_room,0.0,3
fb_003_to_004,30,"(5, 3)",34,"(5, 7)",4.0,True,False,0.0,1.0,0.97,31,"(5, 4)",1.0,-1.0,open_room,0.0,3
fb_001_to_000,2,"(1, 3)",0,"(1, 1)",2.0,True,True,1.0,0.0,0.0,32,"(5, 5)",0.0,-1.97,open_room,0.0,4
fb_002_to_000,3,"(1, 4)",0,"(1, 1)",3.0,True,True,1.0,0.0,0.0,32,"(5, 5)",0.0,-1.0,open_room,0.0,4
fb_003_to_000,30,"(5, 3)",0,"(1, 1)",6.0,True,True,1.0,0.0,0.0,32,"(5, 5)",0.0,-3.823573,open_room,0.0,4
fb_004_to_000,31,"(5, 4)",0,"(1, 1)",7.0,True,True,1.0,0.0,0.0,32,"(5, 5)",0.0,-3.8235729999999997,open_room,0.0,4
fb_005_to_000,34,"(5, 7)",0,"(1, 1)",10.0,True,True,1.0,0.0,0.0,32,"(5, 5)",0.0,-6.4005718406289995,open_room,0.0,4
fb_000_to_001,0,"(1, 1)",2,"(1, 3)",2.0,True,True,1.0,0.0,0.0,32,"(5, 5)",0.0,-1.97,open_room,0.0,4
fb_002_to_001,3,"(1, 4)",2,"(1, 3)",1.0,True,True,1.0,0.0,0.0,32,"(5, 5)",0.0,-1.0,open_room,0.0,4
fb_003_to_001,30,"(5, 3)",2,"(1, 3)",4.0,True,True,1.0,0.0,0.0,32,"(5, 5)",0.0,-3.823573,open_room,0.0,4
fb_004_to_001,31,"(5, 4)",2,"(1, 3)",5.0,True,True,1.0,0.0,0.0,32,"(5, 5)",0.0,-3.8235729999999997,open_room,0.0,4
fb_005_to_001,34,"(5, 7)",2,"(1, 3)",8.0,True,True,1.0,0.0,0.0,32,"(5, 5)",0.0,-6.4005718406289995,open_room,0.0,4
fb_000_to_002,0,"(1, 1)",3,"(1, 4)",3.0,True,True,1.0,0.0,0.0,32,"(5, 5)",0.0,-1.97,open_room,0.0,4
fb_001_to_002,2,"(1, 3)",3,"(1, 4)",1.0,True,True,1.0,0.0,0.0,32,"(5, 5)",0.0,-1.0,open_room,0.0,4
fb_003_to_002,30,"(5, 3)",3,"(1, 4)",5.0,True,True,1.0,0.0,0.0,32,"(5, 5)",0.0,-3.823573,open_room,0.0,4
fb_004_to_002,31,"(5, 4)",3,"(1, 4)",4.0,True,True,1.0,0.0,0.0,32,"(5, 5)",0.0,-3.8235729999999997,open_room,0.0,4
fb_005_to_002,34,"(5, 7)",3,"(1, 4)",7.0,True,True,1.0,0.0,0.0,32,"(5, 5)",0.0,-6.4005718406289995,open_room,0.0,4
fb_000_to_003,0,"(1, 1)",30,"(5, 3)",6.0,True,True,1.0,0.0,0.0,32,"(5, 5)",0.0,-5.5675998357,open_room,0.0,4
fb_001_to_003,2,"(1, 3)",30,"(5, 3)",4.0,True,True,1.0,0.0,0.0,32,"(5, 5)",0.0,-3.8235729999999997,open_room,0.0,4
fb_002_to_003,3,"(1, 4)",30,"(5, 3)",5.0,True,True,1.0,0.0,0.0,32,"(5, 5)",0.0,-3.823573,open_room,0.0,4
fb_004_to_003,31,"(5, 4)",30,"(5, 3)",1.0,True,True,1.0,0.0,0.0,32,"(5, 5)",0.0,-1.0,open_room,0.0,4
fb_005_to_003,34,"(5, 7)",30,"(5, 3)",4.0,True,False,0.0,1.0,0.9409,32,"(5, 5)",1.0,-1.97,open_room,0.0,4
fb_000_to_004,0,"(1, 1)",31,"(5, 4)",7.0,True,True,1.0,0.0,0.0,32,"(5, 5)",0.0,-5.5675998357,open_room,0.0,4
fb_001_to_004,2,"(1, 3)",31,"(5, 4)",5.0,True,True,1.0,0.0,0.0,32,"(5, 5)",0.0,-3.8235729999999997,open_room,0.0,4
fb_002_to_004,3,"(1, 4)",31,"(5, 4)",4.0,True,True,1.0,0.0,0.0,32,"(5, 5)",0.0,-3.823573,open_room,0.0,4
fb_003_to_004,30,"(5, 3)",31,"(5, 4)",1.0,True,True,1.0,0.0,0.0,32,"(5, 5)",0.0,-1.0,open_room,0.0,4
fb_005_to_004,34,"(5, 7)",31,"(5, 4)",3.0,True,False,0.0,1.0,0.9409,32,"(5, 5)",1.0,-1.97,open_room,0.0,4
fb_000_to_005,0,"(1, 1)",34,"(5, 7)",10.0,True,True,1.0,0.0,0.0,32,"(5, 5)",0.0,-5.5675998357,open_room,0.0,4
fb_001_to_005,2,"(1, 3)",34,"(5, 7)",8.0,True,True,1.0,0.0,0.0,32,"(5, 5)",0.0,-3.8235729999999997,open_room,0.0,4
fb_002_to_005,3,"(1, 4)",34,"(5, 7)",7.0,True,True,1.0,0.0,0.0,32,"(5, 5)",0.0,-3.823573,open_room,0.0,4
fb_003_to_005,30,"(5, 3)",34,"(5, 7)",4.0,True,True,1.0,0.0,0.0,32,"(5, 5)",0.0,-1.0,open_room,0.0,4
fb_004_to_005,31,"(5, 4)",34,"(5, 7)",3.0,True,False,0.0,1.0,0.97,32,"(5, 5)",1.0,-1.0,open_room,0.0,4
fb_001_to_000,2,"(1, 3)",0,"(1, 1)",2.0,True,True,1.0,0.0,0.0,,,0.0,-1.97,open_room,0.0,5
fb_002_to_000,3,"(1, 4)",0,"(1, 1)",3.0,True,True,1.0,0.0,0.0,,,0.0,-1.0,open_room,0.0,5
fb_003_to_000,30,"(5, 3)",0,"(1, 1)",6.0,True,True,1.0,0.0,0.0,,,0.0,-3.823573,open_room,0.0,5
fb_004_to_000,31,"(5, 4)",0,"(1, 1)",7.0,True,True,1.0,0.0,0.0,,,0.0,-3.8235729999999997,open_room,0.0,5
fb_005_to_000,32,"(5, 5)",0,"(1, 1)",8.0,True,True,1.0,0.0,0.0,,,0.0,-4.708865810000001,open_room,0.0,5
fb_006_to_000,34,"(5, 7)",0,"(1, 1)",10.0,True,True,1.0,0.0,0.0,,,0.0,-6.4005718406289995,open_room,0.0,5
fb_000_to_001,0,"(1, 1)",2,"(1, 3)",2.0,True,True,1.0,0.0,0.0,,,0.0,-1.97,open_room,0.0,5
fb_002_to_001,3,"(1, 4)",2,"(1, 3)",1.0,True,True,1.0,0.0,0.0,,,0.0,-1.0,open_room,0.0,5
fb_003_to_001,30,"(5, 3)",2,"(1, 3)",4.0,True,True,1.0,0.0,0.0,,,0.0,-3.823573,open_room,0.0,5
fb_004_to_001,31,"(5, 4)",2,"(1, 3)",5.0,True,True,1.0,0.0,0.0,,,0.0,-3.8235729999999997,open_room,0.0,5
fb_005_to_001,32,"(5, 5)",2,"(1, 3)",6.0,True,True,1.0,0.0,0.0,,,0.0,-4.708865810000001,open_room,0.0,5
fb_006_to_001,34,"(5, 7)",2,"(1, 3)",8.0,True,True,1.0,0.0,0.0,,,0.0,-6.4005718406289995,open_room,0.0,5
fb_000_to_002,0,"(1, 1)",3,"(1, 4)",3.0,True,True,1.0,0.0,0.0,,,0.0,-1.97,open_room,0.0,5
fb_001_to_002,2,"(1, 3)",3,"(1, 4)",1.0,True,True,1.0,0.0,0.0,,,0.0,-1.0,open_room,0.0,5
fb_003_to_002,30,"(5, 3)",3,"(1, 4)",5.0,True,True,1.0,0.0,0.0,,,0.0,-3.823573,open_room,0.0,5
fb_004_to_002,31,"(5, 4)",3,"(1, 4)",4.0,True,True,1.0,0.0,0.0,,,0.0,-3.8235729999999997,open_room,0.0,5
fb_005_to_002,32,"(5, 5)",3,"(1, 4)",5.0,True,True,1.0,0.0,0.0,,,0.0,-4.708865810000001,open_room,0.0,5
fb_006_to_002,34,"(5, 7)",3,"(1, 4)",7.0,True,True,1.0,0.0,0.0,,,0.0,-6.4005718406289995,open_room,0.0,5
fb_000_to_003,0,"(1, 1)",30,"(5, 3)",6.0,True,True,1.0,0.0,0.0,,,0.0,-5.5675998357,open_room,0.0,5
fb_001_to_003,2,"(1, 3)",30,"(5, 3)",4.0,True,True,1.0,0.0,0.0,,,0.0,-3.8235729999999997,open_room,0.0,5
fb_002_to_003,3,"(1, 4)",30,"(5, 3)",5.0,True,True,1.0,0.0,0.0,,,0.0,-3.823573,open_room,0.0,5
fb_004_to_003,31,"(5, 4)",30,"(5, 3)",1.0,True,True,1.0,0.0,0.0,,,0.0,-1.0,open_room,0.0,5
fb_005_to_003,32,"(5, 5)",30,"(5, 3)",2.0,True,True,1.0,0.0,0.0,,,0.0,-1.0,open_room,0.0,5
fb_006_to_003,34,"(5, 7)",30,"(5, 3)",4.0,True,True,1.0,0.0,0.0,,,0.0,-1.97,open_room,0.0,5
fb_000_to_004,0,"(1, 1)",31,"(5, 4)",7.0,True,True,1.0,0.0,0.0,,,0.0,-5.5675998357,open_room,0.0,5
fb_001_to_004,2,"(1, 3)",31,"(5, 4)",5.0,True,True,1.0,0.0,0.0,,,0.0,-3.8235729999999997,open_room,0.0,5
fb_002_to_004,3,"(1, 4)",31,"(5, 4)",4.0,True,True,1.0,0.0,0.0,,,0.0,-3.823573,open_room,0.0,5
fb_003_to_004,30,"(5, 3)",31,"(5, 4)",1.0,True,True,1.0,0.0,0.0,,,0.0,-1.0,open_room,0.0,5
fb_005_to_004,32,"(5, 5)",31,"(5, 4)",1.0,True,True,1.0,0.0,0.0,,,0.0,-1.0,open_room,0.0,5
fb_006_to_004,34,"(5, 7)",31,"(5, 4)",3.0,True,True,1.0,0.0,0.0,,,0.0,-1.97,open_room,0.0,5
fb_000_to_005,0,"(1, 1)",32,"(5, 5)",8.0,True,True,1.0,0.0,0.0,,,0.0,-5.5675998357,open_room,0.0,5
fb_001_to_005,2,"(1, 3)",32,"(5, 5)",6.0,True,True,1.0,0.0,0.0,,,0.0,-3.8235729999999997,open_room,0.0,5
fb_002_to_005,3,"(1, 4)",32,"(5, 5)",5.0,True,True,1.0,0.0,0.0,,,0.0,-3.823573,open_room,0.0,5
fb_003_to_005,30,"(5, 3)",32,"(5, 5)",2.0,True,True,1.0,0.0,0.0,,,0.0,-1.0,open_room,0.0,5
fb_004_to_005,31,"(5, 4)",32,"(5, 5)",1.0,True,True,1.0,0.0,0.0,,,0.0,-1.0,open_room,0.0,5
fb_006_to_005,34,"(5, 7)",32,"(5, 5)",2.0,True,True,1.0,0.0,0.0,,,0.0,-1.97,open_room,0.0,5
fb_000_to_006,0,"(1, 1)",34,"(5, 7)",10.0,True,True,1.0,0.0,0.0,,,0.0,-5.5675998357,open_room,0.0,5
fb_001_to_006,2,"(1, 3)",34,"(5, 7)",8.0,True,True,1.0,0.0,0.0,,,0.0,-3.8235729999999997,open_room,0.0,5
fb_002_to_006,3,"(1, 4)",34,"(5, 7)",7.0,True,True,1.0,0.0,0.0,,,0.0,-3.823573,open_room,0.0,5
fb_003_to_006,30,"(5, 3)",34,"(5, 7)",4.0,True,True,1.0,0.0,0.0,,,0.0,-1.0,open_room,0.0,5
fb_004_to_006,31,"(5, 4)",34,"(5, 7)",3.0,True,True,1.0,0.0,0.0,,,0.0,-1.0,open_room,0.0,5
fb_005_to_006,32,"(5, 5)",34,"(5, 7)",2.0,True,True,1.0,0.0,0.0,,,0.0,-1.97,open_room,0.0,5
fb_001_to_000,34,"(5, 7)",0,"(1, 1)",10.0,True,False,1.4227046087747493e-07,0.999999857729539,0.7974307719828718,3,"(1, 4)",0.9996746574101457,-6.752304310328127,open_room,0.05,0
fb_000_to_001,0,"(1, 1)",34,"(5, 7)",10.0,True,False,5.142907991764533e-08,0.9999999485709204,0.8242836817743564,30,"(5, 3)",0.9996017886116781,-5.857209366702483,open_room,0.05,0
fb_001_to_000,3,"(1, 4)",0,"(1, 1)",3.0,True,False,5.116331021802923e-06,0.9999948836689779,0.9674038917334233,2,"(1, 3)",0.9999947893402087,-1.0863919938069568,open_room,0.05,1
fb_002_to_000,34,"(5, 7)",0,"(1, 1)",10.0,True,False,0.9996747996806066,0.00032520031939322426,0.0003024863380317758,32,"(5, 5)",0.0003178367808974349,-6.752304310328127,open_room,0.05,1
fb_000_to_001,0,"(1, 1)",3,"(1, 4)",3.0,True,False,5.300269913968003e-06,0.9999946997300865,0.9364098465016316,2,"(1, 3)",0.9999946935389489,-2.1195218837007603,open_room,0.05,1
fb_002_to_001,34,"(5, 7)",3,"(1, 4)",7.0,True,False,0.9996746628006751,0.00032533719932476674,0.0003025813044152358,32,"(5, 5)",0.0003178367808974349,-6.752304310328127,open_room,0.05,1
fb_000_to_002,0,"(1, 1)",34,"(5, 7)",10.0,True,False,2.3387241888340046e-07,0.9999997661275815,0.8242835269600497,30,"(5, 3)",0.9996017886116781,-5.857209366702483,open_room,0.05,1
