map,slip,gamma,candidate_kind,candidate_top_fraction,residual_kind,residual_top_fraction,soft_kind,soft_top_fraction,local_horizon,hidden_threshold,soft_threshold,residual_threshold,residual_threshold_mode,residual_reward_weight,residual_hit_weight,value_scale_task,soft_cost_weight,n_states,n_boundary,n_candidate_boundary,n_pair_options,n_edges_valid,invalid_hidden_count,hidden_mass_total,hidden_mass_max,soft_cost_all_total,soft_cost_valid_total,soft_cost_max,soft_over_threshold_count,model_residual_valid_total,model_residual_max,residual_threshold_metric_valid_total,residual_threshold_metric_max,residual_backup_value_norm_valid_total,residual_backup_value_norm_max,beta_global,l_gamma_row_max,residual_hidden_mass_max,residual_over_threshold_count,feasible,start_value_smdp,start_value_primitive,start_gap,value_gap_max,start_best_option,policy_tv_total,policy_regions_total,policy_tv_mean,policy_regions_mean,target_policy_tv_total,target_policy_regions_total,target_policy_tv_mean,target_policy_regions_mean,hard_split_candidate_state,hard_split_candidate_coord,hard_split_candidate_score,residual_split_candidate_state,residual_split_candidate_coord,residual_split_candidate_score,soft_split_candidate_state,soft_split_candidate_coord,soft_split_candidate_score,description_length_proxy,step,split_candidate_state,split_candidate_score,split_candidate_source,split_candidate_coord,stop_reason
four_rooms,0.0,0.97,articulation_only,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,4.0,value_norm,0.05,0.0,11.57212408464641,1.0,51,4,4,12,12,0,0.0,0.0,4.823584556488949,4.823584556488949,1.2329439104767141,4,2.025703993428,1.012851996714,13.696590297556405,6.8482951487782024,13.696590297556405,6.8482951487782024,0.9409,5.567599835699998,1.0,2,True,-11.572124084646411,-11.57212408464641,1.7763568394002505e-15,1.7763568394002505e-15,fb_000_to_001,450.0,69.0,37.5,5.75,150.0,23.0,37.5,5.75,,,0.0,4,"(1, 5)",6.8482951487782024,40,"(4, 11)",1.905730192915731,67.94928854991694,2,4,6.8482951487782024,model_residual,"(1, 5)",continue
four_rooms,0.0,0.97,articulation_only,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,4.0,value_norm,0.05,0.0,11.57212408464641,1.0,51,5,5,20,20,0,0.0,0.0,6.056528466965663,6.056528466965663,1.2329439104767141,5,1.012851996714,1.012851996714,6.848295148778203,6.8482951487782024,6.848295148778203,6.8482951487782024,0.9409,5.567599835699998,1.0,1,True,-11.572124084646411,-11.57212408464641,1.7763568394002505e-15,1.7763568394002505e-15,fb_000_to_001,728.0,112.0,36.4,5.6,182.0,28.0,36.4,5.6,,,0.0,46,"(5, 7)",6.8482951487782024,40,"(4, 11)",2.5409735905543083,87.46938046367967,3,46,6.8482951487782024,model_residual,"(5, 7)",continue
four_rooms,0.0,0.97,articulation_only,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,4.0,value_norm,0.05,0.0,11.57212408464641,1.0,51,6,6,30,30,0,0.0,0.0,7.3601205780598455,7.3601205780598455,1.2329439104767141,6,4.4408920985006264e-17,2.2204460492503132e-17,6.691084185092072e-16,3.345542092546036e-16,6.691084185092072e-16,3.345542092546036e-16,0.9409,5.567599835699998,0.0,0,True,-11.572124084646411,-11.57212408464641,1.7763568394002505e-15,1.7763568394002505e-15,fb_000_to_001,1080.0,170.0,36.0,5.666666666666667,216.0,34.0,36.0,5.666666666666667,,,0.0,,,0.0,40,"(4, 11)",2.5409735905543083,110.06012057805985,4,,0.0,none,,hybrid_threshold
four_rooms,0.05,0.97,articulation_only,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,4.0,value_norm,0.05,0.0,12.185911752175528,1.0,51,2,4,2,0,2,2.0,1.0000000000000004,0.6678408722396028,0.0,0.6676582215190286,0,0.0,0.9353997146900606,0.0,3.18588267030038,0.0,3.18588267030038,0.6486833685494997,11.710554381683336,0.9999999999999998,0,False,nan,-12.185911752175528,inf,inf,INFEASIBLE,62.0,11.0,31.0,5.5,62.0,11.0,31.0,5.5,24,"(3, 5)",1.0000000000000004,,,0.0,,,0.0,22.0,0,24,1.0000000000000004,hard_hidden,"(3, 5)",continue
four_rooms,0.05,0.97,articulation_only,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,4.0,value_norm,0.05,0.0,12.185911752175528,1.0,51,3,4,6,2,4,3.000302307940899,0.9999999999999994,1.335681808598059,0.00036530144114830897,0.6676582215190286,2,0.20289550154522962,1.037653386258505,1.295619003829721,6.386247533914078,1.295619003829721,6.386247533914078,0.8298916991685619,7.361588376823,0.9999999999999998,0,False,nan,-12.185911752175528,inf,inf,INFEASIBLE,203.20000000000002,34.0,33.86666666666667,5.666666666666667,101.60000000000001,17.0,33.86666666666667,5.666666666666667,26,"(3, 7)",3.000302307940899,,,0.0,42,"(5, 2)",0.00036530144114830897,38.98992746965305,1,26,3.000302307940899,hard_hidden,"(3, 7)",continue
four_rooms,0.05,0.97,articulation_only,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,4.0,value_norm,0.05,0.0,12.185911752175528,1.0,51,4,4,12,12,0,0.0,0.0,3.8340394666748043,3.8340394666748043,1.830496678282954,9,3.065715239734387,0.9751879128316419,25.358376348569763,6.385209921822712,25.358376348569763,6.385209921822712,0.9398419499216982,5.690848348298611,0.9664271847097837,2,True,-12.301146070245332,-12.185911752175528,0.11523431806980433,0.11523431806980433,fb_000_to_001,423.6000000000001,69.0,35.300000000000004,5.75,141.20000000000002,23.0,35.300000000000004,5.75,,,0.0,4,"(1, 5)",6.168941744773638,40,"(4, 11)",1.965839839643408,66.23975470640919,2,4,6.168941744773638,model_residual,"(1, 5)",continue
four_rooms,0.05,0.97,articulation_only,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,4.0,value_norm,0.05,0.0,12.185911752175528,1.0,51,5,5,20,20,0,0.0,0.0,4.501707867068212,4.501707867068212,1.8304966782829541,11,3.0635911183628894,0.9751879128316419,32.330749116489656,6.385209921822712,32.330749116489656,6.385209921822712,0.9398588652460462,5.690848348298596,0.9664271847097837,1,True,-12.301146070271093,-12.185911752175528,0.11523431809556506,0.11523431809556506,fb_000_to_002,685.0666666666665,112.0,34.25333333333332,5.6,171.26666666666668,28.0,34.25333333333334,5.6,,,0.0,46,"(5, 7)",6.16894174477364,40,"(4, 11)",2.6211197861912106,85.81863231876443,3,46,6.16894174477364,model_residual,"(5, 7)",continue
four_rooms,0.05,0.97,articulation_only,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,4.0,value_norm,0.05,0.0,12.185911752175528,1.0,51,6,6,30,30,0,0.0,0.0,6.720012613414593,6.720012613414593,1.9654433375988494,19,3.25615889515069,0.1324683922719196,42.62650606280068,2.1728065087136117,42.62650606280068,2.1728065087136117,0.9398588652460462,5.690832064328446,0.0003136136738921069,0,True,-12.301146070270821,-12.185911752175528,0.11523431809529328,0.11523431809529328,fb_000_to_002,1015.9999999999998,170.0,33.86666666666666,5.666666666666667,203.20000000000002,34.0,33.86666666666667,5.666666666666667,,,0.0,,,0.0,40,"(4, 11)",2.6211197861822746,110.1161715085653,4,,0.0,none,,hybrid_threshold
maze,0.0,0.97,articulation_only,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,4.0,value_norm,0.05,0.0,22.199077937496824,1.0,81,2,2,2,2,0,0.0,0.0,6.375771414961022,6.375771414961022,4.309620929135694,2,2.690963117499872,1.3454815587499362,3.7397506352407786,1.8698753176203895,3.7397506352407786,1.8698753176203895,0.33402766187509486,22.19907793749682,1.0,0,True,-22.199077937496824,-22.199077937496824,0.0,0.0,fb_000_to_001,134.0,65.0,67.0,32.5,134.0,65.0,67.0,32.5,,,0.0,,,0.0,63,"(6, 19)",0.97,73.4667345324609,0,,0.0,none,,hybrid_threshold
maze,0.05,0.97,articulation_only,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,4.0,value_norm,0.05,0.0,23.006540118833655,1.0,81,2,2,2,2,0,0.0,0.0,6.304422223627169,6.304422223627169,3.334608285737951,2,2.6656279434214607,1.3328148050908424,3.664160671607529,1.8320829680789457,3.664160671607529,1.8320829680789457,0.3431101040032383,21.896413204569914,0.9999999999999998,0,True,-23.006540118862866,-23.006540118833655,2.921041186709772e-11,2.921041186709772e-11,fb_000_to_001,125.4666666666667,65.0,62.73333333333335,32.5,125.4666666666667,65.0,62.73333333333335,32.5,,,0.0,,,0.0,63,"(6, 19)",1.017021309114977,71.66338350038197,0,,0.0,none,,hybrid_threshold
