option,src_state,src_coord,target_state,target_coord,primitive_distance,within_horizon,edge_valid,visible_mass,hidden_mass,hidden_gamma_mass,hidden_argmax_state,hidden_argmax_coord,hidden_argmax_prob,soft_cost,soft_argmax_state,soft_argmax_coord,soft_argmax_score,model_residual,residual_threshold_metric,residual_reward_abs,residual_gamma_l1,residual_hit_l1,residual_backup_raw,residual_backup_value,residual_backup_value_norm,residual_reward_per_discounted_step,residual_gamma_relative,residual_tau_relative,value_scale_task,beta_row,l_gamma_row,expected_tau_global,expected_tau_residual,residual_hidden_mass,residual_hidden_gamma_mass,residual_argmax_state,residual_argmax_coord,residual_argmax_prob,reward,map,slip,step
fb_000_to_003,0,"(1, 1)",34,"(5, 7)",10.0,True,True,1.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.75252910350239,0.8852928099999999,3.823572999999999,4.0,4.0,0.0,0.0,,,0.0,-3.8235729999999997,open_room,0.0,2
fb_001_to_003,6,"(1, 7)",34,"(5, 7)",4.0,True,True,1.0,0.0,0.0,,,0.0,0.912673,27,"(4, 7)",0.912673,2.2204460492503132e-17,4.4232961430380427e-16,4.440892098500626e-16,0.0,0.0,4.440892098500626e-16,4.440892098500626e-16,4.4232961430380427e-16,1.161450846760511e-16,0.0,0.0,8.75252910350239,0.8852928099999999,3.823572999999999,4.0,4.0,0.0,0.0,,,0.0,-3.823573,open_room,0.0,2
fb_002_to_003,28,"(5, 1)",34,"(5, 7)",6.0,True,True,1.0,0.0,0.0,,,0.0,1.7174680513999998,32,"(5, 5)",0.8587340256999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.75252910350239,0.8329720049289999,5.567599835699998,6.0,6.0,0.0,0.0,,,0.0,-5.567599835699999,open_room,0.0,2
fb_001_to_000,34,"(5, 7)",0,"(1, 1)",10.0,True,True,1.0,0.0,0.0,,,0.0,0.018126511590962843,33,"(5, 6)",0.017814097830386316,0.9134444674604744,4.4486245897124,4.491877408200449,0.6888505970504519,0.9358364618880668,5.180728005250901,10.822423161257415,4.4486245897124,0.5090571123026029,0.9368516045328443,0.49807289300598323,9.19001272578314,0.7352825076218377,8.823916412605403,10.18112926849835,4.612111866663503,0.9358364618880669,0.8236069192964655,6,"(1, 7)",0.935836461453894,-9.268811904277364,open_room,0.05,0
fb_000_to_001,0,"(1, 1)",34,"(5, 7)",10.0,True,True,1.0,0.0,0.0,,,0.0,3.337033911680864,30,"(5, 3)",0.8796588346772263,0.9134444674604748,4.448624589712409,4.491877408200448,0.6888505970504524,0.9358364618880667,5.1807280052509,10.822423161257419,4.448624589712409,0.5090571123026035,0.9368516045328443,0.4980728930059832,9.19001272578314,0.7352825076218381,8.823916412605389,10.181129268498347,4.612111866663503,0.9358364618880667,0.8236069192964657,28,"(5, 1)",0.9358364614538938,-9.268811904277364,open_room,0.05,0
fb_001_to_000,28,"(5, 1)",0,"(1, 1)",4.0,True,True,0.9999999999999994,0.0,0.0,,,0.0,0.0003122037938666397,30,"(5, 3)",0.0003067465244205942,0.09995309386744512,0.9483607748173397,0.19774220301952283,0.09006598371646898,0.10001947045830306,0.28780818673599184,1.0254497395340498,0.9483607748173397,0.05041919872270866,0.1020761482637691,0.04236829533108684,9.19001272578314,0.8823411271723798,3.9219624275873373,4.123810254919365,4.34089736102024,5.359179968182261e-09,3.869606620869692e-09,6,"(1, 7)",5.359179968182261e-09,-4.119704653801618,open_room,0.05,1
fb_002_to_000,34,"(5, 7)",0,"(1, 1)",10.0,True,True,1.0,0.0,0.0,,,0.0,0.018126511589724517,33,"(5, 6)",0.01781409783038631,0.9134444668661019,4.448624591853588,4.491877392644384,0.6888505972338826,0.9358364614538938,5.1807279898782665,10.822423147387081,4.448624591853588,0.5090571114370984,0.9368516041876965,0.4980728918537818,9.19001272578314,0.7352825080885197,8.823916397049336,10.181129242831448,4.612111866663503,0.935836461453894,0.823606919013214,6,"(1, 7)",0.935836461453894,-9.268811887936973,open_room,0.05,1
fb_000_to_001,0,"(1, 1)",28,"(5, 1)",4.0,True,True,1.0000000000000002,0.0,0.0,,,0.0,0.0035409634024081687,30,"(5, 3)",0.003397640608916235,0.09995309814611118,0.9483608274675598,0.19774222497687388,0.09006598689726748,0.10001947578027613,0.28780821187414135,1.0254497907229796,0.9483608274675598,0.050419204603546035,0.10207615179251636,0.04236830205454492,9.19001272578314,0.8823411278311003,3.921962405629986,4.123810221869891,4.3408973610202395,3.720679526250775e-11,3.0087543823158634e-11,6,"(1, 7)",3.720679526250775e-11,-4.119704630737196,open_room,0.05,1
fb_002_to_001,34,"(5, 7)",28,"(5, 1)",6.0,True,True,0.9999999999999999,0.0,0.0,,,0.0,3.934572261171381,33,"(5, 6)",1.0331286431753874,0.13485166936499052,0.9340420637784551,0.38130041590290276,0.11578664856984539,0.13333323683443454,0.49708706447274814,1.445381189735562,0.9340420637784551,0.06793423398441177,0.1392308422968996,0.061351952181457586,9.19001272578314,0.8316163765133218,5.6127874495559364,6.088647821221789,6.523550203380582,9.642350469677183e-08,8.440908977807412e-08,6,"(1, 7)",9.642350469677183e-08,-5.994088647830814,open_room,0.05,1
fb_000_to_002,0,"(1, 1)",34,"(5, 7)",10.0,True,True,1.0000000000000002,0.0,0.0,,,0.0,0.21454469210047972,30,"(5, 3)",0.05649883051180611,0.10015693516401229,0.9083694254047895,0.20793408853012707,0.08976023073750594,0.10001947538331016,0.297694319267633,1.0328317512770377,0.9083694254047895,0.05041920435382996,0.10243364352143787,0.04286019880431527,9.19001272578314,0.8762768525237554,4.124104915874816,4.381461362796312,4.612111866663503,4.3417287375003915e-10,2.8325138368473397e-10,6,"(1, 7)",4.3417287375003915e-10,-4.332039005571867,open_room,0.05,1
