src_state,dst_state,src,dst,option,hit_probability,gamma_terminal,expected_tau,reward
0,0,"(1, 1)","(1, 1)",N,1.0,0.97,1.0,-1.0
4,4,"(1, 5)","(1, 5)",N,1.0,0.97,1.0,-1.0
5,5,"(1, 7)","(1, 7)",N,1.0,0.97,1.0,-1.0
11,11,"(1, 13)","(1, 13)",N,1.0,0.97,1.0,-1.0
12,12,"(1, 15)","(1, 15)",N,1.0,0.97,1.0,-1.0
16,16,"(1, 19)","(1, 19)",N,1.0,0.97,1.0,-1.0
23,0,"(3, 1)","(1, 1)",N,1.0,0.9409,2.0,-1.97
25,25,"(3, 3)","(3, 3)",N,1.0,0.97,1.0,-1.0
26,4,"(3, 5)","(1, 5)",N,1.0,0.9409,2.0,-1.97
28,5,"(3, 7)","(1, 7)",N,1.0,0.9409,2.0,-1.97
29,29,"(3, 9)","(3, 9)",N,1.0,0.97,1.0,-1.0
31,31,"(3, 11)","(3, 11)",N,1.0,0.97,1.0,-1.0
32,11,"(3, 13)","(1, 13)",N,1.0,0.9409,2.0,-1.97
34,12,"(3, 15)","(1, 15)",N,1.0,0.9409,2.0,-1.97
35,35,"(3, 17)","(3, 17)",N,1.0,0.97,1.0,-1.0
37,16,"(3, 19)","(1, 19)",N,1.0,0.9409,2.0,-1.97
42,42,"(5, 1)","(5, 1)",N,1.0,0.97,1.0,-1.0
44,25,"(5, 3)","(3, 3)",N,1.0,0.9409,2.0,-1.97
45,45,"(5, 5)","(5, 5)",N,1.0,0.97,1.0,-1.0
47,47,"(5, 7)","(5, 7)",N,1.0,0.97,1.0,-1.0
49,29,"(5, 9)","(3, 9)",N,1.0,0.9409,2.0,-1.97
50,31,"(5, 11)","(3, 11)",N,1.0,0.9409,2.0,-1.97
52,52,"(5, 13)","(5, 13)",N,1.0,0.97,1.0,-1.0
54,54,"(5, 15)","(5, 15)",N,1.0,0.97,1.0,-1.0
55,35,"(5, 17)","(3, 17)",N,1.0,0.9409,2.0,-1.97
57,57,"(5, 19)","(5, 19)",N,1.0,0.97,1.0,-1.0
64,42,"(7, 1)","(5, 1)",N,1.0,0.9409,2.0,-1.97
68,45,"(7, 5)","(5, 5)",N,1.0,0.9409,2.0,-1.97
69,47,"(7, 7)","(5, 7)",N,1.0,0.9409,2.0,-1.97
75,52,"(7, 13)","(5, 13)",N,1.0,0.9409,2.0,-1.97
76,54,"(7, 15)","(5, 15)",N,1.0,0.9409,2.0,-1.97
80,57,"(7, 19)","(5, 19)",N,1.0,0.9409,2.0,-1.97
0,23,"(1, 1)","(3, 1)",S,1.0,0.9409,2.0,-1.97
4,26,"(1, 5)","(3, 5)",S,1.0,0.9409,2.0,-1.97
5,28,"(1, 7)","(3, 7)",S,1.0,0.9409,2.0,-1.97
11,32,"(1, 13)","(3, 13)",S,1.0,0.9409,2.0,-1.97
12,34,"(1, 15)","(3, 15)",S,1.0,0.9409,2.0,-1.97
16,37,"(1, 19)","(3, 19)",S,1.0,0.9409,2.0,-1.97
23,23,"(3, 1)","(3, 1)",S,1.0,0.97,1.0,-1.0
25,44,"(3, 3)","(5, 3)",S,1.0,0.9409,2.0,-1.97
26,26,"(3, 5)","(3, 5)",S,1.0,0.97,1.0,-1.0
28,28,"(3, 7)","(3, 7)",S,1.0,0.97,1.0,-1.0
29,49,"(3, 9)","(5, 9)",S,1.0,0.9409,2.0,-1.97
31,50,"(3, 11)","(5, 11)",S,1.0,0.9409,2.0,-1.97
32,32,"(3, 13)","(3, 13)",S,1.0,0.97,1.0,-1.0
34,34,"(3, 15)","(3, 15)",S,1.0,0.97,1.0,-1.0
35,55,"(3, 17)","(5, 17)",S,1.0,0.9409,2.0,-1.97
37,37,"(3, 19)","(3, 19)",S,1.0,0.97,1.0,-1.0
42,64,"(5, 1)","(7, 1)",S,1.0,0.9409,2.0,-1.97
44,44,"(5, 3)","(5, 3)",S,1.0,0.97,1.0,-1.0
45,68,"(5, 5)","(7, 5)",S,1.0,0.9409,2.0,-1.97
