map,m_train,risk_kind,train_probes,test_probes,n_basis,n_boundary,selection_time_sec,train_bits_mean,train_bits_max,train_bits_cvar,test_bits_mean,test_bits_max,test_bits_cvar,test_minus_train_mean,boundary
four_rooms_9,2,mean_cvar,"['junction', 'bottleneck']","['turn_articulation', 'combined', 'value_gradient', 'transition_entropy']",28,5,1.206020146026276,226.44972369844817,340.56468930642916,340.56468930642916,159.77235866191137,198.2666114234737,198.2666114234737,-66.6773650365368,"[0, 1, 9, 29, 67]"
four_rooms_9,2,max,"['junction', 'bottleneck']","['turn_articulation', 'combined', 'value_gradient', 'transition_entropy']",28,5,1.5719190399977379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 1, 2, 9, 67]"
four_rooms_9,3,mean,"['junction', 'bottleneck', 'turn_articulation']","['combined', 'value_gradient', 'transition_entropy']",28,5,1.99008718598634,279.8253280128992,501.6545533033334,501.6545533033334,396.4461033903553,396.6004946015297,396.6004946015297,116.62077537745608,"[0, 1, 29, 42, 67]"
four_rooms_9,3,mean_cvar,"['junction', 'bottleneck', 'turn_articulation']","['combined', 'value_gradient', 'transition_entropy']",28,5,1.947405876009725,215.19313194053703,340.56468930642916,340.56468930642916,331.75231604479274,331.7523160451258,331.7523160451258,116.5591841042557,"[0, 1, 9, 42, 67]"
four_rooms_9,3,max,"['junction', 'bottleneck', 'turn_articulation']","['combined', 'value_gradient', 'transition_entropy']",28,5,1.840343579009641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 1, 2, 9, 67]"
four_rooms_9,4,mean,"['junction', 'bottleneck', 'turn_articulation', 'combined']","['value_gradient', 'transition_entropy']",28,5,3.078287193959113,308.9612173959539,501.6545533033334,501.6545533033334,396.48471231297384,396.6004946015297,396.6004946015297,87.52349491701995,"[0, 1, 29, 42, 67]"
four_rooms_9,4,mean_cvar,"['junction', 'bottleneck', 'turn_articulation', 'combined']","['value_gradient', 'transition_entropy']",28,5,2.62078214797657,308.9612173959539,501.6545533033334,501.6545533033334,396.48471231297384,396.6004946015297,396.6004946015297,87.52349491701995,"[0, 1, 29, 42, 67]"
four_rooms_9,4,max,"['junction', 'bottleneck', 'turn_articulation', 'combined']","['value_gradient', 'transition_entropy']",28,5,2.451709963963367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 1, 2, 9, 67]"
four_rooms_9,5,mean,"['junction', 'bottleneck', 'turn_articulation', 'combined', 'value_gradient']",['transition_entropy'],28,5,3.193152147985529,326.48907283706905,501.6545533033334,501.6545533033334,396.368930024418,396.368930024418,396.368930024418,69.87985718734893,"[0, 1, 29, 42, 67]"
four_rooms_9,5,mean_cvar,"['junction', 'bottleneck', 'turn_articulation', 'combined', 'value_gradient']",['transition_entropy'],28,5,3.1325384289957583,326.48907283706905,501.6545533033334,501.6545533033334,396.368930024418,396.368930024418,396.368930024418,69.87985718734893,"[0, 1, 29, 42, 67]"
