map_family,map_size,map,method_spec,variant,task_type,task_count,n_states,n_boundary,state_compression_ratio,edge_count,reward_kernel_nnz,continuation_kernel_nnz,certified_kernel_error_bound,goal_option_interface_size,goal_conditioned_options,n_goal_policies,construction_time_sec,kernel_time_sec,task_kernel_time_sec,policy_build_time_sec,batched_event_solve_time_sec,smdp_solve_time_sec,full_total_time_sec,graph_total_time_sec,break_even_num_tasks,amortized_speedup_vs_full_vi,planning_only_speedup_vs_full_vi,start_gap_mean,start_gap_max,boundary_gap_max,full_backup_count,smdp_edge_backup_count,epsilon_opt_empirical
corridor,32,corridor_32,endpoints,fixed_B_edge_reward_kernel,additive_sparse,1,32,2,16.0,2,62,2,0.0,0,0,0,1.0279007256031036e-05,0.0010365729685872793,1.1289957910776138e-06,0.0,0.0,0.00023647904163226485,0.011266148998402059,0.0012844600132666528,1.0,8.771116953458026,47.4148480858387,23.135435852781008,23.135435852781008,23.135435852781008,96768,48,
corridor,32,corridor_32,endpoints,fixed_B_edge_reward_kernel,additive_dense,1,32,2,16.0,2,62,2,0.0,0,0,0,1.0279007256031036e-05,0.0010365729685872793,1.293024979531765e-06,0.0,0.0,0.00021832098718732595,0.010853565006982535,0.001266465988010168,1.0,8.569961696354214,49.42109522017313,11.308450383357837,11.308450383357837,11.308450383357837,93952,48,
corridor,32,corridor_32,endpoints,fixed_B_event_hit_kernel,terminal_goal,1,32,2,16.0,2,2,2,0.0,0,0,0,1.0279007256031036e-05,0.0010365729685872793,0.00026250595692545176,0.0,0.0,4.819704918190837e-05,0.00112799002090469,0.0013575549819506705,2.0,0.8308982220991752,3.6304445040191373,0.0,0.0,1.3706369372812333e-11,5888,4,
corridor,32,corridor_32,endpoints,fixed_B_goal_conditioned_event_options,terminal_goal,1,32,2,16.0,4,6,2,0.0,2,2,1,1.0279007256031036e-05,0.0010365729685872793,0.0005861959070898592,0.00018234195886179805,0.00014134799130260944,0.00013066799147054553,0.00112799002090469,0.0017637158744037151,2.0,0.6395531373702955,1.573506523581258,6.394884621840902e-13,6.394884621840902e-13,1.2420287021086551e-11,5888,44,6.394884621840902e-13
corridor,32,corridor_32,endpoints,promote_goals_to_B,terminal_goal,1,32,3,10.666666666666666,6,0,6,0.0,1,1,0,0.0012417009565979242,0.004365003027487546,0.0,0.0,0.0,0.0001409890246577561,0.00112799002090469,0.004505992052145302,6.0,0.25033111640036165,8.000551983693981,nan,0.0,nan,5888,nan,
corridor,32,corridor_32,endpoints,fixed_B_edge_reward_kernel,additive_sparse,3,32,2,16.0,2,62,2,0.0,0,0,0,1.0279007256031036e-05,0.0010365729685872793,3.3660326153039932e-06,0.0,0.0,0.0007009830442257226,0.03334098099730909,0.001751201052684337,1.0,19.038922427668833,47.335876617943285,22.63619025100753,28.217628277133368,28.217628277133368,290304,144,
corridor,32,corridor_32,endpoints,fixed_B_edge_reward_kernel,additive_dense,3,32,2,16.0,2,62,2,0.0,0,0,0,1.0279007256031036e-05,0.0010365729685872793,3.4589902497828007e-06,0.0,0.0,0.0007077130139805377,0.03196081303758547,0.0017580239800736308,1.0,18.17996420972987,44.941044989778064,10.600590867101767,12.889207022887145,12.889207022887145,281216,144,
corridor,32,corridor_32,endpoints,fixed_B_event_hit_kernel,terminal_goal,3,32,2,16.0,2,6,2,0.0,0,0,0,1.0279007256031036e-05,0.0010365729685872793,0.0007433120044879615,0.0,0.0,0.00011146406177431345,0.003388896002434194,0.0019016280421055853,2.0,1.7821024550531055,3.9646594426222075,5.239216468074422e-12,1.5717205315013416e-11,2.8130386908742366e-11,18048,12,
corridor,32,corridor_32,endpoints,fixed_B_goal_conditioned_event_options,terminal_goal,3,32,2,16.0,4,18,2,0.0,6,6,3,1.0279007256031036e-05,0.0010365729685872793,0.001659607922192663,0.0005550478817895055,0.00036124803591519594,0.0003885359619744122,0.003388896002434194,0.0030949958600103855,3.0,1.0949597853170707,1.6546181294349673,5.142701079800342e-12,1.4555467942045652e-11,2.6624036308930954e-11,18048,132,1.4555467942045652e-11
corridor,32,corridor_32,endpoints,promote_goals_to_B,terminal_goal,3,32,5,6.4,20,0,26,0.0,3,3,0,0.0038488859427161515,0.008731505018658936,0.0,0.0,0.0,0.001477543031796813,0.003388896002434194,0.010209048050455749,20.0,0.3319502450850849,2.2936022366218465,nan,3.568700890355103e-12,nan,18048,nan,
