map_family,map_size,map,slip,method,repeat,pair_id,host,n_states,iterations,state_updates,backup_count,time_sec,bellman_residual,max_value_error,start_value_error,error
corridor,256,corridor_256,0.1,gauss_seidel_vi,0,corridor_256|0.1|0,node001,256,317,81152,324608,0.3791493340395391,3.703348738781642e-11,7.507594546041219e-11,7.507594546041219e-11,
corridor,256,corridor_256,0.1,prioritized_sweeping,0,corridor_256|0.1|0,node001,256,178666,178666,4111552,6.085248718038201,9.50457490489498e-11,8.879581514520396e-10,6.589999657080625e-10,
corridor,256,corridor_256,0.1,sparse_vectorized_vi,1,corridor_256|0.1|1,node005,256,341,87296,349184,0.03499655402265489,5.026379312766949e-11,1.3950796073913807e-10,1.3950796073913807e-10,
corridor,256,corridor_256,0.1,gauss_seidel_vi,1,corridor_256|0.1|1,node005,256,317,81152,324608,0.4062773180194199,3.703348738781642e-11,7.507594546041219e-11,7.507594546041219e-11,
corridor,256,corridor_256,0.1,prioritized_sweeping,1,corridor_256|0.1|1,node005,256,178666,178666,4111552,6.152042960980907,9.50457490489498e-11,8.879581514520396e-10,6.589999657080625e-10,
corridor,256,corridor_256,0.1,sparse_vectorized_vi,2,corridor_256|0.1|2,node006,256,341,87296,349184,0.01773657405283302,5.026379312766949e-11,1.3950796073913807e-10,1.3950796073913807e-10,
corridor,256,corridor_256,0.1,gauss_seidel_vi,2,corridor_256|0.1|2,node006,256,317,81152,324608,0.38496106897946447,3.703348738781642e-11,7.507594546041219e-11,7.507594546041219e-11,
corridor,256,corridor_256,0.1,prioritized_sweeping,2,corridor_256|0.1|2,node006,256,178666,178666,4111552,6.325125204981305,9.50457490489498e-11,8.879581514520396e-10,6.589999657080625e-10,
corridor,256,corridor_256,0.1,sparse_vectorized_vi,3,corridor_256|0.1|3,node003,256,341,87296,349184,0.020713304984383285,5.026379312766949e-11,1.3950796073913807e-10,1.3950796073913807e-10,
corridor,256,corridor_256,0.1,gauss_seidel_vi,3,corridor_256|0.1|3,node003,256,317,81152,324608,0.3976081890286878,3.703348738781642e-11,7.507594546041219e-11,7.507594546041219e-11,
corridor,256,corridor_256,0.1,prioritized_sweeping,3,corridor_256|0.1|3,node003,256,178666,178666,4111552,6.389563609031029,9.50457490489498e-11,8.879581514520396e-10,6.589999657080625e-10,
