map,slip,strongest_method,strongest_time_median_sec,strongest_time_q1_sec,strongest_time_q3_sec,strongest_time_bootstrap_ci_low_sec,strongest_time_bootstrap_ci_high_sec,strongest_backup_median,max_value_error
corridor_1024,0.0,sparse_vectorized_vi,0.053556247032247484,0.05144829803612083,0.054049337981268764,0.050918371067382395,0.05418839096091688,3100672.0,3.1975915248949605e-09
corridor_1024,0.05,sparse_vectorized_vi,0.053195592015981674,0.051162007031962276,0.05429827398620546,0.051085114013403654,0.05472545698285103,3100672.0,3.1975915248949605e-09
corridor_1024,0.1,sparse_vectorized_vi,0.05159760592505336,0.05119607294909656,0.05248683306854218,0.05102044704835862,0.054653414990752935,3100672.0,3.1975773140402453e-09
corridor_256,0.0,sparse_vectorized_vi,0.013425156008452177,0.013337359065189958,0.013428965001367033,0.01326356502249837,0.013437979039736092,262144.0,0.0
corridor_256,0.05,sparse_vectorized_vi,0.016005630022846162,0.015959182986989617,0.016095826984383166,0.01589729404076934,0.016950838966295123,314368.0,7.477041208403534e-11
corridor_256,0.1,sparse_vectorized_vi,0.017892675008624792,0.01773657405283302,0.020713304984383285,0.017639065976254642,0.03499655402265489,349184.0,1.3950796073913807e-10
corridor_512,0.0,sparse_vectorized_vi,0.02994245698209852,0.02956795901991427,0.031676332000643015,0.02954983792733401,0.03190628404263407,1048576.0,0.0
corridor_512,0.05,sparse_vectorized_vi,0.03575596702285111,0.03380395798012614,0.036002214066684246,0.03275873709935695,0.03803691396024078,1169408.0,2.1548629547396558e-10
corridor_512,0.1,sparse_vectorized_vi,0.036629739101044834,0.03575747297145426,0.03774758707731962,0.03547177102882415,0.03814085805788636,1265664.0,3.5134917197865434e-10
four_rooms_21,0.0,sparse_vectorized_vi,0.002415077993646264,0.002381086931563914,0.0025613970356062055,0.002371411072090268,0.0026036810595542192,66256.0,0.0
four_rooms_21,0.05,sparse_vectorized_vi,0.004252844024449587,0.004137141979299486,0.004426253959536552,0.004131871974095702,0.004826132906600833,114736.0,2.7068125518781017e-11
four_rooms_21,0.1,sparse_vectorized_vi,0.005198272061534226,0.00515775999519974,0.005210582981817424,0.004851473029702902,0.005590746062807739,137360.0,1.0221157253909041e-10
four_rooms_31,0.0,sparse_vectorized_vi,0.004574556020088494,0.004307730938307941,0.004587774048559368,0.004297857987694442,0.004721722099930048,220576.0,0.0
four_rooms_31,0.05,sparse_vectorized_vi,0.006939683109521866,0.006777568021789193,0.00704955798573792,0.006555426982231438,0.007172208046540618,339904.0,4.89173146434041e-11
four_rooms_31,0.1,sparse_vectorized_vi,0.008166893967427313,0.007729655015282333,0.00845446006860584,0.00768882199190557,0.00941930792760104,401376.0,1.0395595495538146e-10
maze_21,0.0,sparse_vectorized_vi,0.004287393065169454,0.004228302976116538,0.004299178021028638,0.0040418090065941215,0.004384647938422859,61292.0,0.0
maze_21,0.05,sparse_vectorized_vi,0.00599578395485878,0.0058757850201800466,0.006308821029961109,0.0057434000773355365,0.007418813998810947,87560.0,4.8753889814179274e-11
maze_21,0.1,sparse_vectorized_vi,0.006770291016437113,0.006657997029833496,0.007051877910271287,0.006576173007488251,0.007152648991905153,101888.0,7.363709642049798e-11
maze_31,0.0,sparse_vectorized_vi,0.00903156097047031,0.008916265098378062,0.009186677983962,0.008753789938054979,0.009721923037432134,274788.0,0.0
maze_31,0.05,sparse_vectorized_vi,0.011745924013666809,0.011226595030166209,0.01176072598900646,0.011058734962716699,0.012118864920921624,352016.0,4.462208380573429e-11
maze_31,0.1,sparse_vectorized_vi,0.013232946977950633,0.012716626049950719,0.013264960958622396,0.012469556997530162,0.013302403036504984,396916.0,1.34683375563327e-10
open_room_24,0.0,sparse_vectorized_vi,0.002971566980704665,0.0029433449963107705,0.0032338181044906378,0.0029392950236797333,0.003273959970101714,108288.0,0.0
open_room_24,0.05,sparse_vectorized_vi,0.004790529026649892,0.004786101984791458,0.005068668979220092,0.004717624047771096,0.005549486028030515,177408.0,4.4003911625623005e-11
open_room_24,0.1,sparse_vectorized_vi,0.006052345037460327,0.00577874097507447,0.006276522995904088,0.005695187021046877,0.006312241079285741,211968.0,7.751310704406933e-11
open_room_32,0.0,sparse_vectorized_vi,0.004777009948156774,0.004604557994753122,0.004976834054104984,0.004595623933710158,0.005336954025551677,258048.0,0.0
open_room_32,0.05,sparse_vectorized_vi,0.00728441309183836,0.007050136919133365,0.007445723982527852,0.006951201008632779,0.00758455996401608,393216.0,3.942091097997036e-11
open_room_32,0.1,sparse_vectorized_vi,0.008407191024161875,0.008174521033652127,0.008667983929626644,0.008134630043059587,0.008738178992643952,462848.0,8.386891181544343e-11
