map,map_family,map_size,slip,method,n_states,n_repeats,time_q1_sec,time_median_sec,time_q3_sec,time_bootstrap_ci_low_sec,time_bootstrap_ci_high_sec,backup_q1,backup_median,backup_q3,max_value_error,max_start_error,max_bellman_residual
corridor_1024,corridor,1024,0.0,gauss_seidel_vi,1024,5,3.689363446086645,3.7251782950479537,3.7385556540684775,3.6475178719265386,3.782748155063018,3100672.0,3100672.0,3100672.0,3.1975915248949605e-09,3.1975915248949605e-09,9.687539659353206e-11
corridor_1024,corridor,1024,0.0,prioritized_sweeping,1024,5,9.970930101932026,10.103229488944635,10.59052355599124,9.930961315985769,10.629473804030567,7809036.0,7809036.0,7809036.0,3.2974583064060425e-09,3.2974583064060425e-09,9.986678151108208e-11
corridor_1024,corridor,1024,0.0,sparse_vectorized_vi,1024,5,0.05144829803612083,0.053556247032247484,0.054049337981268764,0.050918371067382395,0.05418839096091688,3100672.0,3100672.0,3100672.0,3.1975915248949605e-09,3.1975915248949605e-09,9.687539659353206e-11
corridor_1024,corridor,1024,0.05,gauss_seidel_vi,1024,5,3.702524019056,3.7350919529562816,3.7640731250867248,3.6816862940322608,3.9159971909830347,3067904.0,3067904.0,3067904.0,3.101526147020195e-09,3.101526147020195e-09,9.529799172014464e-11
corridor_1024,corridor,1024,0.05,prioritized_sweeping,1024,5,31.484655661974102,32.175252493005246,32.393456869991496,30.01816012209747,33.61663209600374,19333404.0,19333404.0,19333404.0,3.291361849733221e-09,3.277520477240614e-09,9.987388693843968e-11
corridor_1024,corridor,1024,0.05,sparse_vectorized_vi,1024,5,0.051162007031962276,0.053195592015981674,0.05429827398620546,0.051085114013403654,0.05472545698285103,3100672.0,3100672.0,3100672.0,3.1975915248949605e-09,3.197584419467603e-09,9.687539659353206e-11
corridor_1024,corridor,1024,0.1,gauss_seidel_vi,1024,5,3.6562232200521976,3.684496161993593,3.685471597011201,3.626896735979244,3.807330169947818,3026944.0,3026944.0,3026944.0,3.018982397406944e-09,3.018982397406944e-09,9.423217761650449e-11
corridor_1024,corridor,1024,0.1,prioritized_sweeping,1024,5,37.30521268595476,38.465749513939954,39.86474135995377,36.90034873294644,40.89944335096516,23142180.0,23142180.0,23142180.0,3.2806326544232434e-09,3.2806326544232434e-09,9.99804683488037e-11
corridor_1024,corridor,1024,0.1,sparse_vectorized_vi,1024,5,0.05119607294909656,0.05159760592505336,0.05248683306854218,0.05102044704835862,0.054653414990752935,3100672.0,3100672.0,3100672.0,3.1975773140402453e-09,3.1975773140402453e-09,9.687539659353206e-11
corridor_256,corridor,256,0.0,gauss_seidel_vi,256,5,0.3093218579888344,0.3097543269395828,0.3147814229596406,0.30885494698304683,0.31928602303378284,262144.0,262144.0,262144.0,0.0,0.0,0.0
corridor_256,corridor,256,0.0,prioritized_sweeping,256,5,0.6557069140253589,0.6575942710042,0.6582612069323659,0.6548325909534469,0.6970128909451887,522240.0,522240.0,522240.0,0.0,0.0,0.0
corridor_256,corridor,256,0.0,sparse_vectorized_vi,256,5,0.013337359065189958,0.013425156008452177,0.013428965001367033,0.01326356502249837,0.013437979039736092,262144.0,262144.0,262144.0,0.0,0.0,0.0
corridor_256,corridor,256,0.05,gauss_seidel_vi,256,5,0.3576159729855135,0.36323857004754245,0.36354207003023475,0.3568511550547555,0.36611400195397437,299008.0,299008.0,299008.0,3.923616986867273e-11,3.923616986867273e-11,2.4847679469530703e-11
corridor_256,corridor,256,0.05,prioritized_sweeping,256,5,3.8612626389367506,3.937372391927056,3.962060780962929,3.8558537919307128,3.999599762959406,2711400.0,2711400.0,2711400.0,8.702407683358615e-10,7.316032224480296e-10,3.4575009522086475e-11
corridor_256,corridor,256,0.05,sparse_vectorized_vi,256,5,0.015959182986989617,0.016005630022846162,0.016095826984383166,0.01589729404076934,0.016950838966295123,314368.0,314368.0,314368.0,7.477041208403534e-11,7.477041208403534e-11,3.5711877899302635e-11
corridor_256,corridor,256,0.1,gauss_seidel_vi,256,5,0.38496106897946447,0.38496111589483917,0.3976081890286878,0.3791493340395391,0.4062773180194199,324608.0,324608.0,324608.0,7.507594546041219e-11,7.507594546041219e-11,3.703348738781642e-11
