map,map_family,map_size,slip,method,n_states,n_repeats,time_q1_sec,time_median_sec,time_q3_sec,time_bootstrap_ci_low_sec,time_bootstrap_ci_high_sec,backup_q1,backup_median,backup_q3,max_value_error,max_start_error,max_bellman_residual
corridor_256,corridor,256,0.1,prioritized_sweeping,256,5,6.085248718038201,6.152042960980907,6.325125204981305,6.0333263060310856,6.389563609031029,4111552.0,4111552.0,4111552.0,8.879581514520396e-10,6.589999657080625e-10,9.50457490489498e-11
corridor_256,corridor,256,0.1,sparse_vectorized_vi,256,5,0.01773657405283302,0.017892675008624792,0.020713304984383285,0.017639065976254642,0.03499655402265489,349184.0,349184.0,349184.0,1.3950796073913807e-10,1.3950796073913807e-10,5.026379312766949e-11
corridor_512,corridor,512,0.0,gauss_seidel_vi,512,5,1.25094857707154,1.257478753104806,1.2853948540287092,1.2420905630569905,1.288764396100305,1048576.0,1048576.0,1048576.0,0.0,0.0,0.0
corridor_512,corridor,512,0.0,prioritized_sweeping,512,5,2.66377237404231,2.688574651023373,2.7010298430686817,2.645095171057619,2.827935356996022,2093056.0,2093056.0,2093056.0,0.0,0.0,0.0
corridor_512,corridor,512,0.0,sparse_vectorized_vi,512,5,0.02956795901991427,0.02994245698209852,0.031676332000643015,0.02954983792733401,0.03190628404263407,1048576.0,1048576.0,1048576.0,0.0,0.0,0.0
corridor_512,corridor,512,0.05,gauss_seidel_vi,512,5,1.3546829080441967,1.423019548994489,1.4550267170416191,1.354112193104811,1.458274440956302,1136640.0,1136640.0,1136640.0,1.3253043107397389e-10,1.3253043107397389e-10,5.704237082682084e-11
corridor_512,corridor,512,0.05,prioritized_sweeping,512,5,11.906358064967208,11.915642948937602,12.089076893986203,11.21774498699233,12.252997286967002,7430448.0,7430448.0,7430448.0,8.702407683358615e-10,3.5926461805502186e-10,9.904255193760036e-11
corridor_512,corridor,512,0.05,sparse_vectorized_vi,512,5,0.03380395798012614,0.03575596702285111,0.036002214066684246,0.03275873709935695,0.03803691396024078,1169408.0,1169408.0,1169408.0,2.1548629547396558e-10,2.1548629547396558e-10,6.801315066695679e-11
corridor_512,corridor,512,0.1,gauss_seidel_vi,512,5,1.459191462956369,1.4639848319347948,1.4696018169634044,1.4432473679771647,1.4918892900459468,1208320.0,1208320.0,1208320.0,2.396021159256634e-10,2.396021159256634e-10,7.040767968646833e-11
corridor_512,corridor,512,0.1,prioritized_sweeping,512,5,17.05578716599848,17.16231397399679,17.172574506956153,16.316810064017773,17.28333623695653,10270176.0,10270176.0,10270176.0,1.8111947497345682e-09,5.867377694812603e-10,9.953282642527483e-11
corridor_512,corridor,512,0.1,sparse_vectorized_vi,512,5,0.03575747297145426,0.036629739101044834,0.03774758707731962,0.03547177102882415,0.03814085805788636,1265664.0,1265664.0,1265664.0,3.5134917197865434e-10,3.5134917197865434e-10,7.465672524631373e-11
four_rooms_21,four_rooms,21,0.0,gauss_seidel_vi,404,5,0.08740979398135096,0.09042411297559738,0.09171090601012111,0.08523224096279591,0.09548459900543094,66256.0,66256.0,66256.0,0.0,0.0,0.0
four_rooms_21,four_rooms,21,0.0,prioritized_sweeping,404,5,0.24042479402851313,0.2420017879921943,0.24328930804040283,0.23569777293596417,0.25145570596214384,174616.0,174616.0,174616.0,0.0,0.0,0.0
four_rooms_21,four_rooms,21,0.0,sparse_vectorized_vi,404,5,0.002381086931563914,0.002415077993646264,0.0025613970356062055,0.002371411072090268,0.0026036810595542192,66256.0,66256.0,66256.0,0.0,0.0,0.0
four_rooms_21,four_rooms,21,0.05,gauss_seidel_vi,404,5,0.12556706799659878,0.12813483295030892,0.12884212599601597,0.11861615302041173,0.129493952030316,92112.0,92112.0,92112.0,1.021049911287264e-11,1.021049911287264e-11,9.052314453583676e-12
four_rooms_21,four_rooms,21,0.05,prioritized_sweeping,404,5,4.077463728026487,4.210816309088841,4.246209271950647,4.006779164075851,4.311045210924931,2464044.0,2464044.0,2464044.0,9.98824134512688e-10,7.259117751345912e-10,9.987211058160028e-11
four_rooms_21,four_rooms,21,0.05,sparse_vectorized_vi,404,5,0.004137141979299486,0.004252844024449587,0.004426253959536552,0.004131871974095702,0.004826132906600833,114736.0,114736.0,114736.0,2.7068125518781017e-11,2.7068125518781017e-11,1.7216450487467228e-11
four_rooms_21,four_rooms,21,0.1,gauss_seidel_vi,404,5,0.1409849360352382,0.1427139570005238,0.1433784730033949,0.13663807604461908,0.15102608501911163,105040.0,105040.0,105040.0,2.651390218488814e-11,2.651390218488814e-11,1.9756640767809586e-11
four_rooms_21,four_rooms,21,0.1,prioritized_sweeping,404,5,6.382209490053356,6.501323787961155,6.981811356032267,6.357394519960508,6.981924784951843,3933984.0,3933984.0,3933984.0,8.359073433439335e-10,8.224994019201404e-10,9.239986553666313e-11
four_rooms_21,four_rooms,21,0.1,sparse_vectorized_vi,404,5,0.00515775999519974,0.005198272061534226,0.005210582981817424,0.004851473029702902,0.005590746062807739,137360.0,137360.0,137360.0,1.0221157253909041e-10,1.0221157253909041e-10,4.9965365178650245e-11
four_rooms_31,four_rooms,31,0.0,gauss_seidel_vi,904,5,0.29013757093343884,0.29358003195375204,0.30475223099347204,0.2877300319960341,0.3106441739946604,220576.0,220576.0,220576.0,0.0,0.0,0.0
four_rooms_31,four_rooms,31,0.0,prioritized_sweeping,904,5,0.8006135770119727,0.8356366730295122,0.8544104809407145,0.7986957669490948,0.8669250179082155,582528.0,582528.0,582528.0,0.0,0.0,0.0
four_rooms_31,four_rooms,31,0.0,sparse_vectorized_vi,904,5,0.004307730938307941,0.004574556020088494,0.004587774048559368,0.004297857987694442,0.004721722099930048,220576.0,220576.0,220576.0,0.0,0.0,0.0
four_rooms_31,four_rooms,31,0.05,gauss_seidel_vi,904,5,0.3881691909627989,0.3932597331004217,0.3998639959609136,0.37564153608400375,0.4024226770270616,285664.0,285664.0,285664.0,7.961631354191923e-12,7.961631354191923e-12,6.995293233558186e-12
four_rooms_31,four_rooms,31,0.05,prioritized_sweeping,904,5,14.125966852996498,14.240551549009979,14.358900408027694,13.96865399600938,15.10318992298562,7709200.0,7709200.0,7709200.0,7.687006586820644e-10,6.680593855890038e-10,8.130363049474454e-11
four_rooms_31,four_rooms,31,0.05,sparse_vectorized_vi,904,5,0.006777568021789193,0.006939683109521866,0.00704955798573792,0.006555426982231438,0.007172208046540618,339904.0,339904.0,339904.0,4.89173146434041e-11,4.89173146434041e-11,2.8883562208648073e-11
four_rooms_31,four_rooms,31,0.1,gauss_seidel_vi,904,5,0.418502427986823,0.4391521959332749,0.445585199049674,0.4104559150291607,0.44993728096596897,318208.0,318208.0,318208.0,3.235101075915736e-11,3.235101075915736e-11,2.305711177541525e-11
four_rooms_31,four_rooms,31,0.1,prioritized_sweeping,904,5,22.151678288937546,22.515841981978156,23.223393182037398,21.996879660058767,23.497080782079138,11891948.0,11891948.0,11891948.0,1.365442869882827e-09,1.2988863318241783e-09,9.846345960795588e-11
four_rooms_31,four_rooms,31,0.1,sparse_vectorized_vi,904,5,0.007729655015282333,0.008166893967427313,0.00845446006860584,0.00768882199190557,0.00941930792760104,401376.0,401376.0,401376.0,1.0395595495538146e-10,1.0395595495538146e-10,4.844835643780243e-11
maze_21,maze,21,0.0,gauss_seidel_vi,199,5,0.07429629599209875,0.0760854099644348,0.07681016298010945,0.07144304097164422,0.07710453809704632,61292.0,61292.0,61292.0,0.0,0.0,0.0
maze_21,maze,21,0.0,prioritized_sweeping,199,5,0.13538611901458353,0.13624486094340682,0.13652722293045372,0.12805348599795252,0.1376034839777276,103244.0,103244.0,103244.0,0.0,0.0,0.0
maze_21,maze,21,0.0,sparse_vectorized_vi,199,5,0.004228302976116538,0.004287393065169454,0.004299178021028638,0.0040418090065941215,0.004384647938422859,61292.0,61292.0,61292.0,0.0,0.0,0.0
maze_21,maze,21,0.05,gauss_seidel_vi,199,5,0.09091912396252155,0.09140804293565452,0.09212457109242678,0.08707555592991412,0.09219184797257185,73232.0,73232.0,73232.0,7.563727422166266e-12,7.563727422166266e-12,6.942002528376179e-12
maze_21,maze,21,0.05,prioritized_sweeping,199,5,1.8040433379355818,1.8568431519670412,1.8890406780410558,1.7980580589501187,1.934622293105349,1262680.0,1262680.0,1262680.0,5.485567555751913e-10,2.7071678232459817e-10,9.922374033521919e-11
maze_21,maze,21,0.05,sparse_vectorized_vi,199,5,0.0058757850201800466,0.00599578395485878,0.006308821029961109,0.0057434000773355365,0.007418813998810947,87560.0,87560.0,87560.0,4.8753889814179274e-11,4.8753889814179274e-11,3.016253913301625e-11
maze_21,maze,21,0.1,gauss_seidel_vi,199,5,0.09459021198563278,0.09494658000767231,0.09892823896370828,0.09339825704228133,0.09946380706969649,80396.0,80396.0,80396.0,2.0676793610618915e-11,2.0676793610618915e-11,1.623945422579709e-11
maze_21,maze,21,0.1,prioritized_sweeping,199,5,2.221779023995623,2.3001663869945332,2.360281935078092,2.2079428560100496,2.383965899934992,1565976.0,1565976.0,1565976.0,1.2495782186761062e-09,8.977174559277046e-10,9.177081317091051e-11
maze_21,maze,21,0.1,sparse_vectorized_vi,199,5,0.006657997029833496,0.006770291016437113,0.007051877910271287,0.006576173007488251,0.007152648991905153,101888.0,101888.0,101888.0,7.363709642049798e-11,7.363709642049798e-11,3.6564529182214756e-11
maze_31,maze,31,0.0,gauss_seidel_vi,449,5,0.3290949879446998,0.3317789160646498,0.34067414898891,0.32046998501755297,0.3425286879064515,274788.0,274788.0,274788.0,0.0,0.0,0.0
maze_31,maze,31,0.0,prioritized_sweeping,449,5,0.704357975977473,0.7076639829901978,0.7247302230680361,0.702578678028658,0.7373270330717787,560000.0,560000.0,560000.0,0.0,0.0,0.0
maze_31,maze,31,0.0,sparse_vectorized_vi,449,5,0.008916265098378062,0.00903156097047031,0.009186677983962,0.008753789938054979,0.009721923037432134,274788.0,274788.0,274788.0,0.0,0.0,0.0
maze_31,maze,31,0.05,gauss_seidel_vi,449,5,0.3654843589756638,0.3780124499462545,0.38103482604492456,0.3612826010212302,0.3820669000269845,307116.0,307116.0,307116.0,9.677592061052565e-12,9.677592061052565e-12,8.448353128187591e-12
maze_31,maze,31,0.05,prioritized_sweeping,449,5,9.623157167923637,9.63958110800013,10.116667650989257,9.059176889946684,10.188135912991129,6073944.0,6073944.0,6073944.0,9.767511244263005e-10,4.913189854960365e-10,6.252065531953122e-11
maze_31,maze,31,0.05,sparse_vectorized_vi,449,5,0.011226595030166209,0.011745924013666809,0.01176072598900646,0.011058734962716699,0.012118864920921624,352016.0,352016.0,352016.0,4.462208380573429e-11,4.462208380573429e-11,2.4428459255432244e-11
maze_31,maze,31,0.1,gauss_seidel_vi,449,5,0.39286704699043185,0.3985638100421056,0.41057374596130103,0.3880077739013359,0.4146382510662079,332260.0,332260.0,332260.0,3.317524033263908e-11,3.317524033263908e-11,2.4307666990353027e-11
maze_31,maze,31,0.1,prioritized_sweeping,449,5,12.129851022968069,12.25034951698035,12.46481934003532,11.805793824023567,12.599312586011365,7516292.0,7516292.0,7516292.0,1.0342233736082562e-09,7.009717251094116e-10,4.5066173015584354e-11
maze_31,maze,31,0.1,sparse_vectorized_vi,449,5,0.012716626049950719,0.013232946977950633,0.013264960958622396,0.012469556997530162,0.013302403036504984,396916.0,396916.0,396916.0,1.34683375563327e-10,1.34683375563327e-10,5.702105454474804e-11
open_room_24,open_room,24,0.0,gauss_seidel_vi,576,5,0.14093221607618034,0.14768782001920044,0.14801292202901095,0.1409284060355276,0.15658989700023085,108288.0,108288.0,108288.0,0.0,0.0,0.0
open_room_24,open_room,24,0.0,prioritized_sweeping,576,5,0.37828148098196834,0.38407690497115254,0.3871294870041311,0.36501866404432803,0.3999027319950983,266888.0,266888.0,266888.0,0.0,0.0,0.0
open_room_24,open_room,24,0.0,sparse_vectorized_vi,576,5,0.0029433449963107705,0.002971566980704665,0.0032338181044906378,0.0029392950236797333,0.003273959970101714,108288.0,108288.0,108288.0,0.0,0.0,0.0
open_room_24,open_room,24,0.05,gauss_seidel_vi,576,5,0.18858876707963645,0.19059913197997957,0.1940412160474807,0.18629033106844872,0.20585530495736748,145152.0,145152.0,145152.0,7.215561481643817e-12,7.215561481643817e-12,6.3806737671257e-12
open_room_24,open_room,24,0.05,prioritized_sweeping,576,5,5.72441875806544,5.816441708011553,5.993515150970779,5.38930356502533,6.023523765965365,3359300.0,3359300.0,3359300.0,1.0217000578904845e-09,9.17601994387951e-10,9.477929552303976e-11
open_room_24,open_room,24,0.05,sparse_vectorized_vi,576,5,0.004786101984791458,0.004790529026649892,0.005068668979220092,0.004717624047771096,0.005549486028030515,177408.0,177408.0,177408.0,4.4003911625623005e-11,4.4003911625623005e-11,2.800959464366315e-11
open_room_24,open_room,24,0.1,gauss_seidel_vi,576,5,0.21600635501090437,0.22383290994912386,0.22518600500188768,0.21460524608846754,0.2274987290147692,163584.0,163584.0,163584.0,1.659827830735594e-11,1.659827830735594e-11,1.262989712813578e-11
open_room_24,open_room,24,0.1,prioritized_sweeping,576,5,9.505510285962373,9.524953125976026,9.797968550003134,9.005773857003078,9.937019863980822,5306388.0,5306388.0,5306388.0,1.106705838083144e-09,1.0983107756601385e-09,9.885781082630274e-11
open_room_24,open_room,24,0.1,sparse_vectorized_vi,576,5,0.00577874097507447,0.006052345037460327,0.006276522995904088,0.005695187021046877,0.006312241079285741,211968.0,211968.0,211968.0,7.751310704406933e-11,7.751310704406933e-11,3.744204946087848e-11
open_room_32,open_room,32,0.0,gauss_seidel_vi,1024,5,0.33808199991472065,0.33898996096104383,0.342367947101593,0.3378234739648178,0.37130811903625727,258048.0,258048.0,258048.0,0.0,0.0,0.0
open_room_32,open_room,32,0.0,prioritized_sweeping,1024,5,0.8829637409653515,0.8972477270290256,0.9154618589673191,0.8700817719800398,0.9487588310148567,638472.0,638472.0,638472.0,0.0,0.0,0.0
open_room_32,open_room,32,0.0,sparse_vectorized_vi,1024,5,0.004604557994753122,0.004777009948156774,0.004976834054104984,0.004595623933710158,0.005336954025551677,258048.0,258048.0,258048.0,0.0,0.0,0.0
open_room_32,open_room,32,0.05,gauss_seidel_vi,1024,5,0.44232197292149067,0.4488974859705195,0.4616418689256534,0.43990743393078446,0.47078332293312997,331776.0,331776.0,331776.0,3.6202152386977104e-12,3.6202152386977104e-12,3.3644198538240744e-12
open_room_32,open_room,32,0.05,prioritized_sweeping,1024,5,16.343683385057375,16.999084708979353,17.754295220016502,15.040535030071624,17.966007896931842,8960544.0,8960544.0,8960544.0,8.360139247542975e-10,7.145928293539328e-10,9.990941407522769e-11
open_room_32,open_room,32,0.05,sparse_vectorized_vi,1024,5,0.007050136919133365,0.00728441309183836,0.007445723982527852,0.006951201008632779,0.00758455996401608,393216.0,393216.0,393216.0,3.942091097997036e-11,3.942091097997036e-11,2.3014479211269645e-11
open_room_32,open_room,32,0.1,gauss_seidel_vi,1024,5,0.4852543369634077,0.4928518859669566,0.5039067729376256,0.4827001680387184,0.5103468559682369,364544.0,364544.0,364544.0,4.0884629015636165e-11,4.0884629015636165e-11,2.956213052129897e-11
open_room_32,open_room,32,0.1,prioritized_sweeping,1024,5,22.98479764489457,24.37925407802686,24.43109737697523,22.497823041980155,24.91293519595638,12571556.0,12571556.0,12571556.0,8.554792430004454e-10,3.987317143128166e-10,7.216627295747458e-11
open_room_32,open_room,32,0.1,sparse_vectorized_vi,1024,5,0.008174521033652127,0.008407191024161875,0.008667983929626644,0.008134630043059587,0.008738178992643952,462848.0,462848.0,462848.0,8.386891181544343e-11,8.386891181544343e-11,4.0103032006300054e-11
