map,slip,gamma,option_set,critical_kind,critical_top_fraction,local_horizon,n_states,n_boundary,n_options,option_pair_count,n_edges_valid,kernel_entries_valid,critical_nonzero,critical_mass,duration_mean,duration_max,bypass_cost_mean,bypass_cost_total,nonlocal_cost,value_gap_max,start_value_smdp,start_value_primitive,start_gap,start_best_option,policy_tv_total,policy_regions_total,policy_tv_mean,policy_regions_mean,graph_cost,option_cost,policy_cost_total,policy_cost_mean,bypass_cost,nonlocal_cost_component,start_gap_cost,value_gap_cost,description_length_proxy,step,split_strategy,candidate_limit,policy_cost_mode,lambda_start_gap,lambda_value_gap,lambda_bypass,lambda_policy,lambda_graph,lambda_option,lambda_nonlocal,split_objective,candidate_split_state,candidate_split_coord,candidate_split_score,candidate_split_objective,objective_delta,evaluated_candidates,selected_split_state,selected_split_coord,selected_split_score,stop_reason
open_room,0.05,0.97,targeted,bottleneck,0.15,8.0,35,4,4,12,30,30,5,0.3577844269020739,4.659576881747092,10.178522884592104,0.04449973115748634,0.533996773889836,1.8993764690132444,0.07879917847744089,-9.26881190426058,-9.19001272578314,0.07879917847744089,to_003,62.6,13.0,15.65,3.25,11.5,4.6,19.020000000000003,4.755000000000001,0.533996773889836,1.8993764690132444,0.07879917847744089,0.07879917847744089,35.843934420791165,2,bypass_attribution,50,total,100.0,10.0,100.0,0.2,1.0,1.0,0.1,82.16152466840343,3,"(1, 4)",0.1897223602702921,,0.0,0,3,"(1, 4)",0.1897223602702921,continue
open_room,0.05,0.97,targeted,bottleneck,0.15,8.0,35,5,5,20,59,59,5,0.3577844269020739,4.0910062273361545,7.073041447003436,0.01634472495930283,0.32689449918605656,1.3997889052046102e-05,0.07879917847743734,-9.268811904260577,-9.19001272578314,0.07879917847743734,to_004,77.83333333333334,16.0,15.566666666666668,3.2,16.8,6.0,23.56666666666667,4.713333333333334,0.32689449918605656,1.3997889052046102e-05,0.07879917847743734,0.07879917847743734,46.693562565641635,3,bypass_attribution,50,total,100.0,10.0,100.0,0.2,1.0,1.0,0.1,68.870694284246,30,"(5, 3)",0.18593821472414246,,0.0,0,30,"(5, 3)",0.18593821472414246,continue
open_room,0.05,0.97,targeted,bottleneck,0.15,8.0,35,6,6,30,99,99,5,0.3577844269020739,3.5547161602336685,7.071461136497891,0.008383909821848955,0.2515172946554687,1.381163344665838e-05,0.07879917847314921,-9.268811904256289,-9.19001272578314,0.07879917847314921,to_005,94.93333333333334,20.0,15.822222222222223,3.3333333333333335,22.5,7.5,28.986666666666668,4.831111111111111,0.2515172946554687,1.381163344665838e-05,0.07879917847314921,0.07879917847314921,59.23818534248548,4,bypass_attribution,50,total,100.0,10.0,100.0,0.2,1.0,1.0,0.1,69.61697381208995,2,"(1, 3)",0.2515172946554687,,0.0,0,2,"(1, 3)",0.2515172946554687,continue
open_room,0.05,0.97,targeted,bottleneck,0.15,8.0,35,7,7,42,167,167,5,0.3577844269020739,3.412060660140425,7.071446670429751,0.0,0.0,4.0067455150069504e-07,0.08312774604698792,-9.268811904256243,-9.19001272578314,0.07879917847310303,to_006,110.16666666666666,23.0,15.738095238095237,3.2857142857142856,30.857142857142858,9.1,33.53333333333333,4.79047619047619,0.0,4.0067455150069504e-07,0.07879917847310303,0.08312774604698792,73.49047623054365,5,bypass_attribution,50,total,100.0,10.0,100.0,0.2,1.0,1.0,0.1,55.37500487165716,,,0.0,,0.0,0,,,0.0,bypass_threshold
four_rooms,0.0,0.97,targeted,bottleneck,0.15,8.0,51,2,2,2,2,2,8,3.5429115646258507,14.0,14.0,2.546860881164301,5.093721762328602,12.0,0.0,-11.57212408464641,-11.57212408464641,0.0,to_001,66.0,11.0,33.0,5.5,3.0,2.1,18.700000000000003,9.350000000000001,5.093721762328602,12.0,0.0,0.0,30.093721762328602,0,bypass_attribution,50,total,100.0,10.0,100.0,0.2,1.0,1.0,0.1,519.4121762328602,24,"(3, 5)",2.4686819402850895,,0.0,0,24,"(3, 5)",2.4686819402850895,continue
four_rooms,0.0,0.97,targeted,bottleneck,0.15,8.0,51,3,3,6,6,6,8,3.5429115646258507,7.0,8.0,0.6956980860167543,4.174188516100526,0.0,1.7763568394002505e-15,-11.572124084646411,-11.57212408464641,1.7763568394002505e-15,to_001,108.0,17.0,36.0,5.666666666666667,5.0,3.3,30.1,10.033333333333333,4.174188516100526,0.0,1.7763568394002505e-15,1.7763568394002505e-15,42.574188516100534,1,bypass_attribution,50,total,100.0,10.0,100.0,0.2,1.0,1.0,0.1,431.73885161005273,26,"(3, 7)",3.980582401898388,,0.0,0,26,"(3, 7)",3.980582401898388,continue
four_rooms,0.0,0.97,targeted,bottleneck,0.15,8.0,51,4,4,12,12,12,8,3.5429115646258507,4.666666666666667,6.0,0.01662511499838031,0.19950137998056372,0.0,1.7763568394002505e-15,-11.572124084646411,-11.57212408464641,1.7763568394002505e-15,to_001,150.0,23.0,37.5,5.75,7.0,4.6,41.5,10.375,0.19950137998056372,0.0,1.7763568394002505e-15,1.7763568394002505e-15,53.29950137998056,2,bypass_attribution,50,total,100.0,10.0,100.0,0.2,1.0,1.0,0.1,39.850137998056574,14,"(2, 5)",0.09975068999028187,,0.0,0,14,"(2, 5)",0.09975068999028187,continue
four_rooms,0.0,0.97,targeted,bottleneck,0.15,8.0,51,5,5,20,20,20,8,3.5429115646258507,3.65,6.0,0.004987534499514093,0.09975068999028186,0.0,1.7763568394002505e-15,-11.572124084646411,-11.57212408464641,1.7763568394002505e-15,to_001,192.0,29.0,38.4,5.8,9.0,6.0,52.900000000000006,10.58,0.09975068999028186,0.0,1.7763568394002505e-15,1.7763568394002505e-15,67.9997506899903,3,bypass_attribution,50,total,100.0,10.0,100.0,0.2,1.0,1.0,0.1,35.555068999028386,36,"(4, 7)",0.09975068999028186,,0.0,0,36,"(4, 7)",0.09975068999028186,continue
four_rooms,0.0,0.97,targeted,bottleneck,0.15,8.0,51,6,6,30,30,30,8,3.5429115646258507,3.066666666666667,6.0,0.0,0.0,0.0,0.0,-11.57212408464641,-11.57212408464641,0.0,to_001,234.0,35.0,39.0,5.833333333333333,11.0,7.5,64.30000000000001,10.716666666666667,0.0,0.0,0.0,0.0,82.80000000000001,4,bypass_attribution,50,total,100.0,10.0,100.0,0.2,1.0,1.0,0.1,31.360000000000003,,,0.0,,0.0,0,,,0.0,bypass_threshold
four_rooms,0.05,0.97,targeted,bottleneck,0.15,8.0,51,2,2,2,4,4,8,3.5429115646258507,14.395578218638025,14.39557821863803,2.523097742354154,5.046195484708308,11.399708433450607,0.1152343180948705,-12.301146070270399,-12.185911752175528,0.1152343180948705,to_001,62.0,11.0,31.0,5.5,4.0,2.1,17.9,8.95,5.046195484708308,11.399708433450607,0.1152343180948705,0.1152343180948705,30.186166328053368,0,bypass_attribution,50,total,100.0,10.0,100.0,0.2,1.0,1.0,0.1,528.1152943046117,24,"(3, 5)",2.4437263380841108,,0.0,0,24,"(3, 5)",2.4437263380841108,continue
