map_family,map_size,map,maze_seed,topology_seed,goal_variant,map_rows,slip,student_method,n_states,student_boundary,teacher_boundary,student_n_boundary,teacher_n_boundary,state_compression_ratio,boundary_jaccard,top_set_hit,top_set_regret,student_score_margin,ensemble_top_state_agreement,ensemble_max_node_logit_std,ensemble_selected_logit_std,student_group_all_feasible,teacher_group_all_feasible,accepted_group_all_feasible,student_n_groups_feasible,student_group_total_violation,student_group_max_violation,student_group_risks,student_group_violations,fallback_used,student_start_gap,student_normalized_start_gap,teacher_start_gap,teacher_normalized_start_gap,accepted_normalized_start_gap,graph_encoding_time_sec,gnn_forward_time_sec,student_selection_time_sec,group_context_time_sec,group_audit_time_sec,student_kernel_time_sec,student_smdp_solve_time_sec,student_audited_pipeline_time_sec,teacher_selection_time_sec,teacher_pipeline_time_sec,accepted_pipeline_time_sec,selection_speedup_vs_teacher,selection_plus_audit_speedup_vs_teacher,accepted_speedup_vs_teacher_pipeline,error
open_room,13,open_room_13_goal0,0,0,0,"[""###############"", ""#S............#"", ""#.............#"", ""#.............#"", ""#.............#"", ""#.............#"", ""#.............#"", ""#.............#"", ""#.............#"", ""#.............#"", ""#.............#"", ""#.............#"", ""#.............#"", ""#............G#"", ""###############""]",0.05,baseline_nearest_start,169,"[0, 1, 168]","[0, 108, 120, 168]",3,4,56.333333333333336,0.4,False,1.0,0.0,nan,nan,nan,False,False,False,0,210.1337228385508,70.11019770475441,"{""stochastic"": 89.51713363522751, ""topology"": 89.5417742528467, ""value"": 89.36954459475342}","{""stochastic"": 70.08555708713523, ""topology"": 70.11019770475441, ""value"": 69.93796804666114}",True,0.08136449908482746,0.00452249659517908,0.08136449893641284,0.0024409349680923876,0.0024409349680923876,0.008667420013807714,4.273292142897844e-05,0.008710152935236692,3.8468930380186066,6.368828448932618,0.0751407619100064,0.003365634009242058,10.30293803580571,27.961004368960857,28.058700241032057,38.28313188091852,3210.162275778805,2.7347245650195724,0.7329259353260325,
open_room,13,open_room_13_goal1,0,0,1,"[""###############"", ""#S............#"", ""#.............#"", ""#.............#"", ""#.............#"", ""#.............#"", ""#.............#"", ""#.............#"", ""#.............#"", ""#.............#"", ""#.............#"", ""#.............#"", ""#............G#"", ""#.............#"", ""###############""]",0.05,baseline_nearest_start,169,"[0, 1, 155]","[0, 14, 155, 168]",3,4,56.333333333333336,0.4,False,1.0,0.0,nan,nan,nan,False,False,False,0,210.13372283855085,70.11019770475441,"{""stochastic"": 89.51713363522751, ""topology"": 89.5417742528467, ""value"": 89.3695445947535}","{""stochastic"": 70.08555708713523, ""topology"": 70.11019770475441, ""value"": 69.93796804666123}",True,0.19283760937654648,0.011030388977194357,0.19283760956506057,0.005785128286951822,0.005785128286951822,0.008534651948139071,4.364596679806709e-05,0.008578297914937139,3.893049823003821,6.382069443934597,0.07807808602228761,0.002877968014217913,10.36465361888986,27.221156936953776,27.32278016791679,37.606477732770145,3173.2585189836286,2.6470203703760853,0.7265445161355226,
four_rooms,13,four_rooms_13_goal0,0,0,0,"[""###############"", ""#S.....#......#"", ""#......#......#"", ""#......#......#"", ""#.............#"", ""#......#......#"", ""#......#......#"", ""####.#####.####"", ""#......#......#"", ""#......#......#"", ""#.............#"", ""#......#......#"", ""#......#......#"", ""#......#.....G#"", ""###############""]",0.05,baseline_topology,148,"[0, 13, 147]","[0, 50, 61, 134, 147]",3,5,49.333333333333336,0.3333333333333333,False,0.12231731414794922,0.0,nan,nan,nan,False,False,False,1,38.86315309618456,19.43157654809228,"{""stochastic"": 38.86315309618456, ""topology"": 38.86315309618456, ""value"": 0.0}","{""stochastic"": 19.43157654809228, ""topology"": 19.43157654809228, ""value"": 0.0}",True,0.06720899630411026,0.0037200879951890227,0.06720895543314498,0.002016268662994351,0.002016268662994351,0.0075021389639005065,3.9372011087834835e-05,0.007541510974988341,3.5704833819763735,5.470959690050222,0.12716967100277543,0.0017961630364879966,9.177950417040847,25.609982833033428,25.884541347040795,34.93352593004238,3395.8689336884536,2.830149902248866,0.7409656099094316,
four_rooms,13,four_rooms_13_goal1,0,0,1,"[""###############"", ""#S.....#......#"", ""#......#......#"", ""#......#......#"", ""#.............#"", ""#......#......#"", ""#......#......#"", ""####.#####.####"", ""#......#......#"", ""#......#......#"", ""#.............#"", ""#......#......#"", ""#......#......#"", ""#......#....G.#"", ""###############""]",0.05,baseline_topology,148,"[0, 13, 146]","[0, 13, 134, 146]",3,4,49.333333333333336,0.75,False,0.7079617977142334,0.0,nan,nan,nan,False,False,False,1,38.86315309618456,19.43157654809228,"{""stochastic"": 38.86315309618456, ""topology"": 38.86315309618456, ""value"": 0.0}","{""stochastic"": 19.43157654809228, ""topology"": 19.43157654809228, ""value"": 0.0}",True,0.06070446342848257,0.0034567875348906372,0.06070446347670355,0.0018211339043011081,0.0018211339043011081,0.0075378569308668375,3.821495920419693e-05,0.007576071890071034,3.412970308912918,5.35097088792827,0.12241826998069882,0.0017793889855965972,8.895714927697554,23.948935143998824,24.143272367073223,32.91478963580448,3161.1282854094293,2.7303070164807277,0.7335083296661977,
open_room,13,open_room_13_goal0,0,0,0,"[""###############"", ""#S............#"", ""#.............#"", ""#.............#"", ""#.............#"", ""#.............#"", ""#.............#"", ""#.............#"", ""#.............#"", ""#.............#"", ""#.............#"", ""#.............#"", ""#.............#"", ""#............G#"", ""###############""]",0.05,baseline_topology,169,"[0, 14, 168]","[0, 108, 120, 168]",3,4,56.333333333333336,0.4,True,0.0,0.0,nan,nan,nan,False,False,False,1,150897944.0983857,140153279.34039605,"{""stochastic"": 10744684.189566184, ""topology"": 140153298.7719726, ""value"": 0.0}","{""stochastic"": 10744664.757989636, ""topology"": 140153279.34039605, ""value"": 0.0}",True,0.08136449938995227,0.004522496612138883,0.08136449893641284,0.0024409349680923876,0.0024409349680923876,0.008667420013807714,4.709698259830475e-05,0.008714516996406019,3.8210692079737782,6.233823148068041,0.06903729098848999,0.0016094419406726956,10.134253605967388,27.961004368960857,28.058700241032057,38.12230711407028,3208.5546887443497,2.7784277269288213,0.7360178951676322,
open_room,13,open_room_13_goal1,0,0,1,"[""###############"", ""#S............#"", ""#.............#"", ""#.............#"", ""#.............#"", ""#.............#"", ""#.............#"", ""#.............#"", ""#.............#"", ""#.............#"", ""#.............#"", ""#.............#"", ""#............G#"", ""#.............#"", ""###############""]",0.05,baseline_topology,169,"[0, 14, 155]","[0, 14, 155, 168]",3,4,56.333333333333336,0.75,False,0.32354921102523804,0.0,nan,nan,nan,False,False,False,2,19.43157654809228,19.43157654809228,"{""stochastic"": 5.906897626146901, ""topology"": 38.86315309618456, ""value"": 0.0}","{""stochastic"": 0.0, ""topology"": 19.43157654809228, ""value"": 0.0}",True,0.19283760954941442,0.011030388987082473,0.19283760956506057,0.005785128286951822,0.005785128286951822,0.008534651948139071,6.296089850366116e-05,0.008597612846642733,3.708980359020643,5.9670185199938715,0.07284879998769611,0.0015795979415997863,9.759024889790453,27.221156936953776,27.32278016791679,37.00737665977795,3166.12964813638,2.810768312322581,0.7383063225233413,
four_rooms,13,four_rooms_13_goal0,0,0,0,"[""###############"", ""#S.....#......#"", ""#......#......#"", ""#......#......#"", ""#.............#"", ""#......#......#"", ""#......#......#"", ""####.#####.####"", ""#......#......#"", ""#......#......#"", ""#.............#"", ""#......#......#"", ""#......#......#"", ""#......#.....G#"", ""###############""]",0.1,baseline_nearest_start,148,"[0, 1, 147]","[0, 13, 38, 50, 61, 134, 147]",3,7,49.333333333333336,0.25,False,1.0,0.0,nan,nan,nan,False,False,False,0,203.9941044161955,68.11562647423499,"{""stochastic"": 87.54720302232727, ""topology"": 87.54720302232727, ""value"": 87.19442801581782}","{""stochastic"": 68.11562647423499, ""topology"": 68.11562647423499, ""value"": 67.76285146772554}",True,0.14112605100795506,0.007457559673815307,0.1400755507332221,0.004202266521996666,0.004202266521996666,0.007566544925794005,3.989099059253931e-05,0.007606435916386545,3.978986483067274,6.6370415351120755,0.1401687840698287,0.0032336009899154305,10.76703683915548,27.683206234010868,28.2633096849313,38.88694413902704,3639.4451407094534,2.60581313802059,0.7268071665360346,
four_rooms,13,four_rooms_13_goal1,0,0,1,"[""###############"", ""#S.....#......#"", ""#......#......#"", ""#......#......#"", ""#.............#"", ""#......#......#"", ""#......#......#"", ""####.#####.####"", ""#......#......#"", ""#......#......#"", ""#.............#"", ""#......#......#"", ""#......#......#"", ""#......#....G.#"", ""###############""]",0.1,baseline_nearest_start,148,"[0, 1, 146]","[0, 13, 38, 50, 61, 134, 146]",3,7,49.333333333333336,0.25,False,1.0,0.0,nan,nan,nan,False,False,False,0,203.9941044161955,68.11562647423499,"{""stochastic"": 87.54720302232727, ""topology"": 87.54720302232727, ""value"": 87.19442801581782}","{""stochastic"": 68.11562647423499, ""topology"": 68.11562647423499, ""value"": 67.76285146772554}",True,0.12751657676353645,0.006926404131354994,0.12642754767387387,0.0037928264302162194,0.0037928264302162194,0.007901641074568033,5.0933100283145905e-05,0.007952574174851179,3.963298198999837,6.42733485403005,0.1398032879224047,0.0029909579316154122,10.541379873058759,27.957595100044273,28.545498844003305,38.94408447120804,3515.5403125262214,2.6885959400960955,0.7329867740274503,
open_room,13,open_room_13_goal0,0,0,0,"[""###############"", ""#S............#"", ""#.............#"", ""#.............#"", ""#.............#"", ""#.............#"", ""#.............#"", ""#.............#"", ""#.............#"", ""#.............#"", ""#.............#"", ""#.............#"", ""#.............#"", ""#............G#"", ""###############""]",0.1,baseline_nearest_start,169,"[0, 1, 168]","[0, 14, 168]",3,3,56.333333333333336,0.5,False,1.0,0.0,nan,nan,nan,False,False,False,0,203.9436642806386,68.11562647423499,"{""stochastic"": 87.49676072005389, ""topology"": 87.54720302232727, ""value"": 87.19443018253425}","{""stochastic"": 68.0651841719616, ""topology"": 68.11562647423499, ""value"": 67.76285363444197}",True,0.1766916062517545,0.009415301100216763,0.17669160921172278,0.005300748276351688,0.005300748276351688,0.008645578986033797,4.6030967496335506e-05,0.008691609953530133,4.628289113054052,7.495896573993377,0.0761549489106983,0.0030065960017964244,12.212038841913454,32.64961428998504,32.72836082696449,44.86123812396545,3756.4518500653917,2.6910034191193435,0.7295465349513075,
open_room,13,open_room_13_goal1,0,0,1,"[""###############"", ""#S............#"", ""#.............#"", ""#.............#"", ""#.............#"", ""#.............#"", ""#.............#"", ""#.............#"", ""#.............#"", ""#.............#"", ""#.............#"", ""#.............#"", ""#............G#"", ""#.............#"", ""###############""]",0.1,baseline_nearest_start,169,"[0, 1, 155]","[0, 155]",3,2,56.333333333333336,0.6666666666666666,False,1.0,0.0,nan,nan,nan,False,False,False,0,203.94366428063853,68.11562647423499,"{""stochastic"": 87.49676072005389, ""topology"": 87.54720302232727, ""value"": 87.19443018253423}","{""stochastic"": 68.0651841719616, ""topology"": 68.11562647423499, ""value"": 67.76285363444195}",True,0.4060115112109628,0.02224900781274634,0.4060115102277635,0.012180345306832915,0.012180345306832915,0.008843097952194512,4.46210615336895e-05,0.008887719013728201,4.520687739015557,7.339545794064179,0.07707174797542393,0.002688000909984112,11.948881000978872,31.908425232977606,31.966955551994033,43.8360768040875,3590.1703444597006,2.688356160094803,0.7292385149989807,
