option,src_state,src_coord,target_state,target_coord,primitive_distance,within_horizon,edge_valid,visible_mass,hidden_mass,hidden_gamma_mass,hidden_argmax_state,hidden_argmax_coord,hidden_argmax_prob,soft_cost,soft_argmax_state,soft_argmax_coord,soft_argmax_score,reward,map,slip,step
fb_003_to_000,33,"(5, 6)",0,"(1, 1)",9.0,True,True,0.9999999999999999,0.0,0.0,,,0.0,0.017502397503652487,32,"(5, 5)",0.017502397503652487,-8.362433579870062,open_room,0.05,3
fb_004_to_000,34,"(5, 7)",0,"(1, 1)",10.0,True,True,1.0000000000000002,0.0,0.0,,,0.0,4.782589100205155e-06,32,"(5, 5)",4.782589100205155e-06,-9.12184210273605,open_room,0.05,3
fb_000_to_001,0,"(1, 1)",30,"(5, 3)",6.0,True,True,0.9999999999999997,0.0,0.0,,,0.0,2.3066305937388444e-06,32,"(5, 5)",2.3066305937388444e-06,-5.858434975802834,open_room,0.05,3
fb_002_to_001,31,"(5, 4)",30,"(5, 3)",1.0,True,True,1.0,0.0,0.0,,,0.0,0.017784128581629994,32,"(5, 5)",0.017784128581629994,-1.0854570458830666,open_room,0.05,3
fb_003_to_001,33,"(5, 6)",30,"(5, 3)",3.0,True,True,0.9999999999999999,0.0,0.0,,,0.0,0.9983863304764696,32,"(5, 5)",0.9983863304764696,-2.082994100818222,open_room,0.05,3
fb_004_to_001,34,"(5, 7)",30,"(5, 3)",4.0,True,True,1.0,0.0,0.0,,,0.0,4.713619007973226e-06,32,"(5, 5)",4.713619007973226e-06,-1.06825733315853,open_room,0.05,3
fb_000_to_002,0,"(1, 1)",31,"(5, 4)",7.0,True,True,0.9999999999999997,0.0,0.0,,,0.0,2.3066305937388444e-06,32,"(5, 5)",2.3066305937388444e-06,-5.858434975802834,open_room,0.05,3
fb_001_to_002,30,"(5, 3)",31,"(5, 4)",1.0,True,True,1.0,0.0,0.0,,,0.0,4.6327203385088716e-06,32,"(5, 5)",4.6327203385088716e-06,-1.0863872202234275,open_room,0.05,3
fb_003_to_002,33,"(5, 6)",31,"(5, 4)",2.0,True,True,0.9999999999999999,0.0,0.0,,,0.0,0.9983863304764696,32,"(5, 5)",0.9983863304764696,-2.082994100818222,open_room,0.05,3
fb_004_to_002,34,"(5, 7)",31,"(5, 4)",3.0,True,True,1.0,0.0,0.0,,,0.0,4.713619007973226e-06,32,"(5, 5)",4.713619007973226e-06,-1.06825733315853,open_room,0.05,3
fb_000_to_003,0,"(1, 1)",33,"(5, 6)",9.0,True,True,0.9999999999999997,0.0,0.0,,,0.0,2.3066305937388444e-06,32,"(5, 5)",2.3066305937388444e-06,-5.858434975802834,open_room,0.05,3
