map_family,map_size,map,slip,method_spec,method,n_states,n_boundary,state_compression_ratio,full_iterations,exact_smdp_iterations,approximate_smdp_iterations,planning_iterations,truncation_steps,tail_tol,beta,option_restriction_bias,boundary_abstraction_bias,reward_kernel_residual,continuation_kernel_residual_l1,kernel_actual_gap,kernel_gap_bound,planning_residual,planning_actual_gap,planning_gap_bound,primitive_to_solved_gap,actual_triangle_bound,certified_total_bound,certificate_holds,normalized_primitive_to_solved_gap,normalized_certified_total_bound,start_primitive_value,start_solved_value,start_gap,value_scale,error,config_label
open_room,9,open_room_9,0.05,endpoints,endpoints,81,2,40.5,40,10,10,8,32,0.0,0.97,0.06464888018276582,3.888089850079268e-11,1.750359324148576e-08,1.0717470029508736e-08,1.8386112188295556e-08,5.4144941198451525e-06,3.6272496117817354e-10,3.801350345611354e-10,1.2090832039272441e-08,0.0646488614553995,0.06464889898789394,0.06465430680659862,True,0.004803661412584187,0.004804066023320468,-13.458246929319039,-13.522895790774438,0.0646488614553995,13.458246929319039,,fixed_k32_i8
maze,11,maze_11,0.05,endpoints,endpoints,49,2,24.5,58,11,11,8,32,0.0,0.97,7.105427357601002e-15,4.566658162730164e-11,0.26832722125060826,0.1153983274778001,0.28671984702030073,90.88452808630167,5.716287887480576e-09,6.106500194391629e-09,1.9054292958268569e-07,0.28671985308112724,0.2867198531724746,90.88452827689028,True,0.01328103792223229,4.2098266081631985,-21.58866308190882,-21.301943228827692,0.28671985308112724,21.58866308190882,,fixed_k32_i8
corridor,16,corridor_16,0.05,turn_articulation,turn_articulation,16,2,8.0,36,11,11,8,32,0.0,0.97,3.552713678800501e-15,3.711164708875003e-11,2.561506562415161e-10,1.7572499011464515e-10,2.737099435989876e-10,8.395367723854181e-08,3.454951880144108e-09,3.6907987777112794e-09,1.1516506267147017e-07,3.927393521507838e-09,4.001623921112696e-09,1.9915585510981442e-07,True,3.050402178006442e-10,1.5468413105607882e-08,-12.875002351573668,-12.875002347646275,3.927393521507838e-09,12.875002351573668,,fixed_k32_i8
open_room,9,open_room_9,0.05,turn_articulation,turn_articulation,81,4,20.25,40,12,12,8,32,0.0,0.97,0.006004904414314893,0.05864397580684866,1.401343041607106e-08,8.561944504166487e-09,1.3177459123880908e-09,4.326523795389907e-06,7.279443181573697e-08,7.787712164031291e-08,2.4264810605245636e-06,0.064648801026296,0.0646489594160311,0.06465563322601947,True,0.004803656922467175,0.00480416458143341,-13.458246929319039,-13.522895730345335,0.064648801026296,13.458246929319039,,fixed_k32_i8
maze,11,maze_11,0.05,turn_articulation,turn_articulation,49,15,3.2666666666666666,58,28,28,8,32,0.0,0.97,1.7763568394002505e-14,4.447642254490347e-11,8.881784197001252e-16,1.3877787808460692e-16,1.7763568394002505e-14,1.2947357576323633e-13,1.2139931653233873,8.781378181012853,40.46643884411287,8.781378180968387,8.781378181057365,40.466438844157494,True,0.40675877647685993,1.874430051116419,-21.58866308190882,-12.807284900940433,8.781378180968387,21.58866308190882,,fixed_k32_i8
corridor,16,corridor_16,0.05,graph_rd_surrogate_joint,graph_rd_surrogate_joint,16,2,8.0,36,11,11,8,32,0.0,0.97,3.552713678800501e-15,3.711164708875003e-11,2.561506562415161e-10,1.7572499011464515e-10,2.737099435989876e-10,8.395367723854181e-08,3.454951880144108e-09,3.6907987777112794e-09,1.1516506267147017e-07,3.927393521507838e-09,4.001623921112696e-09,1.9915585510981442e-07,True,3.050402178006442e-10,1.5468413105607882e-08,-12.875002351573668,-12.875002347646275,3.927393521507838e-09,12.875002351573668,,fixed_k32_i8
open_room,9,open_room_9,0.05,graph_rd_surrogate_joint,graph_rd_surrogate_joint,81,2,40.5,40,10,10,8,32,0.0,0.97,0.06464888018276582,3.888089850079268e-11,1.750359324148576e-08,1.0717470029508736e-08,1.8386112188295556e-08,5.4144941198451525e-06,3.6272496117817354e-10,3.801350345611354e-10,1.2090832039272441e-08,0.0646488614553995,0.06464889898789394,0.06465430680659862,True,0.004803661412584187,0.004804066023320468,-13.458246929319039,-13.522895790774438,0.0646488614553995,13.458246929319039,,fixed_k32_i8
maze,11,maze_11,0.05,graph_rd_surrogate_joint,graph_rd_surrogate_joint,49,12,4.083333333333333,58,28,28,8,32,0.0,0.97,1.7763568394002505e-14,4.447642254490347e-11,1.7763568394002505e-15,1.3877787808460692e-16,1.7763568394002505e-14,1.590795230865738e-13,1.2139931653233909,8.781378181012853,40.46643884411299,8.781378180968387,8.781378181057365,40.46643884415764,True,0.40675877647685993,1.8744300511164258,-21.58866308190882,-12.807284900940433,8.781378180968387,21.58866308190882,,fixed_k32_i8
corridor,16,corridor_16,0.1,endpoints,endpoints,16,2,8.0,45,14,14,8,32,0.0,0.97,5.329070518200751e-15,5.4647841807309305e-11,5.26555274049656e-07,2.9322561334588215e-07,6.040006379492979e-07,0.00015043299524377017,8.65871703226162e-07,9.932190661032791e-07,2.886239010753871e-05,1.5971650508816992e-06,1.597274357223455e-06,0.00017929544000447976,True,1.1748083934969091e-07,1.3188229213800026e-05,-13.595110996165191,-13.59510939900014,1.5971650508816992e-06,13.595110996165191,,fixed_k32_i8
open_room,9,open_room_9,0.1,endpoints,endpoints,81,2,40.5,50,12,12,8,32,0.0,0.97,0.1372450496721065,6.767031379695254e-11,1.3402835442377636e-05,6.439557136098117e-06,1.4826142940904674e-05,0.003509386576943706,9.304479320348946e-08,1.0291689633845635e-07,3.101493106782979e-06,0.13723012067993956,0.13725997879961405,0.1407575378098273,True,0.009711529427085043,0.009961158408600006,-14.130639433291586,-14.267869553971526,0.13723012067993956,14.130639433291586,,fixed_k32_i8
maze,11,maze_11,0.1,endpoints,endpoints,49,2,24.5,71,14,14,8,32,0.0,0.97,3.552713678800501e-15,3.186428898516169e-11,0.8426195602487212,0.20894482624580074,0.9665514285714529,177.90775209928555,1.3700344574374412e-06,1.5715311398878384e-06,4.566781524791467e-05,0.966553000070725,0.9665530001344607,177.90779776713265,True,0.04300080590047302,7.914908628295909,-22.477555474375254,-21.51100247430453,0.966553000070725,22.477555474375254,,fixed_k32_i8
corridor,16,corridor_16,0.1,turn_articulation,turn_articulation,16,2,8.0,45,14,14,8,32,0.0,0.97,5.329070518200751e-15,5.4647841807309305e-11,5.26555274049656e-07,2.9322561334588215e-07,6.040006379492979e-07,0.00015043299524377017,8.65871703226162e-07,9.932190661032791e-07,2.886239010753871e-05,1.5971650508816992e-06,1.597274357223455e-06,0.00017929544000447976,True,1.1748083934969091e-07,1.3188229213800026e-05,-13.595110996165191,-13.59510939900014,1.5971650508816992e-06,13.595110996165191,,fixed_k32_i8
open_room,9,open_room_9,0.1,turn_articulation,turn_articulation,81,4,20.25,50,15,15,8,32,0.0,0.97,0.025795264125143547,0.11207546250206946,1.0044349307847256e-05,4.856308726980234e-06,1.899423535789424e-06,0.002644453067138948,7.823869855982934e-06,8.99235084261818e-06,0.0002607956618660976,0.13723415796895644,0.1378816184015914,0.14077597535621805,True,0.009711815138785206,0.009962463200678085,-14.130639433291586,-14.267873591260543,0.13723415796895644,14.130639433291586,,fixed_k32_i8
maze,11,maze_11,0.1,turn_articulation,turn_articulation,49,15,3.2666666666666666,71,33,33,8,32,0.0,0.97,7.105427357601002e-15,2.4133584020091803e-11,1.8030021919912542e-13,1.0957901253050295e-13,1.8260948309034575e-12,8.811228507277601e-11,1.215984910542172,9.726650142482418,40.5328303514057,9.726650142459457,9.726650142508385,40.53283035151795,True,0.43272722220830384,1.8032579386902627,-22.477555474375254,-12.750905331915797,9.726650142459457,22.477555474375254,,fixed_k32_i8
corridor,16,corridor_16,0.1,graph_rd_surrogate_joint,graph_rd_surrogate_joint,16,2,8.0,45,14,14,8,32,0.0,0.97,5.329070518200751e-15,5.4647841807309305e-11,5.26555274049656e-07,2.9322561334588215e-07,6.040006379492979e-07,0.00015043299524377017,8.65871703226162e-07,9.932190661032791e-07,2.886239010753871e-05,1.5971650508816992e-06,1.597274357223455e-06,0.00017929544000447976,True,1.1748083934969091e-07,1.3188229213800026e-05,-13.595110996165191,-13.59510939900014,1.5971650508816992e-06,13.595110996165191,,fixed_k32_i8
open_room,9,open_room_9,0.1,graph_rd_surrogate_joint,graph_rd_surrogate_joint,81,2,40.5,50,12,12,8,32,0.0,0.97,0.1372450496721065,6.767031379695254e-11,1.3402835442377636e-05,6.439557136098117e-06,1.4826142940904674e-05,0.003509386576943706,9.304479320348946e-08,1.0291689633845635e-07,3.101493106782979e-06,0.13723012067993956,0.13725997879961405,0.1407575378098273,True,0.009711529427085043,0.009961158408600006,-14.130639433291586,-14.267869553971526,0.13723012067993956,14.130639433291586,,fixed_k32_i8
maze,11,maze_11,0.1,graph_rd_surrogate_joint,graph_rd_surrogate_joint,49,15,3.2666666666666666,71,33,33,8,32,0.0,0.97,7.105427357601002e-15,2.4133584020091803e-11,1.8030021919912542e-13,1.0957901253050295e-13,1.8260948309034575e-12,8.811228507277601e-11,1.215984910542172,9.726650142482418,40.5328303514057,9.726650142459457,9.726650142508385,40.53283035151795,True,0.43272722220830384,1.8032579386902627,-22.477555474375254,-12.750905331915797,9.726650142459457,22.477555474375254,,fixed_k32_i8
corridor,32,corridor_32,0.0,endpoints,endpoints,32,2,16.0,32,2,2,8,32,0.0,0.97,0.0,0.0,7.105427357601002e-15,0.0,7.105427357601002e-15,2.368475785866999e-13,0.0,0.0,0.0,7.105427357601002e-15,7.105427357601002e-15,2.368475785866999e-13,True,3.488621061101381e-16,1.1628736870337928e-14,-20.36743811710456,-20.367438117104566,7.105427357601002e-15,20.36743811710456,,fixed_k32_i8
four_rooms,7,four_rooms_7,0.0,endpoints,endpoints,40,2,20.0,13,2,2,8,32,0.0,0.97,0.0,0.0,1.7763568394002505e-15,0.0,1.7763568394002505e-15,5.921189464667497e-14,0.0,0.0,0.0,1.7763568394002505e-15,1.7763568394002505e-15,5.921189464667497e-14,True,1.7406296101340607e-16,5.802098700446865e-15,-10.205254633485398,-10.2052546334854,1.7763568394002505e-15,10.205254633485398,,fixed_k32_i8
