map_family,map_size,map,slip,method,n_states,n_boundary,state_compression_ratio,boundary,iterative_candidate_recompute,final_graph_kernel_build_count,selection_time_sec,final_kernel_time_sec,graph_solve_time_sec,total_time_sec,sparse_vi_time_sec,operator_speedup_vs_sparse_vi,planning_speedup_vs_sparse_vi,total_speedup_vs_sparse_vi,start_gap,normalized_start_gap,value_gap_max,normalized_value_gap_max,D_occ,D_model,D_audit_cvar95,error,timestamp,candidate_universe_time_sec,probe_build_time_sec,green_message_passing_time_sec,operator_apply_time_sec,threshold_time_sec,total_operator_time_sec,n_probe_anchors,n_operator_selected,probe_anchors,selected_states,selection_reasons,operator_used_steps_max,operator_frontier_max,operator_message_passing_sparse,n_green_response_passes,n_candidate_insertion_evaluations,n_beam_expansions,reference_iterative_n_boundary,reference_iterative_D_occ,selection_speedup_vs_iterative,total_speedup_vs_iterative
corridor,1024,corridor_1024,0.0,one_shot_rd_t0p15,1024,2,512.0,"[0, 1023]",False,1,0.01132723898626864,2.0490824930602685,0.00013706600293517113,2.0605467980494723,0.027175531024113297,2.3991310730758513,198.26602105677992,0.013188504648299102,3.228102229968499e-09,9.684306690843654e-11,3.228102229968499e-09,9.684306690843654e-11,0.0,0.0,0.0,,2026-07-10T22:11:26,0.011067147948779166,0.0,0.0,0.0,0.0,0.01132723898626864,0,0,[],[],{},0,0.0,True,0,0,0,2.0,0.0,2632.3316961996866,15.578507298309844
corridor,1024,corridor_1024,0.05,one_shot_rd_t0p15,1024,2,512.0,"[0, 1023]",False,1,0.010845782002434134,2.102454375009984,0.00018081092275679111,2.1134809679351747,0.027027972973883152,2.49202620593123,149.4819702360487,0.012788368281493871,3.228890932405193e-09,9.686672798153964e-11,3.228890932405193e-09,9.686672798153964e-11,0.0,0.1710624589203808,0.0,,2026-07-10T22:11:41,0.010573031031526625,0.0,0.0,0.0,0.0,0.010845782002434134,0,0,[],[],{},0,0.0,True,0,0,0,2.0,0.0,2735.9321467397504,15.133723237280273
corridor,1024,corridor_1024,0.1,one_shot_rd_t0p15,1024,2,512.0,"[0, 1023]",False,1,0.010892190039157867,2.2493699020706117,0.00013663596473634243,2.260398728074506,0.026920474017970264,2.471539141457325,197.02333913268706,0.011909612973858888,3.229033040952345e-09,9.687099123795461e-11,3.229033040952345e-09,9.687099123795461e-11,0.0,0.3419217771817137,0.0,,2026-07-10T22:11:55,0.01062265899963677,0.0,0.0,0.0,0.0,0.010892190039157867,0,0,[],[],{},0,0.0,True,0,0,0,2.0,0.0,2771.7746018466664,14.38317047350087
corridor,256,corridor_256,0.0,one_shot_rd_t0p15,256,2,128.0,"[0, 255]",False,,0.004460458992980421,0.22408652096055448,0.00025410507805645466,0.22880108503159136,0.013686128077097237,3.0683228113150625,53.86011244551588,0.059816709676912355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2026-07-10T21:54:47,0.0043359530391171575,0.0,0.0,0.0,0.0,0.004460458992980421,0,0,[],[],{},0,0.0,True,,,,2.0,0.0,789.7050912316416,16.056155924619716
corridor,256,corridor_256,0.05,one_shot_rd_t0p15,256,2,128.0,"[0, 255]",False,,0.004579510889016092,0.23547907697502524,0.00025905296206474304,0.24031764082610607,0.01647599006537348,3.5977619585731233,63.600855724845054,0.0685592202417446,6.662048690486699e-11,1.9991076038379425e-12,6.662048690486699e-11,1.9991076038379425e-12,0.0,0.17105191255121577,0.0,,2026-07-10T21:54:48,0.004450179054401815,0.0,0.0,0.0,0.0,0.004579510889016092,0,0,[],[],{},0,0.0,True,,,,2.0,0.0,947.0866501050303,18.88250354155627
corridor,256,corridor_256,0.1,one_shot_rd_t0p15,256,2,128.0,"[0, 255]",False,,0.004533885978162289,0.24632543709594756,0.00023558305110782385,0.2510949061252177,0.018253786023706198,4.0260796393263005,77.48344347298412,0.07269675958541062,8.284217756227008e-11,2.4855948342895033e-12,8.284217756227008e-11,2.4855948342895033e-12,0.0,0.341910445315026,0.0,,2026-07-10T21:54:48,0.004403983009979129,0.0,0.0,0.0,0.0,0.004533885978162289,0,0,[],[],{},0,0.0,True,,,,2.0,0.0,1034.4416171016098,19.462386945262203
corridor,512,corridor_512,0.0,one_shot_rd_t0p15,512,2,256.0,"[0, 511]",False,,0.008874746970832348,0.7606799600180238,0.00016523199155926704,0.7697199389804155,0.03018640901427716,3.4013824972686546,182.69106805173138,0.039217392567824874,1.4210854715202004e-14,4.2632571560377e-16,1.4210854715202004e-14,4.2632571560377e-16,0.0,2.6469779601696886e-23,0.0,,2026-07-10T21:54:54,0.008647280046716332,0.0,0.0,0.0,0.0,0.008874746970832348,0,0,[],[],{},0,0.0,True,,,,2.0,0.0,1589.7717360686172,19.043497813513877
corridor,512,corridor_512,0.05,one_shot_rd_t0p15,512,2,256.0,"[0, 511]",False,,0.008829594007693231,0.760401829960756,0.0001833980204537511,0.769414821988903,0.03353628201875836,3.7981680686040797,182.86065430687384,0.04358673768730964,2.169358026549162e-10,6.508074462583207e-12,2.169358026549162e-10,6.508074462583207e-12,0.0,0.17106245640432544,0.0,,2026-07-10T21:54:54,0.008596483967266977,0.0,0.0,0.0,0.0,0.008829594007693231,0,0,[],[],{},0,0.0,True,,,,2.0,0.0,1750.290010222737,20.843186392631317
corridor,512,corridor_512,0.1,one_shot_rd_t0p15,512,2,256.0,"[0, 511]",False,,0.008809646940790117,0.7969302439596504,0.00016305700410157442,0.8059029479045421,0.03625835198909044,4.115755402320188,222.36611170964318,0.04499096582704793,3.5352343275008025e-10,1.060570316235578e-11,3.5352343275008025e-10,1.060570316235578e-11,0.0,0.34192177573303134,0.0,,2026-07-10T21:54:55,0.008575477986596525,0.0,0.0,0.0,0.0,0.008809646940790117,0,0,[],[],{},0,0.0,True,,,,2.0,0.0,1871.549671149215,21.23755093149894
open_room,24,open_room_24,0.0,one_shot_rd_t0p15,576,3,192.0,"[0, 552, 575]",False,,0.11693299491889775,0.7468370429705828,0.0003379429690539837,0.8641079808585346,0.003338024951517582,0.028546476157843777,9.877480099265977,0.0038629720190769294,0.0,0.0,7.105427357601002e-15,2.8282936634357835e-16,0.0,0.0,1.0,,2026-07-10T21:54:49,0.013445929973386228,0.02284681098535657,0.005338264047168195,0.0749508470762521,0.00021157599985599518,0.11693299491889775,2,1,"[0, 575]",[552],"{""552"": [""control"", ""flow"", ""green"", ""topology""]}",47,0.0,True,,,,2.0,1.0,24.57236458351206,3.9134030987957624
