map_family,map_size,map,method_spec,method,kernel_label,first_hit_mode,first_hit_truncation_steps,n_states,n_boundary,state_compression_ratio,construction_time_sec,kernel_time_sec,smdp_solve_time_sec,compressed_total_time_sec,full_vi_time_sec,planning_time_speedup_vs_full_vi,total_time_speedup_vs_full_vi,start_gap_vs_full,value_gap_max_vs_full,occupancy_struct_hidden_distinct,occupancy_model_residual,struct_hidden_distinct_cvar95,start_value,error,kernel_time_speedup_vs_exact,total_time_speedup_vs_exact,start_value_abs_diff_vs_exact,start_gap_delta_vs_exact,value_gap_delta_vs_exact
corridor,128,corridor_128,endpoints,endpoints,exact,exact,0,128,2,64.0,1.1692987754940987e-05,2.9677647469798103,0.00014287501107901335,2.9679193149786443,0.2929351070197299,2050.289303968835,0.09870049550920414,3.725375563590205e-11,3.725375563590205e-11,0.0,0.17037965844321545,0.0,-32.801129691476135,,1.0,1.0,0.0,0.0,0.0
corridor,128,corridor_128,endpoints,endpoints,truncated_K32,truncated,32,128,2,64.0,2.000300446525216e-05,0.020311985979788005,9.578297613188624e-05,0.020427771960385144,0.377386172011029,3940.0130091113,18.47417196270257,11.66740716705521,11.66740716705521,0.0,0.11331763442468903,0.0,-21.13372252438367,,146.10903876819162,145.28844950561546,11.667407167092463,11.667407167017956,11.667407167017956
corridor,128,corridor_128,endpoints,endpoints,truncated_K64,truncated,64,128,2,64.0,1.3323966413736343e-05,0.02194833301473409,8.75500263646245e-05,0.02204920700751245,0.39296529500279576,4488.46575289642,17.82219627530856,4.070801633049136,4.070801633049136,0.0,0.14927490061898388,0.0,-28.730328058389745,,135.21595216308802,134.60435624589292,4.07080163308639,4.070801633011882,4.070801633011882
corridor,128,corridor_128,endpoints,endpoints,truncated_K128,truncated,128,128,2,64.0,1.3565993867814541e-05,0.02493880403926596,9.159400360658765e-05,0.025043964036740363,0.3758452759939246,4103.382985727386,15.007419569942943,0.12327340663847508,0.12327340663847508,0.0,0.1685719583466522,0.0,-32.677856284800406,,119.00188727202342,118.50836834874079,0.12327340667572884,0.12327340660122132,0.12327340660122132
open_room,12,open_room_12,endpoints,endpoints,exact,exact,0,144,2,72.0,1.3599987141788006e-05,3.3000359430443496,0.00015718000940978527,3.300206723040901,0.09580611804267392,609.5311891278554,0.029030338425101904,0.07851002033424237,0.07851002033424237,0.0,0.6953067647235828,0.0,-17.043627840660008,,1.0,1.0,0.0,0.0,0.0
open_room,12,open_room_12,endpoints,endpoints,truncated_K32,truncated,32,144,2,72.0,1.9638973753899336e-05,0.024990767997223884,0.00010056601604446769,0.02511097298702225,0.12313172401627526,1224.38701322154,4.903502706960486,0.07838378056747786,0.07838378056747786,0.0,0.6952927948552943,0.0,-17.043501600893244,,132.0502012347494,131.42488444181356,0.0001262397667645132,-0.0001262397667645132,-0.0001262397667645132
open_room,12,open_room_12,endpoints,endpoints,truncated_K64,truncated,64,144,2,72.0,1.4106975868344307e-05,0.026413585990667343,8.815602632239461e-05,0.026515848992858082,0.12173880694899708,1380.9470778978534,4.59117137760842,0.07851002033423882,0.07851002033423882,0.0,0.6953067647235822,0.0,-17.043627840660005,,124.93706625864222,124.46166532060867,3.552713678800501e-15,-3.552713678800501e-15,-3.552713678800501e-15
open_room,12,open_room_12,endpoints,endpoints,truncated_K128,truncated,128,144,2,72.0,1.373200211673975e-05,0.029391988995485008,0.00011214800179004669,0.029517868999391794,0.12583511299453676,1122.0450742413925,4.263014819841146,0.07851002033423882,0.07851002033423882,0.0,0.6953067647235822,0.0,-17.043627840660005,,112.27671402405866,111.80369162519492,3.552713678800501e-15,-3.552713678800501e-15,-3.552713678800501e-15
