training_seed,epoch,validation_score,train_node_loss,train_ranking_loss,train_score_loss,train_count_loss,train_total_loss,validation_boundary_jaccard,validation_extra_jaccard,validation_exact_boundary_rate,validation_count_accuracy,validation_top_set_hit_rate,validation_mean_top_set_regret
0,1,1.3715065192743765,1.2284785509109497,1.1153827607631683,2.5279401540756226,1.69896799325943,5.466440200805664,0.8734410430839002,0.7708333333333334,0.7619047619047619,0.9166666666666666,0.8095238095238095,0.19047619047619047
0,2,1.3715065192743765,0.8223472833633423,0.4801046550273895,1.9656993746757507,0.4537099748849869,3.4269498586654663,0.8734410430839002,0.7708333333333334,0.7619047619047619,0.9166666666666666,0.8095238095238095,0.19047619047619047
0,3,1.3715065192743765,0.6977919638156891,0.3034660965204239,1.9783942103385925,0.3837398737668991,3.1139612197875977,0.8734410430839002,0.7708333333333334,0.7619047619047619,0.9166666666666666,0.8095238095238095,0.19047619047619047
0,4,1.3798398526077098,0.634103924036026,0.2883235514163971,1.8608686923980713,0.24948648735880852,2.8706165552139282,0.8766156462585034,0.7748015873015872,0.7619047619047619,0.9166666666666666,0.8214285714285714,0.17857142857142858
0,5,1.3715065192743765,0.5689378976821899,0.24546964466571808,1.812170386314392,0.26442751288414,2.7191275358200073,0.8734410430839002,0.7708333333333334,0.7619047619047619,0.9166666666666666,0.8095238095238095,0.19047619047619047
0,6,1.3715065192743765,0.5052076876163483,0.1892259642481804,1.6894290447235107,0.2397250458598137,2.4677664041519165,0.8734410430839002,0.7708333333333334,0.7619047619047619,0.9166666666666666,0.8095238095238095,0.19047619047619047
0,7,1.3857922335600907,0.4892927259206772,0.1922924816608429,1.5322096347808838,0.21737677603960037,2.289876699447632,0.8793934240362812,0.7827380952380952,0.7738095238095238,0.9166666666666666,0.8214285714285714,0.17857142857142858
0,8,1.3899589002267574,0.5040062367916107,0.18869459629058838,1.524171769618988,0.2585836350917816,2.3073768615722656,0.8793934240362812,0.7827380952380952,0.7738095238095238,0.9166666666666666,0.8333333333333334,0.16666666666666666
0,9,1.3840065192743765,0.4323805421590805,0.15352290123701096,1.4975033402442932,0.1981247067451477,2.1527503728866577,0.8734410430839002,0.7708333333333334,0.7619047619047619,0.9166666666666666,0.8452380952380952,0.15476190476190477
0,10,1.3704577664399094,0.4126358926296234,0.14145680516958237,1.5186564326286316,0.20280834287405014,2.1437320709228516,0.8587018140589568,0.7375,0.7142857142857143,0.9523809523809523,0.8809523809523809,0.11904761904761904
0,11,1.3422805299462914,0.4670107215642929,0.15865541994571686,1.4714138507843018,0.17582889646291733,2.1586201190948486,0.8479875283446712,0.7176587301587302,0.7023809523809523,0.9285714285714286,0.8452380952380952,0.1309787141425269
0,12,1.2814427874762726,0.43992775678634644,0.15377544611692429,1.4180169105529785,0.18960636854171753,2.078082323074341,0.8174886621315193,0.6517857142857143,0.6309523809523809,0.9166666666666666,0.8214285714285714,0.13278017512389592
0,13,1.2800828211398079,0.4386924207210541,0.15660037845373154,1.403641700744629,0.18977001309394836,2.065354108810425,0.8113662131519274,0.6470238095238096,0.6309523809523809,0.9523809523809523,0.8333333333333334,0.12086963440690722
0,14,1.2314342403628118,0.42493709921836853,0.14776480197906494,1.4105134010314941,0.1849604994058609,2.0479514598846436,0.7850056689342404,0.5880952380952381,0.5595238095238095,0.9523809523809523,0.8452380952380952,0.15476190476190477
0,15,1.2655895691609977,0.45097115635871887,0.15517225116491318,1.385926067829132,0.16255757957696915,2.048964560031891,0.8008078231292517,0.6257936507936508,0.6071428571428571,0.9523809523809523,0.8571428571428571,0.14285714285714285
0,16,1.285827664399093,0.4192933738231659,0.15467003732919693,1.3846136331558228,0.16715167462825775,2.0170801281929016,0.8127125850340136,0.6496031746031746,0.6309523809523809,0.9523809523809523,0.8571428571428571,0.14285714285714285
0,17,1.2972434807256237,0.39491796493530273,0.13436731323599815,1.332320213317871,0.1289394088089466,1.9067343473434448,0.8229875283446711,0.6660714285714286,0.6428571428571429,0.9523809523809523,0.8452380952380952,0.15476190476190477
