training_seed,best_epoch,best_validation_score,epochs_run,training_time_sec
0,8,1.3899589002267574,33,11.898934928001836
1,10,1.3919430272108844,35,12.266227526008151
2,12,1.42687074829932,37,13.151662428979762
3,11,1.3934081197291814,36,14.504498124937527
4,14,1.4034580498866214,39,14.035274246009067
