map,basis_mode,risk_kind,n_basis,n_boundary,selection_time_sec,train_bits_mean,train_bits_max,train_bits_cvar,test_bits_mean,test_bits_max,test_bits_cvar,test_minus_train_mean,start_gap_mean,start_gap_max,boundary
maze_9,fixed,single,17,5,0.44491855904925615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 1, 2, 21, 30]"
maze_9,fixed,mean,17,5,0.4259227269794792,2.733267432683696e-07,5.466534865367392e-07,5.466534865367392e-07,178.81879641157093,357.57009085151446,357.57009085151446,178.81879613824418,0.0,0.0,"[0, 2, 17, 21, 30]"
maze_9,fixed,mean_cvar,17,5,0.4186507759732194,2.733267432683696e-07,5.466534865367392e-07,5.466534865367392e-07,178.81879641157093,357.57009085151446,357.57009085151446,178.81879613824418,0.0,0.0,"[0, 2, 17, 21, 30]"
maze_9,fixed,max,17,5,0.41446791199268773,2.733267432683696e-07,5.466534865367392e-07,5.466534865367392e-07,178.81879641157093,357.57009085151446,357.57009085151446,178.81879613824418,0.0,0.0,"[0, 2, 17, 21, 30]"
maze_9,residual_train,single,10,5,0.44938237604219466,2.050197037165308e-07,4.100394074330616e-07,4.100394074330616e-07,129.54384383618037,194.31576561754412,194.31576561754412,129.54384363116066,0.0,0.0,"[0, 2, 3, 21, 30]"
maze_9,residual_train,mean,10,5,0.4206249580020085,2.0508206740632304e-07,4.101641348126461e-07,4.101641348126461e-07,197.87961898273252,415.7525509510182,415.7525509510182,197.87961877765045,0.0,0.0,"[0, 5, 17, 21, 30]"
maze_9,residual_train,mean_cvar,10,5,0.4150694430572912,2.0508206740632304e-07,4.101641348126461e-07,4.101641348126461e-07,197.87961898273252,415.7525509510182,415.7525509510182,197.87961877765045,0.0,0.0,"[0, 5, 17, 21, 30]"
maze_9,residual_train,max,10,5,0.4208827579859644,2.0508206740632304e-07,4.101641348126461e-07,4.101641348126461e-07,197.87961898273252,415.7525509510182,415.7525509510182,197.87961877765045,0.0,0.0,"[0, 5, 17, 21, 30]"
four_rooms_9,fixed,single,28,5,1.1313415479962714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 1, 2, 9, 67]"
four_rooms_9,fixed,mean,28,5,1.1309045809903182,145.8318503054705,208.5490607708113,208.5490607708113,126.20997858945532,171.12556120575994,171.12556120575994,-19.621871716015193,0.0,0.0,"[0, 1, 21, 29, 67]"
four_rooms_9,fixed,mean_cvar,28,5,1.1369150599930435,226.44972369844817,340.56468930642916,340.56468930642916,147.02599291640288,198.2666114234737,198.2666114234737,-79.42373078204528,0.0,0.0,"[0, 1, 9, 29, 67]"
four_rooms_9,fixed,max,28,5,1.1881804619915783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 1, 2, 9, 67]"
four_rooms_9,residual_train,single,54,5,1.1524250070215203,29.718450077074756,29.764917396628434,29.764917396628434,28.246268969800386,29.605826166595506,29.605826166595506,-1.4721811072743698,0.0,0.0,"[0, 8, 16, 59, 67]"
four_rooms_9,residual_train,mean,54,5,1.1179354049963877,145.8979652449367,226.04604468297578,226.04604468297578,62.457787616038594,67.27100480653127,67.27100480653127,-83.44017762889811,0.0,0.0,"[0, 1, 16, 66, 67]"
four_rooms_9,residual_train,mean_cvar,54,5,1.1103007239871658,145.8979652449367,226.04604468297578,226.04604468297578,62.457787616038594,67.27100480653127,67.27100480653127,-83.44017762889811,0.0,0.0,"[0, 1, 16, 66, 67]"
four_rooms_9,residual_train,max,54,5,1.138869489019271,68.21491686722823,68.6929526557517,68.6929526557517,65.08813255633349,68.24988206400373,68.24988206400373,-3.1267843108947346,0.0,0.0,"[0, 1, 2, 66, 67]"
open_room_7,fixed,single,14,5,0.7043712890008464,4.93196715778488,4.93196715778488,4.93196715778488,2.597482260305027e-06,7.655304568181026e-06,7.655304568181026e-06,-4.931964560302619,0.0,0.0,"[0, 7, 8, 15, 48]"
open_room_7,fixed,mean,14,5,0.7047370450454764,4.93196715778488,4.93196715778488,4.93196715778488,2.597482260305027e-06,7.655304568181026e-06,7.655304568181026e-06,-4.931964560302619,0.0,0.0,"[0, 7, 8, 15, 48]"
open_room_7,fixed,mean_cvar,14,5,0.7059513189597055,4.93196715778488,4.93196715778488,4.93196715778488,2.597482260305027e-06,7.655304568181026e-06,7.655304568181026e-06,-4.931964560302619,0.0,0.0,"[0, 7, 8, 15, 48]"
open_room_7,fixed,max,14,5,0.7165588799980469,196.89662995791372,202.81313284358265,202.81313284358265,119.89862950880483,173.00311381340234,173.00311381340234,-76.99800044910889,0.0,0.0,"[0, 3, 4, 7, 48]"
open_room_7,residual_train,single,47,5,0.6979616499738768,28.46305230929296,29.86185041659246,29.86185041659246,22.102292871073004,29.608416278584933,29.608416278584933,-6.360759438219954,0.0,0.0,"[0, 7, 14, 41, 48]"
open_room_7,residual_train,mean,47,5,0.7134539749822579,40.6396275523617,47.36052045884006,47.36052045884006,31.020131942842415,46.99351246389707,46.99351246389707,-9.619495609519287,0.0,0.0,"[0, 1, 34, 41, 48]"
open_room_7,residual_train,mean_cvar,47,5,0.7020898910122924,40.6396275523617,47.36052045884006,47.36052045884006,31.020131942842415,46.99351246389707,46.99351246389707,-9.619495609519287,0.0,0.0,"[0, 1, 34, 41, 48]"
open_room_7,residual_train,max,47,5,0.7074431430082768,40.6396275523617,47.36052045884006,47.36052045884006,31.020131942842415,46.99351246389707,46.99351246389707,-9.619495609519287,0.0,0.0,"[0, 1, 34, 41, 48]"
