map,risk_kind,step,selected_state,n_boundary_before,n_basis,operator_score,risk_before,risk_after,risk_delta,rate_delta,stop_reason,basis_mode
maze_9,mean,2,17,4,10,-5.584961407692895,1.3668439796472825e-07,5.5864875143552676e-11,1.366285330895847e-07,5.58496250072116,continue,residual_train
maze_9,mean_cvar,0,21,2,10,382.7735499664802,77.72630619236912,29.147364822168157,48.578941370200965,5.857980995127573,continue,residual_train
maze_9,mean_cvar,1,5,3,10,-5.89231660300746,2.050015630239187e-07,1.0253015362243886e-07,1.0247140940147985e-07,5.892317422778735,continue,residual_train
maze_9,mean_cvar,2,17,4,10,-5.584960861178763,2.0503020400533565e-07,8.740437095862281e-11,2.0494279963437704e-07,5.58496250072116,continue,residual_train
maze_9,max,0,21,2,10,305.0472437740241,77.72630619236912,38.86315309622517,38.863153096143954,5.857980995127573,continue,residual_train
maze_9,max,1,5,3,10,-5.892316329750368,2.7333685581050604e-07,1.3670830994186624e-07,1.366285458686398e-07,5.892317422778735,continue,residual_train
maze_9,max,2,17,4,10,-5.58496031466463,2.733760100459431e-07,1.1894386677369294e-10,2.732570661791694e-07,5.58496250072116,continue,residual_train
four_rooms_9,single,0,1,2,28,256.99698268976687,77.72630619236912,44.72113409122846,33.005172101140666,7.044394119358445,continue,fixed
four_rooms_9,single,1,9,3,28,39.957245494304054,89.5417742528467,83.65870227683999,5.883071976006704,7.10733031374958,continue,fixed
four_rooms_9,single,2,2,4,28,-6.238185696935844,134.45939018070771,134.38540401800498,0.07398616270273806,6.830074998557748,continue,fixed
four_rooms_9,mean,0,1,2,28,236.43812532715646,66.63235898741904,36.197044056604675,30.435314930814364,7.044394119358445,continue,fixed
four_rooms_9,mean,1,29,3,28,41.5245385727984,72.46935675251567,66.39037314169717,6.078983610818497,7.10733031374958,continue,fixed
four_rooms_9,mean,2,21,4,28,435.8951103277906,174.36238401897924,119.0217358531857,55.34064816579354,6.830074998557748,continue,fixed
four_rooms_9,mean_cvar,0,1,2,28,246.7175540084616,72.17933258989407,40.459089073916566,31.720243515977508,7.044394119358445,continue,fixed
four_rooms_9,mean_cvar,1,9,3,28,28.191101542290646,81.00556550268118,76.59326152067615,4.412303982005028,7.10733031374958,continue,fixed
four_rooms_9,mean_cvar,2,29,4,28,20.76232764337145,118.72461377338522,115.27556344314407,3.4490503302411497,6.830074998557748,continue,fixed
four_rooms_9,max,0,1,2,28,256.99698268976687,77.72630619236912,44.72113409122846,33.005172101140666,7.044394119358445,continue,fixed
four_rooms_9,max,1,9,3,28,39.957245494304054,89.5417742528467,83.65870227683999,5.883071976006704,7.10733031374958,continue,fixed
four_rooms_9,max,2,2,4,28,-6.238185696935844,134.45939018070771,134.38540401800498,0.07398616270273806,6.830074998557748,continue,fixed
four_rooms_9,single,0,8,2,54,303.6601028024271,77.72630619236912,38.88824407714593,38.838062115223195,7.044394119358445,continue,residual_train
four_rooms_9,single,1,59,3,54,614.3016635298216,83.70888423876417,6.03276000831778,77.67612423044639,7.10733031374958,continue,residual_train
four_rooms_9,single,2,16,4,54,87.09834876984718,23.780624153266217,12.039571182215601,11.741052971050616,6.830074998557748,continue,residual_train
four_rooms_9,mean,0,1,2,54,236.43812532715646,66.63235898741904,36.197044056604675,30.435314930814364,7.044394119358445,continue,residual_train
four_rooms_9,mean,1,66,3,54,385.35782717395364,72.46935675251567,23.41121206655276,49.0581446859629,7.10733031374958,continue,residual_train
four_rooms_9,mean,2,16,4,54,51.43158885244053,46.870944853980575,39.58823687260579,7.282707981374784,6.830074998557748,continue,residual_train
four_rooms_9,mean_cvar,0,1,2,54,246.7175540084616,72.17933258989407,40.459089073916566,31.720243515977508,7.044394119358445,continue,residual_train
four_rooms_9,mean_cvar,1,66,3,54,453.16662523922736,81.00556550268118,23.471321058559063,57.534244444122116,7.10733031374958,continue,residual_train
four_rooms_9,mean_cvar,2,16,4,54,22.30075692694139,46.991564531788455,43.35021054110106,3.641353990687392,6.830074998557748,continue,residual_train
four_rooms_9,max,0,1,2,54,256.99698268976687,77.72630619236912,44.72113409122846,33.005172101140666,7.044394119358445,continue,residual_train
four_rooms_9,max,1,66,3,54,520.9754233045011,89.5417742528467,23.531430050565362,66.01034420228133,7.10733031374958,continue,residual_train
four_rooms_9,max,2,2,4,54,9.370652848463564,47.11218420959634,45.08709322871868,2.025090980877664,6.830074998557748,continue,residual_train
open_room_7,single,0,7,2,14,304.149908070108,77.72630619236912,38.88824407714593,38.838062115223195,6.554588851677603,continue,fixed
open_room_7,single,1,8,3,14,1.5922033905837383,83.70888423876417,82.68379325784393,1.0250909809202398,6.60852445677818,continue,fixed
open_room_7,single,2,15,4,14,48.74264771280884,133.48448116170883,126.6014091857468,6.883071975962025,6.321928094887362,continue,fixed
open_room_7,mean,0,7,2,14,148.79765960921517,77.72630619236912,58.307275134757525,19.419031057611598,6.554588851677603,continue,fixed
open_room_7,mean,1,8,3,14,-2.5081605330972776,83.70846984779148,83.19592435733136,0.5125454904601128,6.60852445677818,continue,fixed
open_room_7,mean,2,15,4,14,21.21035980896074,133.43662227543692,129.9950862874559,3.4415359879810126,6.321928094887362,continue,fixed
open_room_7,mean_cvar,0,7,2,14,71.12153537876875,77.72630619236912,68.01679066356333,9.709515528805795,6.554588851677603,continue,fixed
open_room_7,mean_cvar,1,8,3,14,-4.555027367156238,83.70867704327782,83.45198990707507,0.25668713620274275,6.60852445677818,continue,fixed
open_room_7,mean_cvar,2,15,4,14,7.827086947211974,133.46055171857287,131.69192483831046,1.768626880262417,6.321928094887362,continue,fixed
open_room_7,max,0,3,2,14,-6.554588851677603,77.72630619236912,77.72630619236912,0.0,6.554588851677603,continue,fixed
open_room_7,max,1,4,3,14,521.0796362937475,233.17891857710737,167.21789848329166,65.9610200938157,6.60852445677818,continue,fixed
open_room_7,max,2,7,4,14,365.67163810963945,250.97610683052432,204.47691105495846,46.49919577556585,6.321928094887362,continue,fixed
open_room_7,single,0,7,2,47,304.149908070108,77.72630619236912,38.88824407714593,38.838062115223195,6.554588851677603,continue,residual_train
open_room_7,single,1,41,3,47,614.800469386793,83.70888423876417,6.03276000831778,77.67612423044639,6.60852445677818,continue,residual_train
open_room_7,single,2,14,4,47,87.60649567351757,23.780624153266217,12.039571182215601,11.741052971050616,6.321928094887362,continue,residual_train
open_room_7,mean,0,41,2,47,342.4168127987979,77.72630619236912,34.10488098605969,43.62142520630943,6.554588851677603,continue,residual_train
open_room_7,mean,1,1,3,47,356.05717244591716,62.55967447714504,17.226462364308116,45.33321211283692,6.60852445677818,continue,residual_train
open_room_7,mean,2,34,4,47,87.61222539378116,32.10696116467875,20.365191978595185,11.741769186083566,6.321928094887362,continue,residual_train
open_room_7,mean_cvar,0,41,2,47,323.28336043445296,77.72630619236912,36.496562531602805,41.22974366076632,6.554588851677603,continue,residual_train
open_room_7,mean_cvar,1,1,3,47,438.76570080369476,73.1342793579546,17.46250120039548,55.67177815755912,6.60852445677818,continue,residual_train
open_room_7,mean_cvar,2,34,4,47,87.60936053364935,33.776682673055014,22.035271594487924,11.74141107856709,6.321928094887362,continue,residual_train
open_room_7,max,0,41,2,47,304.149908070108,77.72630619236912,38.88824407714593,38.838062115223195,6.554588851677603,continue,residual_train
open_room_7,max,1,1,3,47,521.4742291614725,83.70888423876417,17.69854003648284,66.01034420228133,6.60852445677818,continue,residual_train
open_room_7,max,2,34,4,47,87.60649567351754,35.44640418143128,23.705351210380663,11.741052971050614,6.321928094887362,continue,residual_train
