map,risk_kind,step,selected_state,n_boundary_before,n_basis,operator_score,risk_before,risk_after,risk_delta,rate_delta,stop_reason,basis_mode
maze_9,single,0,21,2,17,615.9524685438485,77.72630619236912,-2.8848035071860068e-12,77.72630619237201,5.857980995127573,continue,fixed
maze_9,single,1,1,3,17,-5.892317422778735,-8.630671686573849e-12,-8.630671686573849e-12,0.0,5.892317422778735,continue,fixed
maze_9,single,2,2,4,17,-5.58496250072116,-4.328469891952552e-12,-4.328469891952552e-12,0.0,5.58496250072116,continue,fixed
maze_9,mean,0,21,2,17,460.4998561589363,77.72630619236912,19.431576548111142,58.294729644257984,5.857980995127573,continue,fixed
maze_9,mean,1,2,3,17,305.0129073467093,44.69604338129758,5.832890285111572,38.863153096186004,5.892317422778735,continue,fixed
maze_9,mean,2,17,4,17,181.06752115662968,23.33156066215744,2.0498858373739994e-07,23.331560457168855,5.58496250072116,continue,fixed
maze_9,mean_cvar,0,21,2,17,382.7735499664802,77.72630619236912,29.147364822168157,48.578941370200965,5.857980995127573,continue,fixed
maze_9,mean_cvar,1,2,3,17,460.46551973145336,67.04406507195068,8.749335427671673,58.29472964427901,5.892317422778735,continue,fixed
maze_9,mean_cvar,2,17,4,17,274.39376298530516,34.9973409932448,3.074915128448108e-07,34.99734068575329,5.58496250072116,continue,fixed
maze_9,max,0,21,2,17,305.0472437740241,77.72630619236912,38.86315309622517,38.863153096143954,5.857980995127573,continue,fixed
maze_9,max,1,2,3,17,615.9181321161973,89.39208676260378,11.665780570231775,77.72630619237201,5.892317422778735,continue,fixed
maze_9,max,2,17,4,17,367.72000481398055,46.66312132433215,4.099944419522217e-07,46.66312091433771,5.58496250072116,continue,fixed
maze_9,single,0,21,2,10,615.9524685438485,77.72630619236912,-2.8848035071860068e-12,77.72630619237201,5.857980995127573,continue,residual_train
maze_9,single,1,2,3,10,-5.892317422778735,-4.3153358432869246e-12,-4.3153358432869246e-12,0.0,5.892317422778735,continue,residual_train
maze_9,single,2,3,4,10,-5.58496250072116,-3.04702664954744e-05,-3.04702664954744e-05,0.0,5.58496250072116,continue,residual_train
maze_9,mean,0,21,2,10,460.4998561589363,77.72630619236912,19.431576548111142,58.294729644257984,5.857980995127573,continue,residual_train
maze_9,mean,1,5,3,10,-5.892316876264552,1.3666627023733137e-07,6.835199730301148e-08,6.831427293431988e-08,5.892317422778735,continue,residual_train
