map,step,method,n_candidates,time_sec,time_per_candidate_sec,relative_to_fd_grad,top1_match_rate,mean_abs_score_error
maze_9,0,fd_grad_operator,6,0.017832209879998118,0.002972034979999686,1.0,,
maze_9,0,full_actual_recompute,6,0.15461464010877535,0.02576910668479589,8.670526039635849,,
maze_9,1,fd_grad_operator,5,0.01710896799340844,0.0034217935986816882,1.0,,
maze_9,1,full_actual_recompute,5,0.2001544070080854,0.04003088140161708,11.698800715811657,,
maze_9,2,fd_grad_operator,4,0.018070947960950434,0.0045177369902376086,1.0,,
maze_9,2,full_actual_recompute,4,0.17461468803230673,0.04365367200807668,9.662729836289282,,
four_rooms_9,0,fd_grad_operator,12,0.05099502799566835,0.004249585666305696,1.0,,
four_rooms_9,0,full_actual_recompute,12,0.7551065389998257,0.06292554491665214,14.807454151490345,,
four_rooms_9,1,fd_grad_operator,12,0.05215270409826189,0.004346058674855158,1.0,,
four_rooms_9,1,full_actual_recompute,12,0.9483408408705145,0.0790284034058762,18.183924635695355,,
four_rooms_9,2,fd_grad_operator,12,0.056253332062624395,0.0046877776718853665,1.0,,
four_rooms_9,2,full_actual_recompute,12,1.1849673769320361,0.09874728141100302,21.06483889012767,,
open_room_7,0,fd_grad_operator,2,0.029175946896430105,0.014587973448215052,1.0,,
open_room_7,0,full_actual_recompute,2,0.08114174706861377,0.040570873534306884,2.7811178624863095,,
open_room_7,1,fd_grad_operator,1,0.029543470998760313,0.029543470998760313,1.0,,
open_room_7,1,full_actual_recompute,1,0.05211242299992591,0.05211242299992591,1.7639235079084858,,
open_room_7,2,fd_grad_operator,0,0.0,0.0,1.0,,
four_rooms_9,all,truncated_green_K1,,0.000970428673705707,,,0.0,0.05053437727985675
four_rooms_9,all,truncated_green_K2,,0.0008274990250356495,,,0.3333333333333333,0.02935595192208253
four_rooms_9,all,truncated_green_K4,,0.000800667330622673,,,0.3333333333333333,0.026432412522055967
four_rooms_9,all,truncated_green_K8,,0.0007851529711236557,,,0.6666666666666666,0.02459617247185526
four_rooms_9,all,truncated_green_K16,,0.0009052370054026445,,,1.0,4.835740641024521e-05
four_rooms_9,all,truncated_green_K32,,0.0009281966680039962,,,1.0,2.6889192511771598e-12
maze_9,all,truncated_green_K1,,0.0005946459908348819,,,0.3333333333333333,0.16083333236644495
maze_9,all,truncated_green_K2,,0.00046320333300779265,,,0.3333333333333333,0.15331249903311162
maze_9,all,truncated_green_K4,,0.0004727883303227524,,,1.0,0.011647609622276157
maze_9,all,truncated_green_K8,,0.00046311931995054084,,,1.0,5.23250433596148e-05
maze_9,all,truncated_green_K16,,0.0005086173381035527,,,1.0,1.0784846434988877e-09
maze_9,all,truncated_green_K32,,0.0006456836708821356,,,1.0,9.313537595502494e-17
open_room_7,all,truncated_green_K1,,0.0006742096544864277,,,0.6666666666666666,0.15111743506749456
open_room_7,all,truncated_green_K2,,0.0006815533270128071,,,0.6666666666666666,0.15111743506749456
open_room_7,all,truncated_green_K4,,0.0006215956527739763,,,0.6666666666666666,0.15111743506749456
open_room_7,all,truncated_green_K8,,0.0006724430131725967,,,1.0,0.0010651012749191959
open_room_7,all,truncated_green_K16,,0.0006505953303227822,,,1.0,2.4190809847394544e-08
open_room_7,all,truncated_green_K32,,0.0007190240042594572,,,1.0,1.4808271072791444e-16
