map,step,k_steps,n_boundary,n_candidates,n_active_edges,mean_abs_score_error,max_abs_score_error,l1_score_error,exact_top_state,approx_top_state,top1_match,exact_top_score,approx_top_score,time_truncated_green_sec
maze_9,0,1,2,6,2,0.03249999999999992,0.0974999999999997,0.1949999999999995,2,2,True,0.9999999999999997,0.9025,0.0004654660006053746
maze_9,0,2,2,6,2,0.009937499999999913,0.037333333304184535,0.05962499999999948,2,2,True,0.9999999999999997,0.9777083333333333,0.0003850249922834337
maze_9,0,4,2,6,2,0.00039788001543200483,0.0018015740449253137,0.002387280092592029,2,2,True,0.9999999999999997,0.9994142939814815,0.00038192898500710726
maze_9,0,8,2,6,2,1.0714553285759572e-06,5.975182020945269e-06,6.4287319714557435e-06,2,2,True,0.9999999999999997,0.9999995464503538,0.0003989890101365745
maze_9,0,16,2,6,2,1.9240351702793915e-11,1.1515821629615175e-10,1.1544211021676349e-10,2,2,True,0.9999999999999997,0.9999999999997158,0.00041838601464405656
maze_9,0,32,2,6,2,7.401486830942083e-17,3.3306690738754696e-16,4.44089209856525e-16,2,2,True,0.9999999999999997,1.0,0.0005672880215570331
maze_9,1,1,3,5,2,0.1999999987228717,0.9999999936143584,0.9999999936143584,17,3,False,0.9999999936143584,0.0,0.0005786069668829441
maze_9,1,2,3,5,2,0.1999999987228717,0.9999999936143584,0.9999999936143584,17,3,False,0.9999999936143584,0.0,0.0004454299923963845
maze_9,1,4,3,5,2,0.0153217416717081,0.0766087083585405,0.0766087083585405,17,17,True,0.9999999936143584,0.9233912852558179,0.00039136200211942196
maze_9,1,8,3,5,2,6.385156905275302e-05,0.0003192578452637651,0.0003192578452637651,17,17,True,0.9999999936143584,0.9996807357690947,0.00039034796645864844
maze_9,1,16,3,5,2,1.0035968500687887e-09,5.017984250343943e-09,5.017984250343943e-09,17,17,True,0.9999999936143584,0.9999999885963742,0.00041751499520614743
maze_9,1,32,3,5,2,6.661338147750939e-17,3.3306690738754696e-16,3.3306690738754696e-16,17,17,True,0.9999999936143584,0.9999999936143588,0.00047191401245072484
maze_9,2,1,4,4,3,0.24999999837646325,0.999999993505853,0.999999993505853,21,3,False,0.999999993505853,0.0,0.0007398650050163269
maze_9,2,2,4,4,3,0.24999999837646325,0.999999993505853,0.999999993505853,21,3,False,0.999999993505853,0.0,0.0005591550143435597
maze_9,2,4,4,4,3,0.019223207179688367,0.07689282871875347,0.07689282871875347,21,21,True,0.999999993505853,0.9231071647870995,0.000645074003841728
maze_9,2,8,4,4,3,9.205210569751543e-05,0.0003682084227900617,0.0003682084227900617,21,21,True,0.999999993505853,0.9996317850830629,0.0006000209832563996
maze_9,2,16,4,4,3,2.212616728725081e-09,8.850466914900323e-09,8.850466914900323e-09,21,21,True,0.999999993505853,0.9999999846553861,0.000689951004460454
maze_9,2,32,4,4,3,1.3877787807814457e-16,5.551115123125783e-16,5.551115123125783e-16,21,21,True,0.999999993505853,0.9999999935058536,0.000897848978638649
four_rooms_9,0,1,2,14,1,0.07132128589588442,0.9511432073833992,0.998498002542382,25,3,False,0.9511432073833992,0.0,0.00048573402455076575
four_rooms_9,0,2,2,14,1,0.01007988377948232,0.0937682073833993,0.14111837291275248,25,25,True,0.9511432073833992,0.8573749999999999,0.0005370030412450433
four_rooms_9,0,4,2,14,1,0.003717546551381206,0.04395606287622714,0.05204565171933688,25,25,True,0.9511432073833992,0.946446736111111,0.0004501810180954635
four_rooms_9,0,8,2,14,1,0.0032689963296241124,0.04395606287622714,0.045765948614737574,25,25,True,0.9511432073833992,0.9511324140498434,0.0004122579703107476
four_rooms_9,0,16,2,14,1,4.1845755946339e-05,0.0005796834279776023,0.000585840583248746,25,25,True,0.9511432073833992,0.9511432072616912,0.00046882900642231107
four_rooms_9,0,32,2,14,1,2.5278061409913154e-12,3.511109458731454e-11,3.538928597387841e-11,25,25,True,0.9511432073833992,0.9511432073833986,0.0005300050252117217
four_rooms_9,1,1,3,13,2,0.07455699386069625,0.900548178992747,0.9692409201890513,64,3,False,0.900548178992747,0.0,0.0009464400354772806
four_rooms_9,1,2,3,13,2,0.0734561104910434,0.900548178992747,0.9549294363835643,64,28,False,0.900548178992747,0.014306854151656504,0.000827426032628864
four_rooms_9,1,4,3,13,2,0.07230016458803926,0.900548178992747,0.9399021396445104,64,28,False,0.900548178992747,0.016421229931386408,0.0007565509877167642
four_rooms_9,1,8,3,13,2,0.06987129711019545,0.900548178992747,0.9083268624325408,64,38,False,0.900548178992747,0.032042072255311256,0.0007999389781616628
four_rooms_9,1,16,3,13,2,0.00010240240693357303,0.0013213426142651974,0.0013312312901364494,64,64,True,0.900548178992747,0.8992268363784818,0.0008909940370358527
four_rooms_9,1,32,3,13,2,5.49966423525013e-12,7.102418653204268e-11,7.149563505825169e-11,64,64,True,0.900548178992747,0.9005481789217228,0.000881151994690299
four_rooms_9,2,1,4,12,3,0.005724852082989551,0.03386490472212114,0.06869822499587461,38,3,False,0.03386490472212114,0.0,0.0014791119610890746
four_rooms_9,2,2,4,12,3,0.004531861495721865,0.03386490472212114,0.054382337948662374,38,28,False,0.03386490472212114,0.014306854151656504,0.0011180680012330413
four_rooms_9,2,4,4,12,3,0.0032795264267474395,0.02095296762712845,0.03935431712096928,38,28,False,0.03386490472212114,0.016421229931386408,0.0011952699860557914
