map_family,map_size,map,slip,method_spec,method,first_hit_mode,first_hit_truncation_steps,first_hit_tail_tol,first_hit_used_steps_max,first_hit_used_steps_mean,first_hit_tail_bound_max,n_states,n_boundary,n_edges_valid,state_compression_ratio,transition_nnz_proxy,kernel_nnz,memory_compression_ratio,full_vi_iterations,full_vi_time_sec,full_vi_backup_count,construction_time_sec,kernel_time_sec,upfront_time_sec,smdp_iterations,smdp_solve_time_sec,smdp_edge_backup_count,compressed_total_time_sec,planning_time_speedup_vs_full_vi,total_time_speedup_vs_full_vi,backup_compression_ratio,start_gap,value_gap_max,occupancy_struct_hidden_distinct,occupancy_model_residual,struct_hidden_distinct_cvar95,error
maze,21,maze_21,0.0,endpoints,endpoints,adaptive,1024.0,1e-06,75.0,75.0,0.0,199,2.0,2.0,99.5,796.0,2.0,398.0,77.0,0.3191160319838673,61292.0,2.9232993256300688e-05,0.2874771939823404,0.2875064269755967,2.0,0.0001819129975046,4.0,0.2876883399731014,1754.2233724977734,1.1092421472962872,15323.0,1.7763568394002505e-14,1.7763568394002505e-14,19.0,1.1631894888597676,19.0,
maze,31,maze_31,0.05,coverage_sqrt,coverage_22,adaptive,1024.0,1e-06,114.0,53.87012987012987,9.937394244163597e-07,449,22.0,462.0,20.40909090909091,5380.0,763.0,7.051114023591087,196.0,1.895966333016986,352016.0,0.2853505829989444,377.9269011110009,378.2122516939999,8.0,0.0461974419886246,3696.0,378.2584491359885,41.04050465573044,0.0050123568616847,95.24242424242424,7.614613153350547e-07,9.876648618956096e-07,42.01908102278459,7.11518626027218,27.66789139796242,
corridor,256,corridor_256,0.1,endpoints,endpoints,adaptive,1024.0,1e-06,342.0,342.0,7.245044880825599e-07,256,2.0,2.0,128.0,3064.0,2.0,1532.0,341.0,1.6949587099952623,349184.0,3.478699363768101e-05,0.2385715460113715,0.2386063330050092,2.0,0.0001884239900391,4.0,0.2387947569950483,8995.45068355174,7.097972884012729,87296.0,8.284217756227008e-11,8.284217756227008e-11,0.0,0.341910445315026,0.0,
corridor,1024,corridor_1024,0.0,coverage_sqrt,coverage_32,adaptive,1024.0,1e-06,62.0,32.0,0.0,1024,32.0,990.0,32.0,4096.0,990.0,4.137373737373737,757.0,15.865134477993706,3100672.0,1.5218495560111478,29.269716334005352,30.7915658900165,28.0,0.3358761699928436,27720.0,31.127442060009344,47.23507022939953,0.5096832064584026,111.85685425685426,3.210914201190462e-09,3.210914201190462e-09,0.0,2.0816681711721682e-17,0.0,
open_room,24,open_room_24,0.1,betweenness_sqrt,betweenness_24,adaptive,1024.0,1e-06,83.0,15.67572463768116,9.79137460301936e-07,576,24.0,552.0,24.0,9200.0,4212.0,2.184235517568851,92.0,1.0853242529847194,211968.0,0.6045147409895435,10.060061042022426,10.66457578301197,56.0,0.3795019540120847,30912.0,11.044077737024054,2.8598647293135118,0.098272058457746,6.857142857142857,0.1761790734255619,0.2271428446737573,0.567723283864301,0.3031651997030931,0.0405516640907331,
four_rooms,21,four_rooms_21,0.05,graph_rd_surrogate_joint,graph_rd_surrogate_joint,adaptive,1024.0,1e-06,64.0,64.0,5.182809195708622e-07,404,2.0,2.0,202.0,6384.0,2.0,3192.0,71.0,0.5981793460086919,114736.0,2.5107810129993595,0.3386586639971938,2.8494396769965533,2.0,0.0001618319947738,4.0,2.849601508991327,3696.2984164208106,0.2099168406955361,28684.0,0.0980428218044124,0.0980428218044124,1.787200412988663,0.9554873303005784,1.787200412988663,
maze,21,maze_21,0.0,turn_articulation,turn_articulation,adaptive,1024.0,1e-06,13.0,2.215686274509804,0.0,199,52.0,2652.0,3.826923076923077,796.0,2652.0,0.3001508295625942,77.0,0.3161995119880885,61292.0,0.0019437230075709,4.031462488987017,4.033406211994588,35.0,1.144376153999474,92820.0,5.177782365994062,0.2763073233245944,0.0610685211616426,0.6603318250377074,7.105427357601002e-15,1.0658141036401504e-14,0.0,2.4424906541753446e-16,0.0,
maze,31,maze_31,0.1,endpoints,endpoints,adaptive,1024.0,1e-06,214.0,214.0,9.201331762269024e-07,449,2.0,2.0,224.5,5380.0,2.0,2690.0,221.0,2.005816448014229,396916.0,5.417701322585344e-05,2.4675529600062878,2.467607137019513,2.0,0.0002325490058865,4.0,2.4678396860254,8625.349484370032,0.8127823129567684,99229.0,3.1214213436214773e-09,3.1214213436214773e-09,43.00272236738107,1.362371054559004,43.00272330619744,
corridor,256,corridor_256,0.1,turn_articulation,turn_articulation,adaptive,1024.0,1e-06,342.0,342.0,7.245044880825599e-07,256,2.0,2.0,128.0,3064.0,2.0,1532.0,341.0,1.5385588189819828,349184.0,0.0039350750157609,0.2629837820131797,0.2669188570289407,2.0,0.0001425559748895,4.0,0.2670614130038302,10792.664566841684,5.761067470124996,87296.0,8.284217756227008e-11,8.284217756227008e-11,0.0,0.341910445315026,0.0,
corridor,1024,corridor_1024,0.05,endpoints,endpoints,adaptive,1024.0,1e-06,1024.0,1024.0,0.9999999999999531,1024,2.0,2.0,512.0,12280.0,0.0,12280.0,757.0,13.432472226035316,3100672.0,6.370595656335354e-05,2.340047317033168,2.3401110229897317,2.0,0.0001334699918515,4.0,2.340244492981583,100640.391444472,5.739773030689501,775168.0,3.228095124541141e-09,3.228095124541141e-09,0.0,0.1710624589203767,0.0,
