map,slip,gamma,candidate_kind,candidate_top_fraction,residual_kind,residual_top_fraction,soft_kind,soft_top_fraction,local_horizon,hidden_threshold,soft_threshold,residual_threshold,residual_threshold_mode,compute_struct_distinct,struct_mdl_node_cost_weight,struct_mdl_edge_cost_weight,struct_mdl_exposure_bit_weight,struct_mdl_min_gain,residual_reward_weight,residual_hit_weight,value_scale_task,soft_cost_weight,n_states,n_boundary,n_candidate_boundary,n_pair_options,n_edges_valid,invalid_hidden_count,hidden_mass_total,hidden_mass_max,soft_cost_all_total,soft_cost_valid_total,soft_cost_max,soft_over_threshold_count,model_residual_valid_total,model_residual_max,residual_threshold_metric_valid_total,residual_threshold_metric_max,residual_backup_value_norm_valid_total,residual_backup_value_norm_max,struct_hidden_prob_valid_total,struct_hidden_prob_max,struct_hidden_bits_valid_total,struct_hidden_bits_max,struct_hidden_distinct_valid_total,struct_hidden_distinct_max,struct_nohit_prob_max,beta_global,l_gamma_row_max,residual_hidden_mass_max,residual_over_threshold_count,feasible,start_value_smdp,start_value_primitive,start_gap,value_gap_max,start_best_option,policy_tv_total,policy_regions_total,policy_tv_mean,policy_regions_mean,target_policy_tv_total,target_policy_regions_total,target_policy_tv_mean,target_policy_regions_mean,hard_split_candidate_state,hard_split_candidate_coord,hard_split_candidate_score,residual_split_candidate_state,residual_split_candidate_coord,residual_split_candidate_score,struct_mdl_split_candidate_state,struct_mdl_split_candidate_coord,struct_mdl_split_gain,struct_mdl_split_benefit,struct_mdl_split_cost,soft_split_candidate_state,soft_split_candidate_coord,soft_split_candidate_score,description_length_proxy,method,method_family,eval_residual_lens,eval_soft_kind,constructor_stop,constructor_step,constructor_n_boundary,constructor_split_source,constructor_last_split_source,constructor_last_split_state,constructor_last_split_coord,constructor_last_split_score
open_room,0.0,0.97,fixed_endpoints,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,3.0,0.5,raw,True,1.0,0.5,1.0,0.0,0.05,0.0,8.75252910350239,1.0,35,2,2,2,2,0,0.0,0.0,2.4904621173091304,2.4904621173091304,1.5204621173091302,0,1.9677438641400955,0.9838719320700477,1.9677438641400955,0.9838719320700477,9.906246209127714,4.953123104563857,2.0,1.0,79.7262742772967,39.86313713864835,2.0,1.0,0.0,0.7374241268949282,8.752529103502386,1.0,2,True,-8.75252910350239,-8.75252910350239,0.0,0.0,fb_000_to_001,30.0,5.0,15.0,2.5,30.0,5.0,15.0,2.5,,,0.0,6,"(1, 7)",0.9838719320700477,,,-6.129283016944966,1.0,7.129283016944966,,,0.0,18.058205981449227,fixed_endpoints,fixed,turn_articulation,combined,fixed,0,2,fixed,fixed,,,0.0
open_room,0.0,0.97,fixed_bottleneck15,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,3.0,0.5,raw,True,1.0,0.5,1.0,0.0,0.05,0.0,8.75252910350239,1.0,35,7,7,42,42,0,0.0,0.0,6.789999999999999,6.789999999999999,0.97,0,6.491191747293739,0.9368327868125799,6.491191747293739,0.9368327868125799,41.94361710089962,6.179992539701409,7.0,1.0,279.0419599705384,39.86313713864835,7.0,1.0,0.0,0.97,6.400571840628997,1.0,7,True,-8.75252910350239,-8.75252910350239,0.0,8.881784197001252e-16,fb_000_to_001,696.0,138.0,16.571428571428573,3.2857142857142856,116.0,23.0,16.571428571428573,3.2857142857142856,,,0.0,28,"(5, 1)",3.6806933868559994,,,-8.129283016944967,4.0,12.129283016944967,,,0.0,105.08119174729374,fixed_bottleneck15,fixed,turn_articulation,combined,fixed,0,7,fixed,fixed,,,0.0
open_room,0.0,0.97,fixed_spectral25,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,3.0,0.5,raw,True,1.0,0.5,1.0,0.0,0.05,0.0,8.75252910350239,1.0,35,11,11,110,110,0,0.0,0.0,12.087451309562256,12.087451309562256,0.97,0,6.3209906634,0.9029986661999998,6.3209906634,0.9029986661999998,47.563950286232085,6.794850040890299,7.0,1.0,279.0419599705384,39.86313713864835,7.0,1.0,0.0,0.97,6.400571840628997,1.0,7,True,-8.75252910350239,-8.75252910350239,0.0,8.881784197001252e-16,fb_000_to_001,2340.0,380.0,21.272727272727273,3.4545454545454546,234.0,38.0,21.272727272727273,3.4545454545454546,,,0.0,6,"(1, 7)",3.611994664799999,,,-12.129283016944967,4.0,16.129283016944967,,,0.0,220.70844197296228,fixed_spectral25,fixed,turn_articulation,combined,fixed,0,11,fixed,fixed,,,0.0
open_room,0.0,0.97,fixed_turn_articulation,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,3.0,0.5,raw,True,1.0,0.5,1.0,0.0,0.05,0.0,8.75252910350239,1.0,35,4,4,12,12,0,0.0,0.0,7.3654870514,7.3654870514,1.882673,0,8.881784197001253e-17,2.2204460492503132e-17,8.881784197001253e-17,2.2204460492503132e-17,1.769318457215217e-15,4.4232961430380427e-16,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.8852928099999999,5.567599835699998,0.0,0,True,-8.75252910350239,-8.75252910350239,0.0,8.881784197001252e-16,fb_000_to_001,180.0,30.0,15.0,2.5,60.0,10.0,15.0,2.5,,,0.0,,,0.0,,,0.0,0.0,9.129283016944967,,,0.0,43.965487051400004,fixed_turn_articulation,fixed,turn_articulation,combined,fixed,0,4,fixed,fixed,,,0.0
open_room,0.0,0.97,learned_soft3,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,3.0,0.5,raw,True,1.0,0.5,1.0,0.0,0.05,0.0,8.75252910350239,1.0,35,2,2,2,2,0,0.0,0.0,2.4904621173091304,2.4904621173091304,1.5204621173091302,0,1.9677438641400955,0.9838719320700477,1.9677438641400955,0.9838719320700477,9.906246209127714,4.953123104563857,2.0,1.0,79.7262742772967,39.86313713864835,2.0,1.0,0.0,0.7374241268949282,8.752529103502386,1.0,2,True,-8.75252910350239,-8.75252910350239,0.0,0.0,fb_000_to_001,30.0,5.0,15.0,2.5,30.0,5.0,15.0,2.5,,,0.0,6,"(1, 7)",0.9838719320700477,,,-6.129283016944966,1.0,7.129283016944966,,,0.0,18.058205981449227,learned_soft3,learned,turn_articulation,combined,hybrid_threshold,0,2,none,none,,,0.0
open_room,0.0,0.97,learned_raw_residual12,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,3.0,0.5,raw,True,1.0,0.5,1.0,0.0,0.05,0.0,8.75252910350239,1.0,35,2,2,2,2,0,0.0,0.0,2.4904621173091304,2.4904621173091304,1.5204621173091302,0,1.9677438641400955,0.9838719320700477,1.9677438641400955,0.9838719320700477,9.906246209127714,4.953123104563857,2.0,1.0,79.7262742772967,39.86313713864835,2.0,1.0,0.0,0.7374241268949282,8.752529103502386,1.0,2,True,-8.75252910350239,-8.75252910350239,0.0,0.0,fb_000_to_001,30.0,5.0,15.0,2.5,30.0,5.0,15.0,2.5,,,0.0,6,"(1, 7)",0.9838719320700477,,,-6.129283016944966,1.0,7.129283016944966,,,0.0,18.058205981449227,learned_raw_residual12,learned,turn_articulation,combined,hybrid_threshold,0,2,none,none,,,0.0
open_room,0.0,0.97,learned_struct_mdl_e05,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,3.0,0.5,raw,True,1.0,0.5,1.0,0.0,0.05,0.0,8.75252910350239,1.0,35,2,2,2,2,0,0.0,0.0,2.4904621173091304,2.4904621173091304,1.5204621173091302,0,1.9677438641400955,0.9838719320700477,1.9677438641400955,0.9838719320700477,9.906246209127714,4.953123104563857,2.0,1.0,79.7262742772967,39.86313713864835,2.0,1.0,0.0,0.7374241268949282,8.752529103502386,1.0,2,True,-8.75252910350239,-8.75252910350239,0.0,0.0,fb_000_to_001,30.0,5.0,15.0,2.5,30.0,5.0,15.0,2.5,,,0.0,6,"(1, 7)",0.9838719320700477,,,-6.129283016944966,1.0,7.129283016944966,,,0.0,18.058205981449227,learned_struct_mdl_e05,learned,turn_articulation,combined,hybrid_threshold,0,2,none,none,,,0.0
open_room,0.05,0.97,fixed_endpoints,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,3.0,0.5,raw,True,1.0,0.5,1.0,0.0,0.05,0.0,9.19001272578314,1.0,35,2,2,2,2,0,0.0,0.0,3.355160423271827,3.355160423271827,3.337033911680864,1,1.8268889349209492,0.9134444674604748,1.8268889349209492,0.9134444674604748,8.89724917942481,4.448624589712409,1.8716729237761336,0.9358364618880669,7.92420498512203,3.962102492561017,1.8716729353559383,0.9358364676779691,0.0,0.7352825076218381,8.823916412605403,0.9358364618880669,2,True,-9.268811904277364,-9.19001272578314,0.07879917849422391,0.07879917849422391,fb_000_to_001,28.4,5.0,14.2,2.5,28.4,5.0,14.2,2.5,,,0.0,28,"(5, 1)",0.8548346381628471,,,-6.253493122708988,0.8757898942359785,7.129283016944966,30,"(5, 3)",0.8796588346772263,18.462049358192775,fixed_endpoints,fixed,turn_articulation,combined,fixed,0,2,fixed,fixed,,,0.0
open_room,0.05,0.97,fixed_bottleneck15,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,3.0,0.5,raw,True,1.0,0.5,1.0,0.0,0.05,0.0,9.19001272578314,1.0,35,7,7,42,42,0,0.0,0.0,4.196564241501148,4.196564241501148,1.0158966870159207,0,8.90141429192771,0.8688220352558216,8.90141429192771,0.8688220352558216,94.79357597512916,5.6135098503794145,6.578120769980377,0.935834802457103,27.772168723357865,3.962065181310187,6.578120769984272,0.9358348024572822,3.3306690738754696e-16,0.9694814858063253,6.428199710061379,0.935834802457103,7,True,-9.268811904242996,-9.19001272578314,0.07879917845985673,0.08312774603187645,fb_000_to_006,661.0,138.0,15.738095238095237,3.2857142857142856,110.16666666666666,23.0,15.738095238095237,3.2857142857142856,,,0.0,28,"(5, 1)",3.192655195506974,,,-8.626239965385103,3.5030430515598634,12.129283016944967,,,0.0,103.73131186676218,fixed_bottleneck15,fixed,turn_articulation,combined,fixed,0,7,fixed,fixed,,,0.0
open_room,0.05,0.97,fixed_spectral25,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,3.0,0.5,raw,True,1.0,0.5,1.0,0.0,0.05,0.0,9.19001272578314,1.0,35,11,11,110,110,0,0.0,0.0,15.637328984534568,15.637328984534568,2.9315827610216374,0,11.137691373334883,0.839075911040666,11.137691373334883,0.839075911040666,157.03461852975,6.419276164943362,7.276335654419747,0.9322292425336195,28.276972233727026,3.8831932933869986,7.27633565444286,0.9322292425336195,5.551115123125783e-16,0.97,6.192614758158394,0.9322292425336195,7,True,-9.268384276458697,-9.19001272578314,0.07837155067555734,0.082707354586117,fb_000_to_009,2218.999999999999,380.0,20.172727272727265,3.4545454545454546,221.89999999999998,38.0,20.172727272727272,3.4545454545454546,,,0.0,6,"(1, 7)",3.128826244091541,,,-12.64456132367216,3.484721693272806,16.129283016944967,,,0.0,226.65502035786946,fixed_spectral25,fixed,turn_articulation,combined,fixed,0,11,fixed,fixed,,,0.0
