map_family,map_size,map,planner,method_spec,method,iteration,n_states,n_boundary,state_compression_ratio,planning_backup_count,total_backup_count_proxy,planning_time_sec,total_time_sec,start_value_estimate,start_value_optimal,start_value_error,final_start_gap_floor,occupancy_struct_hidden_distinct,struct_hidden_distinct_cvar95,edge_count,kernel_nnz
maze,13,maze_13,full_vi,full_mdp,full_mdp,5,71,71,1.0,1420,1420,0.0048390000010840595,0.0048390000010840595,-4.708865809999999,-18.091389851581777,13.382524041581778,0.0,0.0,0.0,,
maze,13,maze_13,full_vi,full_mdp,full_mdp,8,71,71,1.0,2272,2272,0.0077136020408943295,0.0077136020408943295,-7.208554685410128,-18.091389851581777,10.882835166171649,0.0,0.0,0.0,,
maze,13,maze_13,full_vi,full_mdp,full_mdp,13,71,71,1.0,3692,3692,0.012444838997907937,0.012444838997907937,-10.899096994480832,-18.091389851581777,7.192292857100945,0.0,0.0,0.0,,
maze,13,maze_13,full_vi,full_mdp,full_mdp,21,71,71,1.0,5964,5964,0.02004504803335294,0.02004504803335294,-15.750649578701829,-18.091389851581777,2.3407402728799482,0.0,0.0,0.0,,
maze,13,maze_13,full_vi,full_mdp,full_mdp,34,71,71,1.0,9656,9656,0.03275044803740457,0.03275044803740457,-18.09116352796662,-18.091389851581777,0.00022632361515562138,0.0,0.0,0.0,,
maze,13,maze_13,full_vi,full_mdp,full_mdp,53,71,71,1.0,15052,15052,0.05088078405242413,0.05088078405242413,-18.091389851581777,-18.091389851581777,0.0,0.0,0.0,0.0,,
maze,13,maze_13,graph_smdp,endpoints,endpoints,1,71,2,35.5,2,4,5.863496335223317e-05,0.01901565893786028,-18.091389851581944,-18.091389851581777,1.6697754290362354e-13,1.6697754290362354e-13,6.000000094732837,6.000000094762004,2,2
maze,13,maze_13,graph_smdp,endpoints,endpoints,2,71,2,35.5,4,6,9.034195682033896e-05,0.019047365931328386,-18.091389851581944,-18.091389851581777,1.6697754290362354e-13,1.6697754290362354e-13,6.000000094732837,6.000000094762004,2,2
maze,13,maze_13,graph_smdp,betweenness_sqrt,betweenness_9,1,71,9,7.888888888888889,72,193,0.0005666430224664509,0.3719268789864145,-16.517036060823543,-18.091389851581777,1.5743537907582343,4.192202140984591e-13,5.000005494476323,4.999999999999995,72,121
maze,13,maze_13,graph_smdp,betweenness_sqrt,betweenness_9,2,71,9,7.888888888888889,144,265,0.001040144998114556,0.3724003809620626,-17.056105428323804,-18.091389851581777,1.0352844232579734,4.192202140984591e-13,5.000005494476323,4.999999999999995,72,121
maze,13,maze_13,graph_smdp,betweenness_sqrt,betweenness_9,3,71,9,7.888888888888889,216,337,0.0015732179745100439,0.3729334539384581,-17.56918140832061,-18.091389851581777,0.5222084432611673,4.192202140984591e-13,5.000005494476323,4.999999999999995,72,121
maze,13,maze_13,graph_smdp,betweenness_sqrt,betweenness_9,5,71,9,7.888888888888889,360,481,0.002560756984166801,0.37392099294811487,-18.07464580969903,-18.091389851581777,0.016744041882745364,4.192202140984591e-13,5.000005494476323,4.999999999999995,72,121
maze,13,maze_13,graph_smdp,betweenness_sqrt,betweenness_9,8,71,9,7.888888888888889,576,697,0.004049489973112941,0.375409725937061,-18.09135572373294,-18.091389851581777,3.41278488384944e-05,4.192202140984591e-13,5.000005494476323,4.999999999999995,72,121
maze,13,maze_13,graph_smdp,betweenness_sqrt,betweenness_9,13,71,9,7.888888888888889,936,1057,0.006400212994776666,0.37776044895872474,-18.09138983388387,-18.091389851581777,1.7697907139790914e-08,4.192202140984591e-13,5.000005494476323,4.999999999999995,72,121
maze,13,maze_13,graph_smdp,betweenness_sqrt,betweenness_9,19,71,9,7.888888888888889,1368,1489,0.009269647009205073,0.38062988297315314,-18.091389851581358,-18.091389851581777,4.192202140984591e-13,4.192202140984591e-13,5.000005494476323,4.999999999999995,72,121
maze,13,maze_13,graph_smdp,turn_articulation,turn_articulation,1,71,18,3.9444444444444446,306,852,0.0022948560072109103,0.42302802205085754,-2.085547560189942,-18.091389851581777,16.005842291391836,1.1475265182525618e-12,0.0,0.0,306,546
maze,13,maze_13,graph_smdp,turn_articulation,turn_articulation,2,71,18,3.9444444444444446,612,1158,0.0043859120341949165,0.42511907807784155,-4.056817412413025,-18.091389851581777,14.034572439168752,1.1475265182525618e-12,0.0,0.0,306,546
maze,13,maze_13,graph_smdp,turn_articulation,turn_articulation,3,71,18,3.9444444444444446,918,1464,0.006530477025080472,0.4272636430687271,-5.88854440425256,-18.091389851581777,12.202845447329217,1.1475265182525618e-12,0.0,0.0,306,546
maze,13,maze_13,graph_smdp,turn_articulation,turn_articulation,5,71,18,3.9444444444444446,1530,2076,0.010680397041141987,0.4314135630847886,-9.228699335944219,-18.091389851581777,8.862690515637558,1.1475265182525618e-12,0.0,0.0,306,546
maze,13,maze_13,graph_smdp,turn_articulation,turn_articulation,8,71,18,3.9444444444444446,2448,2994,0.016598065034486353,0.437331231078133,-13.497916506937079,-18.091389851581777,4.593473344644698,1.1475265182525618e-12,0.0,0.0,306,546
maze,13,maze_13,graph_smdp,turn_articulation,turn_articulation,13,71,18,3.9444444444444446,3978,4524,0.026562605053186417,0.44729577109683305,-18.091094654943554,-18.091389851581777,0.00029519663822341613,1.1475265182525618e-12,0.0,0.0,306,546
maze,13,maze_13,graph_smdp,turn_articulation,turn_articulation,18,71,18,3.9444444444444446,5508,6054,0.03637932101264596,0.4571124870562926,-18.09138985158063,-18.091389851581777,1.1475265182525618e-12,1.1475265182525618e-12,0.0,0.0,306,546
