map,slip,gamma,candidate_kind,candidate_top_fraction,residual_kind,residual_top_fraction,soft_kind,soft_top_fraction,local_horizon,hidden_threshold,soft_threshold,residual_threshold,residual_threshold_mode,compute_struct_distinct,struct_mdl_node_cost_weight,struct_mdl_edge_cost_weight,struct_mdl_exposure_bit_weight,struct_mdl_min_gain,residual_reward_weight,residual_hit_weight,value_scale_task,soft_cost_weight,n_states,n_boundary,n_candidate_boundary,n_pair_options,n_edges_valid,invalid_hidden_count,hidden_mass_total,hidden_mass_max,soft_cost_all_total,soft_cost_valid_total,soft_cost_max,soft_over_threshold_count,model_residual_valid_total,model_residual_max,residual_threshold_metric_valid_total,residual_threshold_metric_max,residual_backup_value_norm_valid_total,residual_backup_value_norm_max,struct_hidden_prob_valid_total,struct_hidden_prob_max,struct_hidden_bits_valid_total,struct_hidden_bits_max,struct_hidden_distinct_valid_total,struct_hidden_distinct_max,struct_nohit_prob_max,beta_global,l_gamma_row_max,residual_hidden_mass_max,residual_over_threshold_count,feasible,start_value_smdp,start_value_primitive,start_gap,value_gap_max,start_best_option,policy_tv_total,policy_regions_total,policy_tv_mean,policy_regions_mean,target_policy_tv_total,target_policy_regions_total,target_policy_tv_mean,target_policy_regions_mean,hard_split_candidate_state,hard_split_candidate_coord,hard_split_candidate_score,residual_split_candidate_state,residual_split_candidate_coord,residual_split_candidate_score,struct_mdl_split_candidate_state,struct_mdl_split_candidate_coord,struct_mdl_split_gain,struct_mdl_split_benefit,struct_mdl_split_cost,soft_split_candidate_state,soft_split_candidate_coord,soft_split_candidate_score,description_length_proxy,method,method_family,eval_residual_lens,eval_soft_kind,constructor_stop,constructor_step,constructor_n_boundary,constructor_split_source,constructor_last_split_source,constructor_last_split_state,constructor_last_split_coord,constructor_last_split_score,struct_hidden_distinct_per_edge,soft_cost_per_edge,target_policy_tv_per_edge,description_length_per_edge,description_length_per_boundary
open_room,0.0,0.97,fixed_endpoints,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,3.0,0.5,raw,True,1.0,0.5,1.0,0.0,0.05,0.0,8.75252910350239,1.0,35,2,2,2,2,0,0.0,0.0,2.4904621173091304,2.4904621173091304,1.5204621173091302,0,1.9677438641400955,0.9838719320700477,1.9677438641400955,0.9838719320700477,9.906246209127714,4.953123104563857,2.0,1.0,79.7262742772967,39.86313713864835,2.0,1.0,0.0,0.7374241268949282,8.752529103502386,1.0,2,True,-8.75252910350239,-8.75252910350239,0.0,0.0,fb_000_to_001,30.0,5.0,15.0,2.5,30.0,5.0,15.0,2.5,,,0.0,6,"(1, 7)",0.9838719320700477,,,-6.129283016944966,1.0,7.129283016944966,,,0.0,18.058205981449227,fixed_endpoints,fixed,turn_articulation,combined,fixed,0,2,fixed,fixed,,,0.0,1.0,1.2452310586545652,15.0,9.029102990724613,9.029102990724613
open_room,0.0,0.97,fixed_bottleneck15,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,3.0,0.5,raw,True,1.0,0.5,1.0,0.0,0.05,0.0,8.75252910350239,1.0,35,7,7,42,42,0,0.0,0.0,6.789999999999999,6.789999999999999,0.97,0,6.491191747293739,0.9368327868125799,6.491191747293739,0.9368327868125799,41.94361710089962,6.179992539701409,7.0,1.0,279.0419599705384,39.86313713864835,7.0,1.0,0.0,0.97,6.400571840628997,1.0,7,True,-8.75252910350239,-8.75252910350239,0.0,8.881784197001252e-16,fb_000_to_001,696.0,138.0,16.571428571428573,3.2857142857142856,116.0,23.0,16.571428571428573,3.2857142857142856,,,0.0,28,"(5, 1)",3.6806933868559994,,,-8.129283016944967,4.0,12.129283016944967,,,0.0,105.08119174729374,fixed_bottleneck15,fixed,turn_articulation,combined,fixed,0,7,fixed,fixed,,,0.0,0.16666666666666666,0.16166666666666665,2.761904761904762,2.5019331368403273,15.011598821041963
open_room,0.0,0.97,fixed_spectral25,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,3.0,0.5,raw,True,1.0,0.5,1.0,0.0,0.05,0.0,8.75252910350239,1.0,35,11,11,110,110,0,0.0,0.0,12.087451309562256,12.087451309562256,0.97,0,6.3209906634,0.9029986661999998,6.3209906634,0.9029986661999998,47.563950286232085,6.794850040890299,7.0,1.0,279.0419599705384,39.86313713864835,7.0,1.0,0.0,0.97,6.400571840628997,1.0,7,True,-8.75252910350239,-8.75252910350239,0.0,8.881784197001252e-16,fb_000_to_001,2340.0,380.0,21.272727272727273,3.4545454545454546,234.0,38.0,21.272727272727273,3.4545454545454546,,,0.0,6,"(1, 7)",3.611994664799999,,,-12.129283016944967,4.0,16.129283016944967,,,0.0,220.70844197296228,fixed_spectral25,fixed,turn_articulation,combined,fixed,0,11,fixed,fixed,,,0.0,0.06363636363636363,0.10988592099602051,2.1272727272727274,2.0064403815723844,20.064403815723843
open_room,0.0,0.97,fixed_eigen_extrema4,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,3.0,0.5,raw,True,1.0,0.5,1.0,0.0,0.05,0.0,8.75252910350239,1.0,35,4,4,12,12,0,0.0,0.0,5.49596568956226,5.49596568956226,1.6159656895622598,0,2.091342187416405,1.0456710937082025,2.091342187416405,1.0456710937082025,12.783536484506582,6.391768242253291,2.0,1.0,79.7262742772967,39.86313713864835,2.0,1.0,0.0,0.9409,7.208554685410126,1.0,2,True,-8.75252910350239,-8.75252910350239,0.0,8.881784197001252e-16,fb_000_to_001,258.0,33.0,21.5,2.75,86.0,11.0,21.5,2.75,,,0.0,6,"(1, 7)",1.0456710937082025,,,-8.129283016944967,1.0,9.129283016944967,,,0.0,49.88730787697867,fixed_eigen_extrema4,fixed,turn_articulation,combined,fixed,0,4,fixed,fixed,,,0.0,0.16666666666666666,0.457997140796855,7.166666666666667,4.157275656414889,12.471826969244667
open_room,0.0,0.97,fixed_eigen_extrema8,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,3.0,0.5,raw,True,1.0,0.5,1.0,0.0,0.05,0.0,8.75252910350239,1.0,35,8,8,56,56,0,0.0,0.0,17.943078429999996,17.943078429999996,0.97,0,5.8661859486,0.9956773161999999,5.8661859486,0.9956773161999999,59.92859702011493,11.682221496505315,6.0,1.0,239.17882283189007,39.86313713864835,6.0,1.0,0.0,0.97,6.400571840628997,1.0,6,True,-8.75252910350239,-8.75252910350239,0.0,8.881784197001252e-16,fb_000_to_001,1078.0,175.0,19.25,3.125,154.0,25.0,19.25,3.125,,,0.0,28,"(5, 1)",2.9870319485999994,,,-10.129283016944967,3.0,13.129283016944967,,,0.0,140.90926437859997,fixed_eigen_extrema8,fixed,turn_articulation,combined,fixed,0,8,fixed,fixed,,,0.0,0.10714285714285714,0.3204121148214285,2.75,2.516236863903571,17.613658047324996
open_room,0.0,0.97,fixed_eigen_extrema12,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,3.0,0.5,raw,True,1.0,0.5,1.0,0.0,0.05,0.0,8.75252910350239,1.0,35,12,12,132,132,0,0.0,0.0,28.324697429999993,28.324697429999993,0.97,0,5.8661859486,0.9956773161999999,5.8661859486,0.9956773161999999,59.92859702011493,11.682221496505315,6.0,1.0,239.17882283189007,39.86313713864835,6.0,1.0,0.0,0.97,4.708865809999999,1.0,6,True,-8.75252910350239,-8.75252910350239,0.0,8.881784197001252e-16,fb_000_to_001,3014.0,451.0,22.833333333333332,3.4166666666666665,274.0,41.0,22.833333333333332,3.4166666666666665,,,0.0,28,"(5, 1)",2.9870319485999994,,,-14.129283016944967,3.0,17.129283016944967,,,0.0,271.0908833786,fixed_eigen_extrema12,fixed,turn_articulation,combined,fixed,0,12,fixed,fixed,,,0.0,0.045454545454545456,0.2145810411363636,2.0757575757575757,2.053718813474242,22.590906948216666
open_room,0.0,0.97,fixed_coverage8,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,3.0,0.5,raw,True,1.0,0.5,1.0,0.0,0.05,0.0,8.75252910350239,1.0,35,8,8,56,56,0,0.0,0.0,20.69626946729126,20.69626946729126,2.6035576249289996,0,2.7089959986,0.9029986661999999,2.7089959986,0.9029986661999999,20.3845501226709,6.794850040890299,3.0,1.0,119.58941141594505,39.86313713864835,3.0,1.0,0.0,0.9409,7.992298044847823,1.0,3,True,-8.75252910350239,-8.75252910350239,0.0,1.7763568394002505e-15,fb_000_to_001,1176.0,182.0,21.0,3.25,168.0,26.0,21.0,3.25,,,0.0,6,"(1, 7)",2.7089959986,,,-10.129283016944967,3.0,13.129283016944967,,,0.0,143.80526546589127,fixed_coverage8,fixed,turn_articulation,combined,fixed,0,8,fixed,fixed,,,0.0,0.05357142857142857,0.3695762404873439,3.0,2.5679511690337726,17.97565818323641
open_room,0.0,0.97,fixed_coverage12,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,3.0,0.5,raw,True,1.0,0.5,1.0,0.0,0.05,0.0,8.75252910350239,1.0,35,12,12,132,132,0,0.0,0.0,27.758452412362256,27.758452412362256,1.882673,0,2.9682,0.9894,2.9682,0.9894,53.387061417411665,17.795687139137222,3.0,1.0,119.58941141594505,39.86313713864835,3.0,1.0,0.0,0.9409,7.208554685410126,1.0,3,True,-8.75252910350239,-8.75252910350239,0.0,8.881784197001252e-16,fb_000_to_001,3124.0,440.0,23.666666666666668,3.3333333333333335,284.0,40.0,23.666666666666668,3.3333333333333335,,,0.0,6,"(1, 7)",2.9682,,,-14.129283016944967,3.0,17.129283016944967,,,0.0,269.12665241236226,fixed_coverage12,fixed,turn_articulation,combined,fixed,0,12,fixed,fixed,,,0.0,0.022727272727272728,0.2102913061542595,2.1515151515151514,2.038838275851229,22.427221034363523
open_room,0.0,0.97,learned_raw_residual12,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,3.0,0.5,raw,True,1.0,0.5,1.0,0.0,0.05,0.0,8.75252910350239,1.0,35,2,2,2,2,0,0.0,0.0,2.4904621173091304,2.4904621173091304,1.5204621173091302,0,1.9677438641400955,0.9838719320700477,1.9677438641400955,0.9838719320700477,9.906246209127714,4.953123104563857,2.0,1.0,79.7262742772967,39.86313713864835,2.0,1.0,0.0,0.7374241268949282,8.752529103502386,1.0,2,True,-8.75252910350239,-8.75252910350239,0.0,0.0,fb_000_to_001,30.0,5.0,15.0,2.5,30.0,5.0,15.0,2.5,,,0.0,6,"(1, 7)",0.9838719320700477,,,-6.129283016944966,1.0,7.129283016944966,,,0.0,18.058205981449227,learned_raw_residual12,learned,turn_articulation,combined,hybrid_threshold,0,2,none,none,,,0.0,1.0,1.2452310586545652,15.0,9.029102990724613,9.029102990724613
open_room,0.0,0.97,learned_struct_mdl_e05,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,3.0,0.5,raw,True,1.0,0.5,1.0,0.0,0.05,0.0,8.75252910350239,1.0,35,2,2,2,2,0,0.0,0.0,2.4904621173091304,2.4904621173091304,1.5204621173091302,0,1.9677438641400955,0.9838719320700477,1.9677438641400955,0.9838719320700477,9.906246209127714,4.953123104563857,2.0,1.0,79.7262742772967,39.86313713864835,2.0,1.0,0.0,0.7374241268949282,8.752529103502386,1.0,2,True,-8.75252910350239,-8.75252910350239,0.0,0.0,fb_000_to_001,30.0,5.0,15.0,2.5,30.0,5.0,15.0,2.5,,,0.0,6,"(1, 7)",0.9838719320700477,,,-6.129283016944966,1.0,7.129283016944966,,,0.0,18.058205981449227,learned_struct_mdl_e05,learned,turn_articulation,combined,hybrid_threshold,0,2,none,none,,,0.0,1.0,1.2452310586545652,15.0,9.029102990724613,9.029102990724613
