map,step,k_steps,n_boundary,n_candidates,n_active_edges,mean_abs_score_error,max_abs_score_error,l1_score_error,exact_top_state,approx_top_state,top1_match,exact_top_score,approx_top_score,time_truncated_green_sec
maze_13,0,1,2,16,2,0.012187499999999976,0.09749999999999992,0.19499999999999962,57,13,False,0.9999999999999999,0.9025,0.001221350976265967
maze_13,0,2,2,16,2,0.0037265624999999747,0.03733333333333322,0.059624999999999595,57,13,False,0.9999999999999999,0.9777083333333333,0.0011944309808313847
maze_13,0,4,2,16,2,0.0001492050057870094,0.0018015740740739972,0.0023872800925921504,57,13,False,0.9999999999999999,0.9994142939814815,0.0011069999891333282
maze_13,0,8,2,16,2,4.0179755096698183e-07,5.975211169628736e-06,6.428760815471709e-06,57,13,False,0.9999999999999999,0.9999995464503538,0.0011752130230888724
maze_13,0,16,2,16,2,7.30929206054981e-12,1.166647889405681e-10,1.1694867296879696e-10,57,13,False,0.9999999999999999,0.9999999999997158,0.0011372769949957728
maze_13,0,32,2,16,2,2.081668171172181e-17,3.3306690738754696e-16,3.33066907387549e-16,57,13,False,0.9999999999999999,1.0,0.0013133239699527621
maze_13,1,1,3,15,2,0.06666666624095723,0.9999999936143584,0.9999999936143584,17,3,False,0.9999999936143584,0.0,0.0011578419944271445
maze_13,1,2,3,15,2,0.06666666624095723,0.9999999936143584,0.9999999936143584,17,3,False,0.9999999936143584,0.0,0.0011718780151568353
maze_13,1,4,3,15,2,0.0051072472239027,0.0766087083585405,0.0766087083585405,17,17,True,0.9999999936143584,0.9233912852558179,0.0010707040200941265
maze_13,1,8,3,15,2,2.1283856350917674e-05,0.0003192578452637651,0.0003192578452637651,17,17,True,0.9999999936143584,0.9996807357690947,0.0011734860017895699
maze_13,1,16,3,15,2,3.3453228335626285e-10,5.017984250343943e-09,5.017984250343943e-09,17,17,True,0.9999999936143584,0.9999999885963742,0.0011325619998387992
maze_13,1,32,3,15,2,2.2204460492503132e-17,3.3306690738754696e-16,3.3306690738754696e-16,17,17,True,0.9999999936143584,0.9999999936143588,0.0014058270025998354
maze_13,2,1,4,14,6,0.0,0.0,0.0,3,3,True,0.0,0.0,0.003340772003866732
maze_13,2,2,4,14,6,0.0,0.0,0.0,3,3,True,0.0,0.0,0.0032674410031177104
maze_13,2,4,4,14,6,0.0,0.0,0.0,3,3,True,0.0,0.0,0.003257369971834123
maze_13,2,8,4,14,6,0.0,0.0,0.0,3,3,True,0.0,0.0,0.0036121669691056013
maze_13,2,16,4,14,6,0.0,0.0,0.0,3,3,True,0.0,0.0,0.0036262700450606644
maze_13,2,32,4,14,6,0.0,0.0,0.0,3,3,True,0.0,0.0,0.004025292000733316
maze_13,3,1,5,13,12,0.0,0.0,0.0,5,5,True,0.0,0.0,0.006653807999100536
maze_13,3,2,5,13,12,0.0,0.0,0.0,5,5,True,0.0,0.0,0.006471025000791997
maze_13,3,4,5,13,12,0.0,0.0,0.0,5,5,True,0.0,0.0,0.006798729009460658
maze_13,3,8,5,13,12,0.0,0.0,0.0,5,5,True,0.0,0.0,0.012687634967733175
maze_13,3,16,5,13,12,0.0,0.0,0.0,5,5,True,0.0,0.0,0.01072859502164647
maze_13,3,32,5,13,12,0.0,0.0,0.0,5,5,True,0.0,0.0,0.007870629022363573
maze_13,4,1,6,12,5,1.109470853131468e-14,1.3313650237577616e-13,1.3313650237577616e-13,53,8,False,1.3313650237577616e-13,0.0,0.0029542300035245717
maze_13,4,2,6,12,5,1.109470853131468e-14,1.3313650237577616e-13,1.3313650237577616e-13,53,8,False,1.3313650237577616e-13,0.0,0.002823638031259179
maze_13,4,4,6,12,5,1.109470853131468e-14,1.3313650237577616e-13,1.3313650237577616e-13,53,8,False,1.3313650237577616e-13,0.0,0.002698639000300318
maze_13,4,8,6,12,5,1.7685934036414496e-15,2.1223120843697394e-14,2.1223120843697394e-14,53,53,True,1.3313650237577616e-13,1.1191338153207877e-13,0.0029209440108388662
