map,step,candidate_state,candidate_coord,n_boundary,n_candidates_considered,n_active_edges,contributing_edges,lambda_struct,edge_weight,linear_delta,raw_hidden_score,random_score,spectral_score,betweenness_score,value_gradient_score,degree_score,bits_fd_delta,bits_grad_delta,grad_minus_fd,grad_abs_error,grad_abs_error_bound,rate_delta,linear_operator_score,bits_fd_operator_score,bits_grad_operator_score,frozen_recompute_score,fd_minus_frozen,frozen_objective_before,frozen_objective_after,frozen_linear_before,frozen_linear_after,frozen_bits_before,frozen_bits_after,rate_only_score,rate_only_drift,occupancy_only_score,occupancy_drift,edge_only_score,edge_drift,edge_option_uniform_score,edge_option_uniform_drift,actual_recompute_score,actual_rate_delta,adaptive_drift,adaptive_drift_rate,adaptive_drift_bits,adaptive_drift_linear,actual_objective_before,actual_objective_after,actual_linear_before,actual_linear_after,actual_bits_before,actual_bits_after,time_base_eval_sec,time_operator_score_sec,time_recompute_total_sec,recompute_speedup_proxy,linear_rank,bits_fd_rank,bits_grad_rank,raw_hidden_rank,random_rank,spectral_rank,betweenness_rank,value_gradient_rank,degree_rank,frozen_rank
maze_13,0,57,"(9, 11)",2,16,2,1,8.0,occupancy_or_uniform,0.9999999999999999,0.9999999999999999,0.006767931602118375,0.6221574023043036,1.0,0.9835707769684053,1.0,38.863153096186004,721355499256.713,721355499217.8499,721355499217.8499,1.8034086953929946e+23,7.108524456778135,0.8914755432218637,303.7967003127099,5770843994046.596,303.7967003127099,0.0,658.430449538953,354.6337492262431,1.9999999999999996,0.9999999999999997,77.72630619236912,38.86315309618312,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,658.430449538953,nan,1.9999999999999996,nan,77.72630619236912,nan,0.06386973400367424,0.10298577498178929,0.0,nan,1,2,1,1,4,3,1,1,3,2
maze_13,0,13,"(3, 1)",2,16,2,1,8.0,occupancy_or_uniform,0.9999999999999997,0.9999999999999997,0.006562176368313355,0.1948122213014446,0.08585858585858587,0.5037925955635272,0.6666666666666666,38.863153096186004,721355499256.7129,721355499217.8497,721355499217.8497,1.803408695392994e+23,7.108524456778135,0.891475543221862,303.7967003127099,5770843994046.595,303.7967003127099,0.0,658.430449538953,354.6337492262431,1.9999999999999996,0.9999999999999999,77.72630619236912,38.86315309618312,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,658.430449538953,nan,1.9999999999999996,nan,77.72630619236912,nan,0.06386973400367424,0.10298577498178929,0.0,nan,2,1,2,2,9,14,15,14,6,1
maze_13,0,60,"(11, 1)",2,16,2,0,8.0,occupancy_or_uniform,0.0,0.0,0.0067216187931198315,0.6020970283692116,0.5909090909090909,0.7456471423771154,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,7.108524456778135,-7.108524456778135,-7.108524456778135,-7.108524456778135,-7.108524456778127,-7.993605777301127e-15,658.430449538953,665.5389739957311,1.9999999999999996,1.9999999999999996,77.72630619236912,77.72630619236912,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,658.430449538953,nan,1.9999999999999996,nan,77.72630619236912,nan,0.06386973400367424,0.10298577498178929,0.0,nan,16,16,16,16,8,5,3,5,16,16
maze_13,0,3,"(1, 5)",2,16,2,0,8.0,occupancy_or_uniform,0.0,0.0,0.6918343483785597,0.4616199342162464,0.3888888888888889,0.6229660478206478,1.0,0.0,0.0,0.0,0.0,0.0,7.108524456778135,-7.108524456778135,-7.108524456778135,-7.108524456778135,-7.108524456778127,-7.993605777301127e-15,658.430449538953,665.5389739957311,1.9999999999999996,1.9999999999999996,77.72630619236912,77.72630619236912,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,658.430449538953,nan,1.9999999999999996,nan,77.72630619236912,nan,0.06386973400367424,0.10298577498178929,0.0,nan,3,3,3,3,2,9,7,10,1,3
maze_13,0,5,"(1, 7)",2,16,2,0,8.0,occupancy_or_uniform,0.0,0.0,0.6918347060064286,0.20462749353729714,0.4393939393939394,0.6541770784193681,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,7.108524456778135,-7.108524456778135,-7.108524456778135,-7.108524456778135,-7.108524456778127,-7.993605777301127e-15,658.430449538953,665.5389739957311,1.9999999999999996,1.9999999999999996,77.72630619236912,77.72630619236912,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,658.430449538953,nan,1.9999999999999996,nan,77.72630619236912,nan,0.06386973400367424,0.10298577498178929,0.0,nan,4,4,4,4,1,13,4,8,4,4
maze_13,0,8,"(1, 11)",2,16,2,0,8.0,occupancy_or_uniform,0.0,0.0,0.6918340503553357,0.3866863773244428,0.08585858585858587,0.6538095115881212,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,7.108524456778135,-7.108524456778135,-7.108524456778135,-7.108524456778135,-7.108524456778127,-7.993605777301127e-15,658.430449538953,665.5389739957311,1.9999999999999996,1.9999999999999996,77.72630619236912,77.72630619236912,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,658.430449538953,nan,1.9999999999999996,nan,77.72630619236912,nan,0.06386973400367424,0.10298577498178929,0.0,nan,5,5,5,5,3,10,14,9,5,5
maze_13,0,17,"(3, 5)",2,16,2,0,8.0,occupancy_or_uniform,0.0,0.0,0.00656193794973416,0.6132550074032841,0.24242424242424243,0.5739227443004137,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,7.108524456778135,-7.108524456778135,-7.108524456778135,-7.108524456778135,-7.108524456778127,-7.993605777301127e-15,658.430449538953,665.5389739957311,1.9999999999999996,1.9999999999999996,77.72630619236912,77.72630619236912,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,658.430449538953,nan,1.9999999999999996,nan,77.72630619236912,nan,0.06386973400367424,0.10298577498178929,0.0,nan,6,6,6,6,10,4,10,12,7,6
maze_13,0,19,"(3, 9)",2,16,2,0,8.0,occupancy_or_uniform,0.0,0.0,0.006561818740444561,1.0,0.24242424242424243,0.7448226759280552,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,7.108524456778135,-7.108524456778135,-7.108524456778135,-7.108524456778135,-7.108524456778127,-7.993605777301127e-15,658.430449538953,665.5389739957311,1.9999999999999996,1.9999999999999996,77.72630619236912,77.72630619236912,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,658.430449538953,nan,1.9999999999999996,nan,77.72630619236912,nan,0.06386973400367424,0.10298577498178929,0.0,nan,7,7,7,7,11,1,11,6,8,7
maze_13,0,21,"(3, 11)",2,16,2,0,8.0,occupancy_or_uniform,0.0,0.0,0.006508412978714941,0.8668043025191005,0.16666666666666666,0.6978354472425541,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,7.108524456778135,-7.108524456778135,-7.108524456778135,-7.108524456778135,-7.108524456778127,-7.993605777301127e-15,658.430449538953,665.5389739957311,1.9999999999999996,1.9999999999999996,77.72630619236912,77.72630619236912,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,658.430449538953,nan,1.9999999999999996,nan,77.72630619236912,nan,0.06386973400367424,0.10298577498178929,0.0,nan,8,8,8,8,13,2,12,7,9,8
maze_13,0,24,"(5, 1)",2,16,2,0,8.0,occupancy_or_uniform,0.0,0.0,0.0065087110019389355,0.12413234135695071,0.4393939393939394,0.613244648735603,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,7.108524456778135,-7.108524456778135,-7.108524456778135,-7.108524456778135,-7.108524456778127,-7.993605777301127e-15,658.430449538953,665.5389739957311,1.9999999999999996,1.9999999999999996,77.72630619236912,77.72630619236912,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,658.430449538953,nan,1.9999999999999996,nan,77.72630619236912,nan,0.06386973400367424,0.10298577498178929,0.0,nan,9,9,9,9,12,16,5,11,10,9
