map_family,map_size,map,method_spec,method,n_states,n_boundary,n_edges_valid,state_compression_ratio,transition_nnz_proxy,kernel_nnz,memory_compression_ratio,full_vi_iterations,full_vi_time_sec,full_vi_backup_count,full_pi_iterations,full_pi_time_sec,full_pi_improvement_backup_count,construction_time_sec,kernel_time_sec,smdp_iterations,smdp_solve_time_sec,smdp_edge_backup_count,compressed_total_time_sec,planning_time_speedup_vs_full_vi,total_time_speedup_vs_full_vi,backup_compression_ratio,start_gap,value_gap_max,occupancy_struct_hidden_distinct,occupancy_model_residual,struct_hidden_distinct_cvar95
corridor,16,corridor_16,endpoints,endpoints,16,2,2,8.0,184,2,92.0,36,0.010043921996839345,2304,3,0.0011366279795765877,192,5.403999239206314e-06,0.0022973479935899377,2,8.582900045439601e-05,4,0.00238858099328354,117.0224742646984,4.204974428366418,576.0,3.809041970725957e-11,3.809041970725957e-11,0.0,0.1448150658968316,0.0
corridor,16,corridor_16,betweenness_sqrt,betweenness_4,16,4,12,4.0,184,14,13.142857142857142,36,0.00915818300563842,2304,3,0.0011366279795765877,192,0.00047179695684462786,0.006968082976527512,20,0.0018516829586587846,240,0.009291562892030925,4.9458698978749025,0.9856450536963055,9.6,2.4725110847612086e-11,2.4725110847612086e-11,0.0,0.33991020920222936,0.0
corridor,16,corridor_16,eigenoptions_sqrt,eigenoptions_4,16,4,12,4.0,184,16,11.5,36,0.009196033992338926,2304,3,0.0011366279795765877,192,0.00024245900567620993,0.006869036005809903,26,0.002395311021246016,312,0.009506806032732129,3.8391815972003687,0.9673105731490462,7.384615384615385,2.332356530132529e-11,2.332356530132529e-11,0.0,0.30547556621455985,0.0
corridor,16,corridor_16,turn_articulation,turn_articulation,16,2,2,8.0,184,2,92.0,36,0.009144471026957035,2304,3,0.0011366279795765877,192,0.00019323098240420222,0.002114136004820466,2,8.32210062071681e-05,4,0.0023905879934318364,109.8817647577228,3.825197420919689,576.0,3.809041970725957e-11,3.809041970725957e-11,0.0,0.1448150658968316,0.0
corridor,32,corridor_32,endpoints,endpoints,32,2,2,16.0,376,2,188.0,57,0.029560208960901946,7296,3,0.0018808459863066673,384,6.66396226733923e-06,0.004120476020034403,2,9.252602467313409e-05,4,0.004219666006974876,319.4799416199826,7.005343293056973,1824.0,2.091127271341975e-11,2.091127271341975e-11,0.0,0.15547816013488003,0.0
corridor,32,corridor_32,betweenness_sqrt,betweenness_6,32,6,30,5.333333333333333,376,42,8.952380952380953,57,0.02975089702522382,7296,3,0.0018808459863066673,384,0.0012614349834620953,0.02466174605069682,33,0.00693949603009969,990,0.032862677064258605,4.287184097545544,0.9053095999163394,7.36969696969697,1.4097167877480388e-11,1.4097167877480388e-11,0.0,0.4873922967642039,0.0
corridor,32,corridor_32,eigenoptions_sqrt,eigenoptions_6,32,6,30,5.333333333333333,376,42,8.952380952380953,57,0.029648393974639475,7296,3,0.0018808459863066673,384,0.0002465040306560695,0.024567586020566523,43,0.00874202698469162,1290,0.03355611703591421,3.391478203688631,0.8835466255796997,5.655813953488372,1.8953727476400672e-11,1.8953727476400672e-11,0.0,0.5798539518507,0.0
corridor,32,corridor_32,turn_articulation,turn_articulation,32,2,2,16.0,376,2,188.0,57,0.02954697801033035,7296,3,0.0018808459863066673,384,0.0002680540201254189,0.0038826860254630446,2,9.048799984157085e-05,4,0.004241228045430034,326.52924213223963,6.966609126846531,1824.0,2.091127271341975e-11,2.091127271341975e-11,0.0,0.15547816013488003,0.0
corridor,64,corridor_64,endpoints,endpoints,64,2,2,32.0,760,2,380.0,95,0.10048669803654775,24320,5,0.005942980002146214,1280,8.856994099915028e-06,0.008929415955208242,2,8.48530326038599e-05,4,0.009023125981912017,1184.2440388156108,11.136572650984359,6080.0,3.375077994860476e-11,3.375077994860476e-11,0.0,0.16556844887303046,0.0
corridor,64,corridor_64,betweenness_sqrt,betweenness_8,64,8,56,8.0,760,86,8.837209302325581,95,0.10339551401557401,24320,5,0.005942980002146214,1280,0.0042391360038891435,0.08973506302572787,51,0.019407010986469686,2856,0.1133812100160867,5.327740273227032,0.9119281228424365,8.515406162464986,1.829647544582258e-11,1.829647544582258e-11,0.0,0.6410575623358856,0.0
corridor,64,corridor_64,eigenoptions_sqrt,eigenoptions_8,64,8,56,8.0,760,74,10.27027027027027,95,0.10191252297954634,24320,5,0.005942980002146214,1280,0.0006557430024258792,0.08632639900315553,74,0.027588111988734454,4144,0.11457025399431586,3.694073846777268,0.889519918360332,5.8687258687258685,2.952660338451096e-11,2.952660338451096e-11,0.0,0.8671000257589969,0.0
corridor,64,corridor_64,turn_articulation,turn_articulation,64,2,2,32.0,760,2,380.0,95,0.10174191801343113,24320,5,0.005942980002146214,1280,0.00048459996469318867,0.008823668991681188,2,9.496003622189164e-05,4,0.009403228992596269,1071.4182730058399,10.819891559967187,6080.0,3.375077994860476e-11,3.375077994860476e-11,0.0,0.16556844887303046,0.0
open_room,6,open_room_6,endpoints,endpoints,36,2,2,18.0,560,2,280.0,32,0.019313640019390732,4608,4,0.002814996987581253,576,7.36600486561656e-06,0.0048125890316441655,2,8.396600605919957e-05,4,0.004903921042568982,230.0173716226755,3.938407623560153,1152.0,0.04010971084580994,0.04010971084580994,0.9210303778890765,0.855732878840189,0.9210303778890765
