method,n_rows,feasible_rate,median_n_boundary,median_state_compression_ratio,median_selection_time_sec,median_kernel_time_sec,median_total_speedup,median_break_even_tasks,max_group_total_violation,max_start_gap,max_tail_bound
endpoints,2,0.0,2.0,15.5,0.0,0.006828209006926045,2.494083738945595,1.0,233.17891857710737,3.332447384707393e-08,7.861753051785034e-07
group_constrained_incremental,2,1.0,3.0,10.333333333333334,0.30345606297487393,0.01196396749583073,0.05423734233068492,20.5,0.0,2.1673040428993318e-07,9.596638070188427e-07
group_constrained_operator,2,0.5,3.0,10.333333333333334,3.323089514480671,0.012063894013408571,0.00823829269925586,190.5,116.58945928855368,1.632646995375353e-07,8.511149245322917e-07
