map_family,map_size,map,slip,method,budget_frac,n_states,n_basis,n_boundary,state_compression_ratio,n_edges_valid,group_all_feasible,n_groups_feasible,group_total_violation,group_max_violation,trace_group_all_feasible,trace_group_total_violation,trace_group_max_violation,group_test_bits_mean,group_test_bits_cvar,selection_time_sec,delta_backend,kernel_time_sec,upfront_time_sec,smdp_solve_time_sec,compressed_total_time_sec,full_vi_time_sec,full_vi_backup_count,smdp_edge_backup_count,planning_speedup,total_speedup,break_even_tasks,backup_compression_ratio,start_gap,value_gap_max,first_hit_mode,first_hit_used_steps_max,first_hit_tail_bound_max,stop_reason,probe_cache_hits,probe_cache_misses,probe_cache_hit_rate,probe_calls,unique_probe_evals,probe_context_build_time_sec,probe_green_kernel_time_sec,probe_operator_delta_time_sec,active_weight_time_sec,active_weight_cache_hit_rate,probe_call_overhead_time_sec,candidate_score_time_sec,beam_expansion_time_sec,profiled_selection_time_sec,uncached_probe_eval_time_sec,boundary,error,maze_seed
random_maze,17,random_maze_17_seed4,0.0,endpoints,0.25,127,54,2,63.5,2,False,1,155.45261238473825,77.72630619236912,,,,0.0,0.0,0.0,,0.13451250697835349,0.13451250697835349,0.00019138798234052956,0.13470389496069402,0.20314159599365667,30988,4,1061.412495755425,1.5080602981297049,1,7747.0,1.7763568394002505e-14,1.7763568394002505e-14,adaptive,59,0.0,,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 126]",,4
random_maze,17,random_maze_17_seed8,0.0,endpoints,0.25,127,49,2,63.5,2,False,1,155.45261238473825,77.72630619236912,,,,0.0,0.0,0.0,,0.11289142799796537,0.11289142799796537,0.00014659500448033214,0.1130380230024457,0.21513243499794044,33020,4,1467.5291000574553,1.9031864613669491,1,8255.0,1.7763568394002505e-14,1.7763568394002505e-14,adaptive,63,0.0,,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 126]",,8
random_maze,19,random_maze_19_seed0,0.0,endpoints,0.25,161,68,2,80.5,2,False,1,155.45261238473825,77.72630619236912,,,,0.0,0.0,0.0,,0.18335175499669276,0.18335175499669276,0.00015955802518874407,0.1835113130218815,0.2682219469861593,40572,4,1681.030751470349,1.4616098733606526,1,10143.0,1.4210854715202004e-14,1.4210854715202004e-14,adaptive,55,0.0,,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 160]",,0
random_maze,19,random_maze_19_seed4,0.0,endpoints,0.25,161,65,2,80.5,2,False,1,155.45261238473825,77.72630619236912,,,,0.0,0.0,0.0,,0.20848413498606533,0.20848413498606533,0.0001710419892333448,0.20865517697529867,0.31764806699356996,47012,4,1857.135013556333,1.5223589062023333,1,11753.0,1.7763568394002505e-14,1.7763568394002505e-14,adaptive,71,0.0,,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 160]",,4
random_maze,19,random_maze_19_seed8,0.0,endpoints,0.25,161,63,2,80.5,2,False,1,155.45261238473825,77.72630619236912,,,,0.0,0.0,0.0,,0.19901258900063112,0.19901258900063112,0.00015905298641882837,0.19917164198704995,0.3810962559946347,57316,4,2396.0333255931955,1.913406206790289,1,14329.0,1.7763568394002505e-14,1.7763568394002505e-14,adaptive,87,0.0,,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 160]",,8
random_maze,11,random_maze_11_seed0,0.0,group_constrained_incremental,0.25,49,24,3,16.333333333333332,6,True,3,0.0,0.0,True,0.0,0.0,0.0,0.0,0.868143494008109,insertion_score,0.0363824560190551,0.9045259500271641,0.003027161001227796,0.9075531110283919,0.043585092993453145,6468,198,14.398009546163989,0.048024840049377154,23,32.666666666666664,7.105427357601002e-15,7.105427357601002e-15,adaptive,30,0.0,feasible,0,12,0.0,12,12,0.7130551670270506,0.011152328894240782,0.015082990110386163,0.06966161899617873,0.0,0.056476578960428014,0.0015810879995115101,1.0958989150822163e-05,0.8670207309769467,0.7957670649921056,"[0, 8, 48]",,0
random_maze,11,random_maze_11_seed4,0.0,group_constrained_incremental,0.25,49,22,3,16.333333333333332,6,True,3,0.0,0.0,True,0.0,0.0,0.0,0.0,0.7805620950239245,insertion_score,0.027932385011808947,0.8084944800357334,0.0029490719898603857,0.8114435520255938,0.038378224009647965,5684,174,13.013661294672179,0.04729623387091438,23,32.666666666666664,7.105427357601002e-15,7.105427357601002e-15,adaptive,26,0.0,feasible,0,12,0.0,12,12,0.6398489330895245,0.01138249397627078,0.013609895046101883,0.056992531986907125,0.0,0.05609063294832595,0.0014851629675831646,1.0869989637285471e-05,0.7794205200043507,0.7209319550602231,"[0, 1, 48]",,4
random_maze,11,random_maze_11_seed8,0.0,group_constrained_incremental,0.25,49,24,3,16.333333333333332,6,True,3,0.0,0.0,True,0.0,0.0,0.0,0.0,0.7076763590157498,insertion_score,0.034554015001049265,0.742230374016799,0.0026800679916050285,0.7449104420084041,0.03387769698747434,4900,150,12.640611019418875,0.04547888588611318,24,32.666666666666664,7.105427357601002e-15,7.105427357601002e-15,adaptive,22,0.0,feasible,0,12,0.0,12,12,0.568667179933982,0.010726984910434112,0.013393280998570845,0.05657781200716272,0.0,0.055538004147820175,0.0015814219950698316,1.0198011295869946e-05,0.7064948820043355,0.6483254499908071,"[0, 1, 48]",,8
random_maze,13,random_maze_13_seed0,0.0,group_constrained_incremental,0.25,71,33,3,23.666666666666668,6,True,3,0.0,0.0,True,0.0,0.0,0.0,0.0,1.1852219050051644,insertion_score,0.040785852004773915,1.2260077570099384,0.0025416919961571693,1.2285494490060955,0.055309518007561564,8236,150,21.760904976364184,0.0450201805489452,24,54.906666666666666,7.105427357601002e-15,7.105427357601002e-15,adaptive,22,0.0,feasible,0,12,0.0,12,12,0.9700075030268636,0.01858489608275704,0.022776978934416547,0.06627669901354238,0.0,0.10413193199201487,0.0019417069852352142,1.0596995707601309e-05,1.1837303130305372,1.115501310036052,"[0, 9, 70]",,0
random_maze,13,random_maze_13_seed4,0.0,group_constrained_incremental,0.25,71,31,3,23.666666666666668,6,True,3,0.0,0.0,True,0.0,0.0,0.0,0.0,1.3461651029938366,insertion_score,0.04114484699675813,1.3873099499905948,0.0024574979906901717,1.389767447981285,0.06251410799450241,9372,150,25.43811153918614,0.044981704014803094,24,62.48,7.105427357601002e-15,7.105427357601002e-15,adaptive,22,0.0,feasible,0,12,0.0,12,12,1.117289497051388,0.01885449286783114,0.021958080877084285,0.07967923302203417,0.0,0.10498718416783959,0.0019359459693077952,1.1866999557241797e-05,1.3447163009550422,1.263089254964143,"[0, 1, 70]",,4
