map_family,map_size,map,slip,method,method_group,representation_scope,repeat,target_count,n_states,n_abstract_states,state_compression_ratio,epsilon,exact_partition_states,homogeneity_error,start_gap,normalized_start_gap,value_gap_max,policy_start_gap,normalized_policy_start_gap,policy_value_gap_max,full_planner_time_sec,selection_time_sec,construction_time_sec,solve_time_sec,oracle_full_policy_cost_sec,total_time_sec,total_speedup,full_transition_nnz,abstract_transition_nnz,error
corridor,32,corridor_32,0.0,exact_model_minimization,abstraction:model_minimization,full_action_abstract_mdp,0,2,32,32,1.0,0.0,32,0.0,0.0,0.0,0.0,0.0,0.0,3.552713678800501e-15,0.001805968931876123,0.05399811698589474,0.0026251979870721698,0.0007114330073818564,0.0,0.057334747980348766,0.03149868091327638,128,128,
corridor,32,corridor_32,0.05,epsilon_homogeneous,abstraction:model_minimization,full_action_abstract_mdp,2,2,32,2,16.0,2.2456850738093372,32,0.95,4.443088900748037,0.20971548455763472,15.674635694570611,2.092193085445615e-11,9.875230869868249e-13,2.092193085445615e-11,0.00732401804998517,2.7207741839811206,0.0004283209564164281,0.006157047930173576,0.0,2.7273595528677106,0.0026853877928505084,376,12,
corridor,32,corridor_32,0.1,epsilon_homogeneous,abstraction:model_minimization,full_action_abstract_mdp,4,4,32,2,16.0,2.2456850738093372,32,0.9,4.868439426114168,0.22067075367742325,16.04648700863834,7.30153715267079e-11,3.309552744645334e-12,7.30153715267079e-11,0.0036217940505594015,2.903746897005476,0.00043323507998138666,0.006460867938585579,0.0,2.910641000024043,0.0012443286721136287,376,12,
corridor,64,corridor_64,0.0,epsilon_homogeneous,abstraction:model_minimization,full_action_abstract_mdp,1,23,64,2,32.0,2.2456850738093372,64,1.0,6.413231139562896,0.22549085220660856,21.027972025906095,0.0,0.0,3.552713678800501e-15,0.0034412790555506945,17.203664651024155,0.00038979598321020603,0.007591638946905732,0.0,17.21164608595427,0.00019993898540355087,256,9,
corridor,64,corridor_64,0.05,qstar_oracle_aggregation,abstraction:qstar_oracle,full_action_abstract_mdp,3,4,64,4,16.0,,64,0.95,2.9280271619621914,0.10078896462366788,8.407764121744004,3.375433266228356e-11,1.1618964075164356e-12,3.375433266228356e-11,0.004710770910605788,0.0008607649942860007,0.00045588903594762087,0.0068476570304483175,0.004710770910605788,0.012875081971287727,0.3658827898036777,760,36,
corridor,64,corridor_64,0.1,qstar_oracle_aggregation,abstraction:qstar_oracle,full_action_abstract_mdp,0,13,64,13,4.923076923076923,,64,0.9,0.7518949526482714,0.02535226975129709,2.569186724118497,6.546585495925683e-11,2.207366878286206e-12,6.546585495925683e-11,0.005691061029210687,0.0011817849008366466,0.0011871589813381433,0.004713476053439081,0.005691061029210687,0.012773480964824557,0.44553720672404457,760,144,
open_room,9,open_room_9,0.0,qstar_oracle_aggregation,abstraction:qstar_oracle,full_action_abstract_mdp,2,29,81,29,2.793103448275862,,81,1.0,0.1018662775177237,0.007922274191224512,0.13813797760016655,20.475121782089502,1.592377112516001,27.76573349763331,0.0010457749012857676,0.0012781560653820634,0.002702771918848157,0.0005903580458834767,0.0010457749012857676,0.005617060931399465,0.18617830820382744,324,148,
open_room,9,open_room_9,0.05,policy_kron_oracle,reduction:policy_kron_oracle,fixed_optimal_policy_only,4,5,81,5,16.2,,81,nan,2.7176483285984432e-11,2.0193182238899156e-12,2.7176483285984432e-11,0.0,0.0,0.0,0.0021947809727862477,0.005061706993728876,0.0016511559952050447,6.218103226274252e-05,0.0021947809727862477,0.008969824993982911,0.2446849268807963,1280,21,
open_room,9,open_room_9,0.1,policy_kron_oracle,reduction:policy_kron_oracle,fixed_optimal_policy_only,1,17,81,17,4.764705882352941,,81,nan,8.285283570330648e-11,5.863346531092314e-12,8.285283570330648e-11,0.0,0.0,0.0,0.004076301003806293,0.008566509000957012,0.0008968550246208906,3.0952971428632736e-05,0.004076301003806293,0.013570618000812829,0.3003769617243767,1280,252,
open_room,12,open_room_12,0.0,policy_kron_oracle,reduction:policy_kron_oracle,fixed_optimal_policy_only,3,51,144,51,2.823529411764706,,144,nan,3.552713678800501e-15,2.1825072406138237e-16,3.552713678800501e-15,0.0,0.0,0.0,0.0019610290182754397,0.06347723689395934,0.0020231229718774557,6.550108082592487e-05,0.0019610290182754397,0.06752688996493816,0.029040712807796427,576,51,
open_room,12,open_room_12,0.1,epsilon_homogeneous,abstraction:model_minimization,full_action_abstract_mdp,0,8,144,2,72.0,2.2456850738093372,144,0.9,9.799826722740118,0.5528855216994926,26.336747369843966,15.606774259676875,0.8805012346376451,28.02883411912674,0.004293431062251329,24.95723072695546,0.0005001029931008816,0.010372926015406847,0.0,24.968103755963966,0.0001719566333196523,2288,12,
four_rooms,9,four_rooms_9,0.0,epsilon_homogeneous,abstraction:model_minimization,full_action_abstract_mdp,2,7,68,2,34.0,2.2456850738093372,68,1.0,9.625009923204717,0.7485496629796595,21.483221474448523,20.475121782089502,1.592377112516001,32.33333333333331,0.0010681659914553165,4.511915588984266,0.00041343504562973976,0.008372101932764053,0.0,4.52070112596266,0.00023628325821425678,272,10,
four_rooms,9,four_rooms_9,0.05,epsilon_homogeneous,abstraction:model_minimization,full_action_abstract_mdp,4,14,68,2,34.0,2.2456850738093372,68,0.95,9.189445210785346,0.67866878668215,21.64346964757231,19.79292094828557,1.4617680759555542,29.265236128772003,0.0022690119221806526,4.480705412919633,0.00038222898729145527,0.00847444892860949,0.0,4.489562090835534,0.0005053971581799365,1008,12,
