map,map_family,map_size,slip,method,method_group,target_count,n_states,n_abstract_states,state_compression_ratio,normalized_start_gap,normalized_policy_start_gap,value_gap_max,policy_value_gap_max,homogeneity_error,time_q1_sec,time_median_sec,time_q3_sec,total_speedup_median,n_repeats,representation_scope
corridor_32,corridor,32,0.0,epsilon_homogeneous,abstraction:model_minimization,12,32,2,16.0,0.19892775034186874,0.0,15.315789472241722,3.552713678800501e-15,1.0,2.6584584929514676,2.6811704140855,2.6863158121705055,0.0006692998770639811,5,full_action_abstract_mdp
corridor_32,corridor,32,0.0,epsilon_homogeneous,abstraction:model_minimization,2,32,2,16.0,0.19892775034186874,0.0,15.315789472241722,3.552713678800501e-15,1.0,2.5759447909658775,2.625173275009729,2.6709987679496408,0.0006780732145173794,5,full_action_abstract_mdp
corridor_32,corridor,32,0.0,epsilon_homogeneous,abstraction:model_minimization,4,32,2,16.0,0.19892775034186874,0.0,15.315789472241722,3.552713678800501e-15,1.0,2.6405762950889766,2.661365188891068,2.6673570839921013,0.0006768028888883699,5,full_action_abstract_mdp
corridor_32,corridor,32,0.0,epsilon_homogeneous,abstraction:model_minimization,7,32,2,16.0,0.19892775034186874,0.0,15.315789472241722,3.552713678800501e-15,1.0,2.6203815350309014,2.6431835929397494,2.6638312899740413,0.0006729330091059467,5,full_action_abstract_mdp
corridor_32,corridor,32,0.0,exact_model_minimization,abstraction:model_minimization,2,32,32,1.0,0.0,0.0,0.0,3.552713678800501e-15,0.0,0.05584952491335571,0.057334747980348766,0.05749686306808144,0.0319196196907665,5,full_action_abstract_mdp
corridor_32,corridor,32,0.0,policy_kron_oracle,reduction:policy_kron_oracle,12,32,12,2.6666666666666665,0.0,0.0,3.552713678800501e-15,0.0,nan,0.07654522801749408,0.07678559795022011,0.09404962696135044,0.02360617051678255,5,fixed_optimal_policy_only
corridor_32,corridor,32,0.0,policy_kron_oracle,reduction:policy_kron_oracle,2,32,2,16.0,0.0,0.0,3.552713678800501e-15,0.0,nan,0.08061940711922944,0.089492151979357,0.0898622169625014,0.019965303058414662,5,fixed_optimal_policy_only
corridor_32,corridor,32,0.0,policy_kron_oracle,reduction:policy_kron_oracle,4,32,4,8.0,0.0,0.0,3.552713678800501e-15,0.0,nan,0.08537645998876542,0.09824193106032908,0.10803965688683093,0.01850652856592289,5,fixed_optimal_policy_only
corridor_32,corridor,32,0.0,policy_kron_oracle,reduction:policy_kron_oracle,7,32,7,4.571428571428571,0.0,0.0,3.552713678800501e-15,0.0,nan,0.08106895186938345,0.08125474501866847,0.08372162200976163,0.024470894235354406,5,fixed_optimal_policy_only
corridor_32,corridor,32,0.0,qstar_oracle_aggregation,abstraction:qstar_oracle,12,32,12,2.6666666666666665,0.01968793416284253,0.0,1.8083580888387694,3.552713678800501e-15,1.0,0.0058336720103397965,0.005859196069650352,0.005904425051994622,0.3061433740926977,5,full_action_abstract_mdp
