map_family,map_size,map,method_spec,method,first_hit_mode,first_hit_truncation_steps,n_states,n_boundary,n_edges_valid,state_compression_ratio,transition_nnz_proxy,kernel_nnz,memory_compression_ratio,full_vi_iterations,full_vi_time_sec,full_vi_backup_count,construction_time_sec,kernel_time_sec,upfront_time_sec,smdp_iterations,smdp_solve_time_sec,smdp_edge_backup_count,compressed_total_time_sec,planning_time_speedup_vs_full_vi,total_time_speedup_vs_full_vi,backup_compression_ratio,start_gap,value_gap_max,occupancy_struct_hidden_distinct,occupancy_model_residual,struct_hidden_distinct_cvar95,error
corridor,64,corridor_64,endpoints,endpoints,exact,32,64,2,2,32.0,760,2,380.0,95,0.08448932803003117,24320,1.3214012142270803e-05,0.007678719994146377,0.007691934006288648,2,8.994201198220253e-05,4,0.00778187601827085,939.3755617424889,10.857192768384003,6080.0,3.375077994860476e-11,3.375077994860476e-11,0.0,0.16556844887303046,0.0,
corridor,64,corridor_64,turn_articulation,turn_articulation,exact,32,64,2,2,32.0,760,2,380.0,95,0.1041214150027372,24320,0.0005544490413740277,0.007511445030104369,0.008065894071478397,2,8.57429695315659e-05,4,0.008151637041009963,1214.3434682934014,12.773068094042234,6080.0,3.375077994860476e-11,3.375077994860476e-11,0.0,0.16556844887303046,0.0,
corridor,128,corridor_128,endpoints,endpoints,exact,32,128,2,2,64.0,1528,2,764.0,168,0.30272673902800307,86016,1.2630014680325985e-05,2.309393801027909,2.3094064310425892,2,0.00016720895655453205,4,2.309573639999144,1810.4696379064744,0.1310747290257934,21504.0,3.725375563590205e-11,3.725375563590205e-11,0.0,0.17037965844321545,0.0,
corridor,128,corridor_128,turn_articulation,turn_articulation,exact,32,128,2,2,64.0,1528,2,764.0,168,0.42730017099529505,86016,0.0011760269990190864,3.393280149961356,3.394456176960375,2,0.00017922098049893975,4,3.394635397940874,2384.2084213897206,0.1258751296986085,21504.0,3.725375563590205e-11,3.725375563590205e-11,0.0,0.17037965844321545,0.0,
open_room,12,open_room_12,endpoints,endpoints,exact,32,144,2,2,72.0,2288,2,1144.0,48,0.10017472703475505,27648,2.244900679215789e-05,2.854168671008665,2.8541911200154573,2,0.0001779660233296454,4,2.854369086038787,562.8868092939404,0.035095225605100255,6912.0,0.07851002033424237,0.07851002033424237,0.0,0.6953067647235828,0.0,
open_room,12,open_room_12,turn_articulation,turn_articulation,exact,32,144,4,12,36.0,2288,16,143.0,48,0.1224985650042072,27648,0.0017571909702382982,11.86505910102278,11.866816291993018,4,0.0005578440031968057,48,11.867374135996215,219.5928687988245,0.010322297384443586,576.0,0.07851002033424237,0.07851002033424237,0.0,0.2245508956504525,0.0,
maze,13,maze_13,endpoints,endpoints,exact,32,71,2,2,35.5,844,2,422.0,53,0.06147069198777899,15052,1.3455981388688087e-05,0.008784620964433998,0.008798076945822686,2,0.00010042201029136777,4,0.008898498956114054,612.1236948894558,6.907984401744881,3763.0,1.6697754290362354e-13,1.6697754290362354e-13,0.0,1.2343397367723996,0.0,
maze,13,maze_13,turn_articulation,turn_articulation,exact,32,71,18,306,3.9444444444444446,844,546,1.5457875457875458,53,0.0675806010258384,15052,0.0005358459893614054,0.22890635899966583,0.22944220498902723,18,0.0374197069904767,5508,0.26686191197950393,1.8060163069432276,0.25324183778998355,2.7327523602033406,1.1475265182525618e-12,1.7035262089848402e-11,0.0,0.9171684262218325,0.0,
